symbol,trading_date,open,raw_open_text,high,low,close,source,fetched_at,valid_numeric,valid_positive,within_hl_range,validation_flags,in_db,db_open,db_high,db_low,db_close,comparison_flags
KSE-100,2005-02-07,6986.64,"6,986.64",7098.39,6955.23,7091.14,ksestocks.com/MarketSummary,2026-07-03T11:31:20.155252+00:00,1,1,1,,1,,7098.39,6955.23,7091.14,
KSE-100,2005-02-08,7091.14,"7,091.14",7179.6,7091.14,7154.83,ksestocks.com/MarketSummary,2026-07-03T11:31:23.640925+00:00,1,1,1,,1,,7179.6,7091.14,7154.83,
KSE-100,2005-02-09,7154.83,"7,154.83",7184.68,7050.47,7156.55,ksestocks.com/MarketSummary,2026-07-03T11:31:26.992014+00:00,1,1,1,,1,,7184.68,7050.47,7156.55,
KSE-100,2005-02-10,7174.59,"7,174.59",7223.98,7121.51,7196.63,ksestocks.com/MarketSummary,2026-07-03T11:31:30.976931+00:00,1,1,1,,1,,7223.98,7121.51,7196.63,
KSE-100,2005-02-11,7205.56,"7,205.56",7270.69,7189.99,7238.76,ksestocks.com/MarketSummary,2026-07-03T11:31:35.065757+00:00,1,1,1,,1,,7270.69,7189.99,7238.76,
KSE-100,2005-02-14,7253.99,"7,253.99",7342.62,7253.99,7341.69,ksestocks.com/MarketSummary,2026-07-03T11:31:38.936999+00:00,1,1,1,,1,,7342.62,7253.99,7341.69,
KSE-100,2005-02-15,7360.56,"7,360.56",7402.96,7345.0,7402.8,ksestocks.com/MarketSummary,2026-07-03T11:31:42.572455+00:00,1,1,1,,1,,7402.96,7345.0,7402.8,
KSE-100,2005-02-16,7464.59,"7,464.59",7516.88,7434.54,7508.8,ksestocks.com/MarketSummary,2026-07-03T11:31:46.029202+00:00,1,1,1,,1,,7516.88,7434.54,7508.8,
KSE-100,2005-02-17,7560.5,"7,560.50",7607.1,7538.98,7579.98,ksestocks.com/MarketSummary,2026-07-03T11:31:49.575535+00:00,1,1,1,,1,,7607.1,7538.98,7579.98,
KSE-100,2005-02-18,7585.88,"7,585.88",7769.57,7560.31,7734.03,ksestocks.com/MarketSummary,2026-07-03T11:31:53.549484+00:00,1,1,1,,1,,7769.57,7560.31,7734.03,
KSE-100,2005-02-21,7740.93,"7,740.93",7869.91,7740.93,7865.94,ksestocks.com/MarketSummary,2026-07-03T11:31:57.231874+00:00,1,1,1,,1,,7869.91,7740.93,7865.94,
KSE-100,2005-02-22,7885.36,"7,885.36",7961.09,7822.19,7925.7,ksestocks.com/MarketSummary,2026-07-03T11:32:00.921765+00:00,1,1,1,,1,,7961.09,7822.19,7925.7,
KSE-100,2005-02-23,7933.8,"7,933.80",8183.57,7915.76,8180.79,ksestocks.com/MarketSummary,2026-07-03T11:32:04.808583+00:00,1,1,1,,1,,8183.57,7915.76,8180.79,
KSE-100,2005-02-24,8184.77,"8,184.77",8393.77,8139.13,8253.12,ksestocks.com/MarketSummary,2026-07-03T11:32:08.385835+00:00,1,1,1,,1,,8393.77,8139.13,8253.12,
KSE-100,2005-02-25,8252.55,"8,252.55",8396.84,8186.61,8285.4,ksestocks.com/MarketSummary,2026-07-03T11:32:12.225278+00:00,1,1,1,,1,,8396.84,8186.61,8285.4,
KSE-100,2005-02-28,8287.37,"8,287.37",8339.06,8192.02,8260.06,ksestocks.com/MarketSummary,2026-07-03T11:32:16.726593+00:00,1,1,1,,1,,8339.06,8192.02,8260.06,
KSE-100,2005-03-01,8303.32,"8,303.32",8428.02,8289.6,8404.52,ksestocks.com/MarketSummary,2026-07-03T11:32:20.162906+00:00,1,1,1,,1,,8428.02,8289.6,8404.52,
KSE-100,2005-03-02,8473.53,"8,473.53",8558.73,8206.14,8206.14,ksestocks.com/MarketSummary,2026-07-03T11:32:23.628514+00:00,1,1,1,,1,,8558.73,8206.14,8206.14,
KSE-100,2005-03-03,8212.64,"8,212.64",8510.46,8212.24,8496.73,ksestocks.com/MarketSummary,2026-07-03T11:32:27.152765+00:00,1,1,1,,1,,8510.46,8212.24,8496.73,
