date,breadth,dispersion,participation,mkt_ret,n_stocks,avg_correlation,regime,volatility_level,trend_persistence
2005-01-04,0.0,4.123402033280213,0.0,1.4054722833225852,351,,INSUFFICIENT_DATA,,1.0
2005-01-05,0.0,5.460831544653906,0.0,1.1756314296403254,398,,INSUFFICIENT_DATA,,2.0
2005-01-06,0.0,6.980732369378981,0.0,3.155628875900951,425,,INSUFFICIENT_DATA,,3.0
2005-01-07,0.0,5.277045226319118,0.0,0.20828985931447927,419,,INSUFFICIENT_DATA,,4.0
2005-01-10,0.0,5.032991469747476,0.0,1.830781602802174,422,,INSUFFICIENT_DATA,,5.0
2005-01-11,0.0,4.844873189812383,0.0,0.6431661355111952,418,,INSUFFICIENT_DATA,,6.0
2005-01-12,0.0,4.867676121415999,0.0,-1.115226939210594,402,,INSUFFICIENT_DATA,,7.0
2005-01-13,0.0,4.035147012229459,0.0,-3.115726532769165,379,,INSUFFICIENT_DATA,,8.0
2005-01-14,0.0,4.8398201607739635,0.0,1.2387978549954923,341,,INSUFFICIENT_DATA,,9.0
2005-01-17,0.0,5.650794805278284,0.0,0.6745853099325905,370,,INSUFFICIENT_DATA,,10.0
2005-01-18,0.0,4.389946183640389,0.0,0.2217791278060312,376,,INSUFFICIENT_DATA,,11.0
2005-01-19,0.0,5.284553672919234,0.0,0.9813854593358066,377,,INSUFFICIENT_DATA,,12.0
2005-01-24,0.0,5.2060680339487675,0.0,0.46509968686736125,375,,INSUFFICIENT_DATA,,13.0
2005-01-25,0.0,4.307195734462667,0.0,0.052859537389066735,376,,INSUFFICIENT_DATA,,14.0
2005-01-26,0.0,5.643135113837466,0.0,0.6872552127760346,394,,INSUFFICIENT_DATA,,15.0
2005-01-27,0.0,5.331006059105551,0.0,0.26815380527341565,372,,INSUFFICIENT_DATA,,16.0
2005-01-28,0.0,4.7144757222881175,0.0,-2.148273773231038,358,,INSUFFICIENT_DATA,,17.0
2005-01-31,0.0,5.173304951568151,0.0,0.5303431455978125,344,,INSUFFICIENT_DATA,,18.0
2005-02-01,0.0,4.9139857231541235,0.0,1.2469391742221956,347,,INSUFFICIENT_DATA,2.1299248247268987,19.0
2005-02-02,0.0,4.892187989896912,0.0,0.3437488699306038,373,0.42113764006125515,INSUFFICIENT_DATA,2.147893201033686,20.0
2005-02-03,0.0,5.979884900211472,0.0,1.1829142396248113,385,0.399083972620766,INSUFFICIENT_DATA,2.1353983272294923,21.0
2005-02-04,0.0,5.271956413620405,0.0,0.003635871258364917,383,0.39188260503642075,INSUFFICIENT_DATA,2.155325566911483,22.0
2005-02-07,0.0,4.544341889232828,0.0,0.5547363394280194,375,0.37749271751213614,INSUFFICIENT_DATA,2.167197375880324,23.0
2005-02-08,0.0,4.102169053909902,0.0,0.447721999720315,392,0.3681951159436281,INSUFFICIENT_DATA,2.0961364560723315,24.0
