variable,r2,delta_r2,aic,coef,pvalue
breadth,0.00017992415612821944,4.419242672915047e-06,2975650.7906308654,0.009970549300321424,0.2867096419687142
dispersion,0.00018942819810585654,1.3923284650552148e-05,2975648.349618121,0.05230516765681315,0.05862092225758569
participation,0.00018323951576126873,7.734602305964344e-06,2975649.9391184156,0.05885734701290569,0.15870673870058688
avg_correlation,0.0005381670526335425,0.0003626621391782381,2975558.7636781284,-13.829120170158726,4.82246527058585e-22
trend_persistence,0.0002308158893555845,5.531097590028011e-05,2975637.719356456,0.028886679818935893,0.00016384259495753968
volatility_level,0.00027374621731290905,9.824130385760466e-05,2975626.6924097873,-1.5044671968405328,5.081050203275853e-07
sector_concentration,0.00021155329269095802,3.604837923565363e-05,2975642.666931506,6.23189348847352,0.002343966120291564
base_duration,0.00022210378352860438,4.659887007329999e-05,2975639.957062286,0.052339080062137944,0.0005411076990907112
breakout_magnitude_pct,0.00020507227622956758,2.9567362774263195e-05,2975644.3315514466,-0.06622924704155932,0.005856370704323778
