symbol,date,stock_rs,sector_rs,liquidity,realized_vol,listing_age_days,up_semivol,down_semivol,sector_rs_loo
786,2005-11-29,,16.36856193546413,,,,,,
786,2005-12-01,,20.64987920217697,,,,,,
786,2006-01-23,,31.40957397380231,,,,,,
786,2006-01-24,,36.04312341759661,,,,,,
786,2006-01-25,,28.71215008899212,,,,,,
786,2006-01-26,,26.57184685349408,,,,,,
786,2006-01-30,,39.52419268134277,,,,,,
786,2006-01-31,,30.595109010090027,,,,,,
786,2006-02-01,,32.69415352330968,,,,,,
786,2006-02-03,84.28689620792622,33.322955038028084,17275.0,9.977460289838287,,8.112367450694709,5.924126403633868,29.07595994053657
786,2006-02-06,65.94477072998448,31.02000202680344,17516.666666666668,9.842438348899115,,7.90969193819737,5.924126403633868,28.109604634871676
786,2006-06-02,91.2030503083468,3.0159241833826926,5141.666666666667,7.979052857260025,,6.266847192378357,5.015702416809474,-5.802788429113717
786,2006-06-13,162.6247080899339,4.178614994921813,5291.666666666667,7.4770202552061615,,6.368112765425553,4.21303478061165,-9.025226096329195
786,2007-03-21,-33.2043315639116,-17.45674212387552,3075.0,6.367110924718363,,4.25372392061052,4.669635942272842,-15.881983179871915
786,2007-05-15,-22.17544253380941,5.7246197104344905,2616.6666666666665,6.6801088540839375,,4.567222387794806,4.798017345143498,8.049624897454816
786,2007-05-30,-14.9337941689298,16.27183487173847,2600.0,6.604134721321008,,4.647608103133787,4.621071713101972,18.672267874866797
786,2007-07-05,-15.125972120405066,42.221097372497255,2525.0,6.780324872288619,,4.805879686506674,4.709437969303656,46.04423533869074
786,2007-07-09,3.412014893688408,52.54211393599171,2708.333333333333,6.760311651208387,,4.920073973239276,4.584909876901785,56.051406724727656
786,2007-07-10,1.9824281795546528,50.410034908539096,2816.6666666666665,6.717395150810007,,4.85784667913668,4.584909876901785,53.638542023804725
786,2007-07-11,9.881861645270234,52.0747539815555,3075.0,6.770253101650623,,4.94278075967702,4.584909876901785,54.887613470641185
786,2007-09-05,53.61864377853218,29.54197698389735,3266.6666666666665,7.220086403580431,,5.619584356683899,4.530325411926126,28.037185309232676
786,2007-09-06,51.75108553383335,29.51004117340165,3241.6666666666665,7.183331152279501,,5.565959560183847,4.530325411926126,28.027304882706204
786,2007-09-07,57.60063153893366,29.108876163222547,3291.6666666666665,7.217679486224037,,5.618580448268387,4.530325411926126,27.209425804841807
786,2007-09-10,82.17344477015801,29.11147349631112,3408.333333333333,7.128144392189356,,5.679979583697019,4.372607078102928,25.57400874472133
786,2007-09-11,75.67713501027914,29.974538513467827,3425.0,7.049375046652481,,5.566698076469433,4.372607078102928,26.927698747013743
786,2007-09-12,90.26742463595318,26.750013128143067,3650.0,7.0433910116932426,,5.615366876851709,4.344323231068842,22.213055163299487
786,2007-09-13,100.11074573293118,27.27526213189797,3850.0,7.0613666434395705,,5.658561532897717,4.344323231068842,22.419563225162427
786,2007-12-04,22.45416516333398,6.539993430941269,3241.6666666666665,7.073604656992411,,5.23079405485069,4.734633875311964,5.403266878627505
786,2007-12-05,29.1409575826169,9.634014065030136,3300.0,7.08983367778037,,5.261774151034292,4.734633875311964,8.24066095663108
786,2007-12-06,44.7934516378334,9.98389071233584,3133.333333333333,7.030700725560888,,5.297925405832361,4.64525958240371,7.497493503371725
786,2008-02-15,39.36893211642276,15.870701327157484,8183.333333333333,5.690897416016427,,4.192538058548749,3.8676636577830057,14.304152607873135
786,2008-02-19,36.51358645749804,13.733688735996507,8375.0,5.683439747854821,,4.180681396080266,3.8676636577830057,12.106553184460683
786,2008-02-20,34.11239338761304,10.297012930288153,9250.0,5.652827381232097,,4.133146744254674,3.8676636577830057,8.808551651705347
786,2008-02-21,32.50357416572776,12.19742727925969,9491.666666666666,5.629705568951517,,4.097043998267387,3.8676636577830057,10.843684153495152
