symbol,date,entry_close,ret_5d,ret_10d,ret_20d,ret_30d,ret_60d,ret_90d,mfe_pct,mae_pct,days_tracked
786,2007-11-28,15.65,26.837060702875405,21.725239616613422,8.62619808306709,37.38019169329073,122.0447284345048,110.86261980830672,196.16613418530352,2.2364217252396146,90
786,2024-09-09,6.46,4.643962848297211,-4.1795665634674855,-7.739938080495357,-14.39628482972136,10.990712074303405,48.60681114551083,51.70278637770899,-22.136222910216713,90
786,2019-06-13,28.12,0.24893314366998676,0.14224751066856028,4.69416785206259,7.82361308677098,14.651493598862023,-13.975817923186343,17.247510668563294,-19.310099573257467,90
786,2012-05-22,1.5,0.0,-6.000000000000005,-9.999999999999993,-9.999999999999993,46.66666666666668,66.00000000000001,90.0,-25.999999999999996,90
786,2012-05-04,1.55,0.6451612903225812,-3.2258064516129057,-6.451612903225811,-12.90322580645161,44.51612903225807,54.83870967741934,54.83870967741934,-28.387096774193544,90
786,2025-05-12,7.94,-3.526448362720406,-0.8816120906801043,6.801007556675064,13.22418136020151,24.18136020151132,85.89420654911838,115.11335012594455,-11.083123425692705,90
786,2007-11-05,16.1,-15.217391304347833,18.012422360248436,23.291925465838506,17.701863354037254,61.49068322981365,91.9254658385093,187.88819875776397,-21.428571428571434,90
786,2019-11-28,23.7,1.0970464135021163,5.738396624472571,-77.13080168776372,-78.35443037974684,-77.17299578059071,-78.73417721518987,10.506329113924059,-79.28270042194093,90
786,2009-11-19,4.05,6.419753086419748,15.802469135802482,21.975308641975325,11.111111111111116,-26.172839506172828,-48.39506172839506,40.493827160493844,-74.07407407407408,90
786,2007-12-14,19.05,6.561679790026247,-14.698162729658796,18.37270341207349,31.233595800524927,109.97375328083989,57.48031496062992,143.30708661417322,-16.010498687664047,90
786,2013-10-03,2.31,3.89610389610389,7.792207792207799,40.692640692640694,16.450216450216445,-12.987012987012998,116.01731601731602,245.45454545454547,-22.07792207792208,90
786,2026-04-28,32.84,-12.088915956151041,-15.834348355663833,-18.331303288672355,-19.54933008526188,,,3.5322777101096117,-27.375152253349576,45
786,2024-05-15,5.29,3.9697542533081274,3.9697542533081274,-1.7013232514177665,0.18903591682419257,19.65973534971645,14.366729678638936,31.568998109640827,-8.317580340264657,90
786,2024-08-02,5.3,12.264150943396233,22.07547169811321,8.490566037735853,27.547169811320753,13.39622641509434,35.84905660377359,50.754716981132084,-7.169811320754715,90
786,2024-02-14,5.01,0.19960079840318934,5.588822355289427,6.387225548902202,2.1956087824351362,7.385229540918166,19.760479041916174,29.141716566866265,-3.193612774451101,90
786,2024-10-11,6.0,3.4999999999999996,3.166666666666673,1.8333333333333386,14.33333333333334,43.499999999999986,53.500000000000014,101.99999999999999,-14.500000000000002,90
786,2013-06-04,2.91,3.092783505154634,12.714776632302394,3.092783505154634,-29.55326460481101,-22.68041237113402,-30.927835051546403,23.367697594501706,-38.14432989690722,90
786,2008-05-20,36.45,-22.33196159122086,-23.182441700960226,-23.62139917695474,-46.09053497942387,-86.28257887517147,-86.28257887517147,3.127572016460907,-88.99862825788752,90
786,2025-03-12,9.28,-4.63362068965517,-5.926724137931023,-13.469827586206899,-9.159482758620687,-7.650862068965508,-0.7543103448275702,28.017241379310363,-27.80172413793103,90
786,2012-07-04,1.4,12.142857142857153,-3.5714285714285587,40.00000000000001,45.71428571428572,85.0,89.28571428571429,135.0,-20.7142857142857,90
786,2013-03-21,2.4,4.1666666666666705,7.08333333333333,25.000000000000007,16.666666666666664,3.750000000000013,5.000000000000004,49.583333333333336,-28.749999999999996,90
786,2011-08-05,1.35,0.0,18.51851851851852,-17.777777777777775,-22.222222222222225,-11.11111111111112,22.962962962962948,85.18518518518518,-55.55555555555556,90
786,2009-09-10,5.45,-8.256880733944957,-6.972477064220181,-6.422018348623864,-14.678899082568803,-13.761467889908257,-40.73394495412844,24.58715596330275,-53.027522935779814,90
786,2025-11-24,12.57,-4.216388225934774,2.386634844868727,-2.068416865552902,2.9435163086714335,40.81145584725536,298.9657915672235,446.69848846459826,-11.694510739856808,90
786,2024-09-30,6.3,-7.460317460317456,-12.380952380952385,-5.714285714285705,3.968253968253968,13.4920634920635,60.317460317460316,92.38095238095238,-20.158730158730155,90
786,2019-05-07,26.28,0.15220700152206676,-0.07610350076103338,5.441400304414002,6.9254185692541865,15.182648401826476,14.916286149162856,25.4566210045662,-4.870624048706245,90
786,2012-02-01,1.2,24.16666666666667,16.666666666666664,16.666666666666664,38.33333333333333,57.49999999999999,12.50000000000001,108.33333333333334,-12.499999999999993,90
786,2025-01-24,11.69,-12.745936698032509,-17.964071856287422,-20.530367835757062,-20.615911035072713,-27.28828058169375,-23.182207014542335,3.6783575705731373,-42.686056458511544,90
786,2014-04-30,2.11,-4.739336492891,-5.213270142180089,-9.952606635071088,4.265402843601911,377.72511848341236,934.1232227488152,940.2843601895736,-14.691943127962078,90
786,2012-06-06,1.45,-3.448275862068969,-6.896551724137923,0.0,49.6551724137931,55.172413793103445,86.20689655172416,126.89655172413794,-23.448275862068957,90
786,2012-07-04,1.4,12.142857142857153,-3.5714285714285587,40.00000000000001,45.71428571428572,85.0,89.28571428571429,135.0,-20.7142857142857,90
786,2010-03-10,3.41,-20.52785923753666,-23.75366568914956,-21.994134897360702,-29.91202346041056,-41.348973607038126,-68.03519061583579,29.032258064516135,-85.33724340175954,90
786,2007-12-11,19.0,0.2631578947368458,0.0,2.631578947368421,36.84210526315789,122.89473684210527,47.368421052631575,143.94736842105266,-15.789473684210526,90
786,2014-08-15,2.2,-8.636363636363653,0.0,-2.2727272727272845,179.09090909090907,639.5454545454545,1013.1818181818181,1081.8181818181818,-13.636363636363647,90
786,2025-08-04,9.32,28.218884120171662,13.626609442060081,23.175965665236053,37.76824034334763,39.27038626609442,35.83690987124463,83.26180257510727,-3.433476394849788,90
786,2007-07-23,13.1,-5.3435114503816745,-9.923664122137396,-4.19847328244274,41.221374045801525,58.77862595419848,83.20610687022901,98.4732824427481,-27.480916030534345,90
786,2025-05-09,7.94,-3.526448362720406,-4.785894206549128,9.571788413098222,5.2896725440805925,17.128463476070532,77.58186397984885,115.11335012594455,-11.083123425692705,90
786,2025-02-10,9.59,-8.550573514077167,-3.1282586027111647,-3.232533889468201,-8.967674661105313,-11.99165797705944,14.598540145985407,14.598540145985407,-30.135557872784148,90
786,2010-09-22,1.0,43.99999999999999,5.000000000000004,42.99999999999999,25.0,50.0,54.0,114.00000000000001,5.000000000000004,90
786,2019-04-03,26.01,0.19223375624758612,0.6151480199923112,0.9611687812379853,1.0380622837370226,8.035371011149557,22.60668973471741,24.87504805843904,-3.8831218762014665,90
786,2009-06-04,5.32,2.4436090225563887,-5.075187969924821,-6.015037593984967,2.4436090225563887,-22.744360902255636,-6.954887218045114,27.631578947368414,-33.83458646616542,90
786,2024-07-25,5.0,5.9999999999999964,9.600000000000009,24.60000000000001,22.400000000000002,19.60000000000001,47.400000000000006,59.80000000000001,-1.7999999999999972,90
786,2019-12-18,24.12,4.311774461028189,-75.66334991708126,-78.44112769485905,-79.22885572139303,-78.81426202321725,-78.77280265339967,8.582089552238807,-79.64344941956882,90
786,2011-05-23,1.5,0.0,16.0,-13.33333333333333,-9.999999999999993,-30.0,-20.000000000000004,32.666666666666664,-60.0,90
786,2007-08-06,13.65,-19.047619047619044,-22.710622710622708,35.531135531135526,24.542124542124537,45.42124542124542,84.98168498168498,100.0,-30.402930402930405,90
786,2026-04-14,36.41,-13.869815984619605,-9.804998626750875,-24.08678934358692,-26.338917879703374,,,2.9936830541060244,-34.49601757758857,55
786,2012-06-18,1.4,-3.5714285714285587,-3.5714285714285587,-3.5714285714285587,60.00000000000002,56.42857142857144,103.57142857142858,135.0,-20.7142857142857,90
786,2025-08-21,10.41,10.951008645533147,23.342939481268008,35.44668587896253,33.5254562920269,26.320845341018252,26.032660902977895,64.07300672430354,-0.19212295869355978,90
786,2019-08-20,31.76,1.2909319899244336,1.5113350125944598,1.385390428211591,-19.238035264483635,-82.99748110831233,-83.94206549118388,3.8098236775818557,-84.54030226700252,90
786,2024-09-20,6.0,0.0,0.8333333333333304,3.4999999999999996,5.666666666666664,34.833333333333336,83.33333333333334,101.99999999999999,-16.166666666666664,90
786,2024-07-30,5.59,-3.3989266547405994,7.334525939177104,10.73345259391772,11.627906976744192,12.164579606440066,28.085867620751348,42.93381037567085,-12.164579606440066,90
