lookback,regime,n_raw,n_matched,n_dropped,threshold,bo_tp_pct,ctrl_tp_pct,improvement_pp,thin
10,TRENDING_UP,65189,65162,27,5,61.58504718866242,55.707671245519855,5.877375943142567,False
10,TRENDING_UP,65189,65162,27,10,48.84871960404562,42.023412142934056,6.825307461111564,False
10,TRENDING_UP,65189,65162,27,20,34.06959943435089,28.600655293882387,5.468944140468505,False
10,TRENDING_UP,65189,65162,27,30,25.543361308370994,21.109384854404777,4.433976453966217,False
10,TRENDING_UP,65189,65162,27,50,15.7228934181807,12.707471273208327,3.015422144972373,False
10,RANGING,19162,19137,25,5,55.72511105304416,50.02875215641173,5.696358896632432,False
10,RANGING,19162,19137,25,10,42.686177162268095,35.72063359297402,6.965543569294077,False
10,RANGING,19162,19137,25,20,28.847661353540634,23.639500235244917,5.208161118295717,False
10,RANGING,19162,19137,25,30,21.311732427488895,17.41857912070678,3.8931533067821142,False
10,RANGING,19162,19137,25,50,13.143454402926574,10.491923257880705,2.651531145045869,False
10,VOLATILE,19874,19840,34,5,54.27318106186658,51.165489404641775,3.1076916572248052,False
10,VOLATILE,19874,19840,34,10,41.55700095799929,37.54288597376387,4.01411498423542,False
10,VOLATILE,19874,19840,34,20,28.02400040336812,24.682139253279516,3.3418611500886044,False
10,VOLATILE,19874,19840,34,30,20.75328997126002,17.855701311806257,2.8975886594537634,False
10,VOLATILE,19874,19840,34,50,12.796853728634094,10.82744702320888,1.9694067054252145,False
10,TRENDING_DOWN,4181,4175,6,5,48.58648778150455,47.0404984423676,1.545989339136952,False
10,TRENDING_DOWN,4181,4175,6,10,35.21801629132727,32.638389647735444,2.5796266435918227,False
10,TRENDING_DOWN,4181,4175,6,20,20.65165309056061,20.153366882338844,0.49828620822176717,False
10,TRENDING_DOWN,4181,4175,6,30,14.374700527072354,14.78552600047927,-0.41082547340691633,False
10,TRENDING_DOWN,4181,4175,6,50,8.600862482031623,8.770668583752697,-0.1698061017210737,False
20,TRENDING_UP,51236,51215,21,5,62.62833675564682,55.68842352480673,6.939913230840091,False
20,TRENDING_UP,51236,51215,21,10,49.844529187445,42.056952735101284,7.787576452343714,False
20,TRENDING_UP,51236,51215,21,20,34.7648381734624,28.683824248948035,6.081013924514366,False
20,TRENDING_UP,51236,51215,21,30,26.04869463185685,21.291711517761033,4.756983114095817,False
20,TRENDING_UP,51236,51215,21,50,16.112251882272417,12.754672668558568,3.3575792137138496,False
20,RANGING,12933,12905,28,5,57.315561066336016,50.00387506781369,7.311685998522329,False
20,RANGING,12933,12905,28,10,44.33508989460632,35.74362551344649,8.591464381159831,False
20,RANGING,12933,12905,28,20,30.36267823930564,23.165155390219326,7.197522849086315,False
20,RANGING,12933,12905,28,30,22.698388096714197,17.182050685887003,5.5163374108271945,False
20,RANGING,12933,12905,28,50,13.832920024798511,10.416182283189956,3.4167377416085554,False
20,VOLATILE,12410,12377,33,5,56.55055362482826,51.99773536072468,4.552818264103578,False
20,VOLATILE,12410,12377,33,10,44.168754546189284,38.345195729537366,5.823558816651918,False
20,VOLATILE,12410,12377,33,20,30.316010668390852,25.250727919767062,5.06528274862379,False
20,VOLATILE,12410,12377,33,30,22.68649478703629,18.578130054998383,4.108364732037906,False
20,VOLATILE,12410,12377,33,50,14.135617877636788,11.307020381753478,2.8285974958833098,False
20,TRENDING_DOWN,2104,2101,3,5,51.546882436934794,48.11994288434079,3.426939552594007,False
20,TRENDING_DOWN,2104,2101,3,10,37.8867206092337,34.45978105663969,3.426939552594007,False
20,TRENDING_DOWN,2104,2101,3,20,22.798667301285104,21.41837220371252,1.380295097572585,False
20,TRENDING_DOWN,2104,2101,3,30,16.32555925749643,14.659685863874344,1.6658733936220855,False
20,TRENDING_DOWN,2104,2101,3,50,9.186101856258924,9.51927653498334,-0.33317467872441675,False
40,TRENDING_UP,38993,38983,10,5,63.809181288051995,57.03458198448178,6.774599303570213,False
40,TRENDING_UP,38993,38983,10,10,51.23436175405246,42.83438672216227,8.399975031890186,False
40,TRENDING_UP,38993,38983,10,20,35.851722454851384,29.291917167668668,6.559805287182716,False
40,TRENDING_UP,38993,38983,10,30,26.81429342101883,21.67668670674683,5.137606714272003,False
40,TRENDING_UP,38993,38983,10,50,16.592596398386725,13.056882996762756,3.535713401623969,False
40,RANGING,8626,8622,4,5,59.4710590418745,50.30746026221139,9.163598779663104,False
40,RANGING,8626,8622,4,10,46.95510961605382,36.233901844761576,10.721207771292242,False
40,RANGING,8626,8622,4,20,33.093608630089314,22.99570715860309,10.097901471486225,False
40,RANGING,8626,8622,4,30,24.707110544020416,17.18296786170089,7.524142682319525,False
40,RANGING,8626,8622,4,50,15.172253798863242,10.418842093050237,4.753411705813004,False
40,VOLATILE,7185,7176,9,5,60.094813162297825,51.26202761121183,8.832785551085998,False
40,VOLATILE,7185,7176,9,10,48.6893474623536,37.93055361874216,10.758793843611443,False
40,VOLATILE,7185,7176,9,20,34.66257668711656,25.937805048110445,8.724771639006118,False
40,VOLATILE,7185,7176,9,30,25.8505298382599,18.742155905731416,7.108373932528483,False
40,VOLATILE,7185,7176,9,50,16.187953151143336,11.546506763352392,4.641446387790944,False
40,TRENDING_DOWN,1173,1172,1,5,54.778156996587036,46.50170648464164,8.276450511945399,False
40,TRENDING_DOWN,1173,1172,1,10,41.55290102389079,33.87372013651877,7.67918088737202,False
40,TRENDING_DOWN,1173,1172,1,20,25.085324232081913,22.781569965870307,2.3037542662116053,False
40,TRENDING_DOWN,1173,1172,1,30,17.832764505119453,16.38225255972696,1.450511945392492,False
40,TRENDING_DOWN,1173,1172,1,50,10.580204778156997,10.409556313993173,0.17064846416382373,False
60,TRENDING_UP,33090,33080,10,5,64.3950856382013,55.60162207965137,8.793463558549924,False
60,TRENDING_UP,33090,33080,10,10,51.95787689886825,42.11959811160877,9.838278787259483,False
60,TRENDING_UP,33090,33080,10,20,36.38564425346487,28.522575959326957,7.863068294137911,False
60,TRENDING_UP,33090,33080,10,30,27.234763662773105,21.186902312068757,6.047861350704348,False
60,TRENDING_UP,33090,33080,10,50,16.949101252799128,12.525723278053505,4.423377974745623,False
60,RANGING,6869,6869,0,5,60.561944970155764,49.69423412929528,10.867710840860482,False
60,RANGING,6869,6869,0,10,48.318532537487265,36.051252184041935,12.26728035344533,False
60,RANGING,6869,6869,0,20,34.31358276313874,23.19452533488643,11.119057428252312,False
60,RANGING,6869,6869,0,30,25.520454214587275,17.050087361677342,8.470366852909933,False
60,RANGING,6869,6869,0,50,15.781045275877128,10.294117647058822,5.4869276288183055,False
60,VOLATILE,5170,5168,2,5,60.81316553727009,50.39674859686472,10.41641694040537,False
60,VOLATILE,5170,5168,2,10,49.757986447241045,37.391136055738336,12.366850391502709,False
60,VOLATILE,5170,5168,2,20,35.605033881897384,23.882330172246952,11.722703709650432,False
60,VOLATILE,5170,5168,2,30,26.54404646660213,17.611766982775304,8.932279483826825,False
60,VOLATILE,5170,5168,2,50,16.882865440464666,10.934778401393459,5.948087039071208,False
60,TRENDING_DOWN,854,853,1,5,56.62368112543963,47.36225087924971,9.261430246189924,False
60,TRENDING_DOWN,854,853,1,10,44.31418522860493,37.162954279015246,7.1512309495896815,False
60,TRENDING_DOWN,854,853,1,20,27.198124267291913,21.45369284876905,5.744431418522861,False
60,TRENDING_DOWN,854,853,1,30,19.226260257913246,16.060961313012896,3.16529894490035,False
60,TRENDING_DOWN,854,853,1,50,10.668229777256741,9.378663540445487,1.289566236811254,False
120,TRENDING_UP,24879,24834,45,5,65.09266720386785,56.460062867735964,8.632604336131884,False
120,TRENDING_UP,24879,24834,45,10,52.86462530217566,42.866929958894175,9.997695343281485,False
120,TRENDING_UP,24879,24834,45,20,37.46172441579371,29.563955831385506,7.897768584408205,False
120,TRENDING_UP,24879,24834,45,30,28.263497179693797,21.76593858305795,6.497558596635848,False
120,TRENDING_UP,24879,24834,45,50,17.66720386784851,13.06923510921254,4.59796875863597,False
120,RANGING,4446,4446,0,5,61.80836707152496,50.59617547806524,11.212191593459721,False
120,RANGING,4446,4446,0,10,49.617633828160145,36.04049493813273,13.577138890027413,False
120,RANGING,4446,4446,0,20,35.402609086819616,23.914510686164228,11.488098400655389,False
120,RANGING,4446,4446,0,30,26.58569500674764,17.8177727784027,8.76792222834494,False
120,RANGING,4446,4446,0,50,16.689158794421953,10.843644544431946,5.845514249990007,False
120,VOLATILE,3287,3283,4,5,61.87138067662298,51.06642291285801,10.804957763764968,False
120,VOLATILE,3287,3283,4,10,51.021030173727524,37.96465569774527,13.056374475982253,False
120,VOLATILE,3287,3283,4,20,36.69612922889363,25.990249847653867,10.705879381239765,False
120,VOLATILE,3287,3283,4,30,27.430661383724477,19.34795856185253,8.082702821871948,False
120,VOLATILE,3287,3283,4,50,17.464187747637915,12.096282754418038,5.367904993219877,False
120,TRENDING_DOWN,523,523,0,5,59.08221797323135,46.27151051625239,12.81070745697896,False
120,TRENDING_DOWN,523,523,0,10,45.506692160611856,34.990439770554495,10.51625239005736,False
120,TRENDING_DOWN,523,523,0,20,28.298279158699806,21.988527724665392,6.309751434034414,False
120,TRENDING_DOWN,523,523,0,30,20.84130019120459,14.722753346080305,6.118546845124284,False
120,TRENDING_DOWN,523,523,0,50,11.089866156787762,9.94263862332696,1.1472275334608018,False
