lookback,n_occurrences,n_control,bo_tp_5,ctrl_tp_5,improvement_5,bo_tp_10,ctrl_tp_10,improvement_10,bo_tp_20,ctrl_tp_20,improvement_20,bo_tp_30,ctrl_tp_30,improvement_30,bo_tp_50,ctrl_tp_50,improvement_50
10,111889,111847,58.61732680797,52.774120744780895,5.843206063189108,45.800713972568424,38.8224652283332,6.9782487442352235,31.47205396845279,25.898958417295827,5.573095551156964,23.520833146936987,19.06105304638312,4.459780100553868,14.545178001055751,11.588167333888604,2.957010667167147
20,80744,80705,60.50487892576841,52.29010476143191,8.214774164336497,47.718001810224045,38.51844496301077,9.199556847213273,33.06510607168983,25.517600913559406,7.547505158130427,24.82114738447423,18.70934908892309,6.111798295551139,15.379465115990726,11.372325107988681,4.007140008002045
40,57003,56987,62.50153667831615,52.55678324872205,9.944753429594101,50.093956902759,38.54234370333936,11.551613199419634,35.14339403944434,25.390412282396753,9.752981757047586,26.334275829367236,18.671280763082546,7.66299506628469,16.383625155863086,11.347866565952886,5.0357585899102
60,46666,46646,63.3581401333991,52.57070511995193,10.787435013447165,51.11845068308062,38.49620187974765,12.622248803332965,35.95770690801467,25.634092957383803,10.323613950630868,26.945761039740923,18.675164156044804,8.270596883696118,16.893645312801596,11.308527531007252,5.585117781794343
120,33385,33375,64.27715176216735,52.16022546697449,12.116926295192862,52.16075281707025,38.35037327976494,13.810379537305309,37.03548309757852,25.487962102359607,11.547520995218914,27.95492687604891,18.77792102659431,9.177005849454599,17.558738911532007,11.288339879471113,6.270399032060894
