symbol,date,entry_close,breakout,rs_score_20,ret_5d,ret_10d,ret_20d,ret_30d,ret_60d,ret_90d,mfe_pct,mae_pct,hit_tp_10
AGHA,2021-03-01,36.09,1,-5.706392697409468,-5.874203380437806,-9.975062344139655,-16.34801884178443,-13.244666112496548,-7.647547797173745,-10.002770850651167,1.7733444167359198,-27.95788307010253,0
AGHA,2021-03-02,35.0,1,-8.476445254823773,-9.828571428571433,-6.62857142857143,-11.771428571428574,-10.057142857142857,-1.6000000000000065,-8.542857142857148,4.114285714285708,-25.71428571428571,0
AGHA,2021-03-09,31.56,1,-12.836726600138093,3.54879594423321,-0.47528517110265706,-1.711026615969579,-0.8555133079847895,9.600760456273779,1.7110266159695904,15.17743979721167,-17.617237008871985,0
AGHA,2021-03-11,29.92,1,-14.909780590941534,6.517379679144382,5.18048128342245,4.144385026737963,0.033422459893041476,20.187165775401063,9.258021390374317,21.490641711229944,-13.101604278074872,0
AGHA,2021-04-29,27.89,1,-11.156266231399357,-1.3983506633201885,3.8723556830405097,19.576909286482614,22.911437791323056,16.672642524202217,6.740767300107561,30.33345285048405,-6.776622445320905,0
AGHA,2021-04-30,26.56,1,-14.975228775202932,7.605421686746987,12.688253012048198,30.459337349397593,28.087349397590376,21.686746987951814,9.751506024096386,36.85993975903616,-1.3177710843373416,0
AGHA,2021-09-08,29.98,1,-5.409643839347056,-3.16877918612408,-8.205470313542364,-9.40627084723149,-8.272181454302869,-23.148765843895937,-13.142094729819883,11.407605070046692,-28.285523682454972,0
AGHA,2021-09-21,28.1,1,-8.792247488286298,-0.7829181494662006,-2.1352313167259838,-3.4875444839857668,12.135231316725978,-16.08540925266905,-14.839857651245559,18.8612099644128,-23.48754448398577,0
AGHA,2021-12-02,24.71,1,-13.141019893848018,-9.591258599757186,-4.5730473492513255,8.296236341562123,5.341966815054635,-17.482800485633348,-29.583164710643473,12.869283690813434,-31.201942533387296,0
AGHA,2021-12-03,23.04,1,-16.60425381392149,-2.864583333333334,5.989583333333345,13.585069444444455,13.020833333333334,-12.97743055555555,-19.314236111111107,21.05034722222223,-26.215277777777775,0
AGHA,2021-12-08,22.27,1,-15.171929048030739,9.160305343511446,7.274360125729686,19.533004041311187,9.923664122137408,-7.858105074090706,-16.29995509654243,25.235743152222728,-23.66412213740458,0
AGHA,2022-02-22,21.7,1,-9.973370965465046,-4.3778801843317945,-17.926267281105996,-18.064516129032253,-17.05069124423963,-29.30875576036866,-31.981566820276498,2.2580645161290414,-37.78801843317972,0
AGHA,2022-02-24,20.39,1,-12.014873517881396,-1.667484060814124,-12.849435998038258,-10.93673369298676,-14.66405100539481,-22.903384011770473,-25.846002942618934,3.236880823933301,-33.79107405590976,0
AGHA,2022-02-25,20.05,1,-13.259272701726344,0.0,-10.723192019950135,-7.630922693266838,-7.281795511221949,-21.246882793017463,-22.29426433915212,4.788029925187036,-32.66832917705736,0
AGHA,2022-03-07,18.78,1,-15.543049241574781,-4.952076677316293,-1.490947816826417,-3.8871139510117163,-0.6389776357827529,-22.683706070287545,-25.98509052183174,9.691160809371672,-29.179978700745473,0
AGHA,2022-03-08,17.81,1,-18.831735208443632,5.614823133071309,-0.1684446939921257,1.0668163952835559,2.3020774845592373,-18.921953958450306,-21.504772599663102,15.665356541268965,-25.32285233015159,0
AGHA,2022-05-09,16.04,1,-11.903158976612826,-6.483790523690767,-2.992518703241887,-9.725685785536152,-10.723192019950119,-6.670822942643382,-6.920199501246879,6.608478802992533,-17.082294264339144,0
AGHA,2022-05-11,15.21,1,-12.670893493927826,4.0762656147271485,0.8547008547008482,-5.062458908612763,-2.0381328073635796,0.657462195923732,-5.456936226166995,12.426035502958582,-12.557527942143325,0
AGHA,2022-06-03,14.55,1,-5.735358256407098,-2.6804123711340244,0.2749140893470732,5.498281786941573,-4.261168384879731,11.89003436426117,6.529209621993122,17.525773195876294,-8.59106529209622,0
AGHA,2022-06-13,13.83,1,-3.6108688335709793,3.5430224150397702,11.279826464208247,12.65365148228489,1.1569052783803335,13.159797541576285,9.182935647143887,23.644251626898058,-3.8322487346348475,0
