symbol,date,entry_close,prior20high,ret_5d,ret_10d,ret_20d,ret_30d,ret_60d,ret_90d,mfe_pct,mae_pct,days_tracked
786,2005-11-29,8.85,8.5,-9.604519774011296,-11.299435028248588,56.49717514124294,58.192090395480236,63.84180790960453,24.293785310734467,72.31638418079098,-25.423728813559322,90
786,2005-12-01,9.5,8.85,-10.526315789473683,-6.315789473684206,55.789473684210535,47.368421052631575,44.210526315789465,10.526315789473683,60.526315789473685,-30.526315789473692,90
786,2006-01-24,10.9,9.9,24.770642201834857,35.32110091743119,21.100917431192652,0.9174311926605472,-8.256880733944957,-12.84403669724771,39.90825688073394,-24.31192660550459,90
786,2006-01-25,11.9,10.9,16.806722689075627,25.210084033613445,17.647058823529406,-7.563025210084036,-20.16806722689076,-11.764705882352944,28.151260504201677,-30.672268907563026,90
786,2006-01-26,12.9,11.9,7.364341085271311,2.325581395348829,8.139534883720922,-6.976744186046514,-26.356589147286826,-18.6046511627907,18.21705426356589,-36.04651162790698,90
786,2006-01-30,13.35,12.9,14.23220973782772,4.119850187265923,-12.359550561797755,-10.112359550561795,-38.20224719101123,-13.85767790262172,14.23220973782772,-38.20224719101123,90
786,2006-01-31,13.6,13.35,8.45588235294118,-4.411764705882351,-13.970588235294121,-11.764705882352938,-37.5,-9.926470588235292,12.132352941176473,-39.338235294117645,90
786,2006-02-01,13.9,13.6,7.194244604316546,0.7194244604316521,-15.467625899280577,-20.863309352517987,-33.45323741007194,-4.676258992805757,9.712230215827335,-40.647482014388494,90
786,2006-02-03,14.8,13.95,-7.770270270270273,-5.40540540540541,-25.67567567567568,-18.918918918918923,-30.067567567567572,2.3648648648648622,3.0405405405405355,-44.25675675675676,90
786,2006-02-06,15.25,14.8,-8.852459016393441,-8.19672131147541,-34.42622950819672,-14.754098360655737,-38.36065573770492,-6.557377049180328,5.901639344262286,-45.90163934426229,90
786,2007-05-15,11.25,11.0,-10.66666666666666,2.2222222222222223,16.444444444444443,4.8888888888888955,51.11111111111111,80.44444444444446,91.11111111111111,-15.555555555555555,90
786,2007-05-30,12.0,11.25,-16.249999999999996,-4.166666666666666,0.8333333333333304,6.666666666666672,50.0,66.66666666666666,79.16666666666666,-20.833333333333336,90
