symbol,date,breakout,regime,outcome,stock_rs,vol_ratio,liquidity,lookback,hit_tp_10
786,2006-02-03,1,TRENDING_UP,-6.0,84.28689620792622,1.3693778454353325,17275.0,60,0
786,2008-02-27,0,TRENDING_UP,-6.0,20.85557837848808,1.0282684178920574,10400.0,60,1
786,2006-02-06,1,TRENDING_UP,-6.0,65.94477072998448,1.3351659636002289,17516.666666666668,60,0
786,2025-02-26,0,TRENDING_UP,-6.0,17.830546996520905,1.4742170486497572,38475.9,60,0
786,2007-09-10,1,VOLATILE,-6.0,82.17344477015801,1.2989915357684734,3408.333333333333,60,1
786,2019-05-24,0,VOLATILE,-6.0,16.482610307256568,2.7876332417095755,146325.0,60,1
786,2007-09-11,1,VOLATILE,-6.0,75.67713501027914,1.2730844498574443,3425.0,60,1
786,2010-06-08,0,VOLATILE,-6.0,-48.7837508960155,0.9766399661282306,1882.7333333333331,60,0
786,2007-09-12,1,VOLATILE,-6.0,90.26742463595318,1.2925757541917868,3650.0,60,0
786,2010-05-31,0,VOLATILE,-6.0,-48.909176536760114,0.9767798299090588,1872.4833333333331,60,0
786,2007-09-13,1,VOLATILE,-6.0,100.11074573293118,1.3025185355523212,3850.0,60,0
786,2025-10-30,0,VOLATILE,-6.0,27.99579637627108,1.575280364879093,184615.28333333333,60,1
786,2007-12-06,1,TRENDING_UP,-6.0,44.7934516378334,1.1405014750738485,3133.333333333333,60,0
786,2008-02-19,0,TRENDING_UP,-6.0,36.51358645749804,1.0809319956422183,8375.0,60,1
786,2008-02-20,1,TRENDING_UP,-6.0,34.11239338761304,1.068641720160291,9250.0,60,1
786,2024-10-01,0,TRENDING_UP,-6.0,14.153179983194365,1.4159381909058293,11360.733333333334,60,0
786,2008-02-21,1,TRENDING_UP,-6.0,32.50357416572776,1.0593072099283487,9491.666666666666,60,1
786,2010-07-30,0,TRENDING_UP,-6.0,-3.1480811085664246,1.2488007790159203,3590.3,60,0
786,2008-02-22,1,TRENDING_UP,-6.0,31.09770296631577,1.0524026990034436,9675.0,60,1
786,2008-03-05,0,TRENDING_UP,-6.0,28.020250362818583,1.0339225653163706,12425.0,60,1
786,2008-04-03,1,TRENDING_UP,-6.0,71.8415718656185,1.2123322604925864,23983.33333333333,60,1
786,2013-08-01,0,TRENDING_UP,-6.0,0.1996769912544991,1.4171918322582673,14316.666666666666,60,0
786,2008-04-04,1,TRENDING_UP,-6.0,121.33536579153918,1.7446942439053053,24250.0,60,1
786,2026-06-03,0,TRENDING_UP,-6.0,5.458546062853944,1.1567770721440347,722828.6,60,0
786,2008-04-07,1,TRENDING_UP,-6.0,140.9724828107783,1.803234758955991,24308.33333333333,60,1
786,2024-11-25,0,TRENDING_UP,-6.0,-9.278194997303496,1.426349464082064,14944.2,60,0
786,2008-04-08,1,TRENDING_UP,-6.0,132.61272045098437,1.7665525053007884,25741.666666666668,60,1
786,2025-01-01,0,TRENDING_UP,-6.0,9.5510447585351,1.6371446115380868,31781.216666666667,60,1
786,2008-04-09,1,TRENDING_UP,-6.0,111.34314223712414,1.5724519323496504,25841.666666666668,60,1
786,2024-10-30,0,TRENDING_UP,-6.0,-3.7305415153632566,1.3095502103380088,11544.05,60,0
786,2008-04-10,1,TRENDING_UP,-6.0,109.9774116673841,1.5540007394386617,26775.0,60,1
786,2025-03-19,0,TRENDING_UP,-6.0,17.678230258596855,1.3451954345320976,27824.88333333333,60,0
786,2008-04-11,1,TRENDING_UP,-6.0,106.92666241783948,1.5411108978896462,27700.0,60,1
786,2013-06-18,0,TRENDING_UP,-6.0,-20.339044385912345,1.3589532969878897,14900.0,60,0
786,2008-04-14,1,TRENDING_UP,-6.0,103.79014637932586,1.5328631292407031,28675.0,60,1
786,2009-09-29,0,TRENDING_UP,-6.0,-14.777600886752293,1.1277421952345985,5576.8,60,0
786,2008-04-15,1,TRENDING_UP,-6.0,108.20743694274928,1.5563934935119257,29041.666666666668,60,0
786,2025-07-16,0,TRENDING_UP,-6.0,7.870347941636567,1.1678282772589303,38316.53333333333,60,0
786,2012-03-14,1,TRENDING_UP,-6.0,161.9534715831045,2.023536559437088,12294.133333333331,60,1
786,2012-11-19,0,TRENDING_UP,-6.0,61.07672075890483,1.5480019209707814,11597.983333333334,60,1
786,2012-08-29,1,TRENDING_UP,-6.0,18.422922881154403,1.2060787494777867,8836.566666666668,60,0
786,2013-05-09,0,TRENDING_UP,-6.0,10.635151953222747,1.417933159892421,15808.333333333334,60,0
786,2012-11-20,1,TRENDING_UP,-6.0,65.7293852457478,1.5503372678139828,11600.3,60,1
786,2012-04-11,0,TRENDING_UP,-6.0,155.11516039283538,1.84788177536281,10890.933333333332,60,0
786,2012-11-23,1,TRENDING_UP,-6.0,85.56679581096157,1.576328015373363,12273.45,60,0
786,2010-04-05,0,TRENDING_UP,-6.0,-45.94552819715877,0.9844348014768576,1887.55,60,0
786,2012-11-26,1,TRENDING_UP,-6.0,94.6811180952681,1.58340010240631,12443.116666666669,60,0
786,2025-12-18,0,TRENDING_UP,-6.0,-20.112002500976477,0.9442168513402774,86938.86666666667,60,0
786,2012-12-10,1,TRENDING_UP,-6.0,108.1759529112694,1.570337472708424,16534.716666666667,60,0
786,2025-03-12,0,TRENDING_UP,-6.0,16.50420724820251,1.2283856574756145,30855.8,60,0
786,2018-09-04,1,TRENDING_DOWN,530.8270676691728,47.641284102812016,1.6064195476569938,22958.33333333333,60,1
786,2019-05-07,0,TRENDING_DOWN,14.916286149162856,14.059837179893382,1.6182099876347529,156225.0,60,1
786,2018-09-05,1,TRENDING_DOWN,-6.0,69.34373978306245,1.642390024504474,24800.0,60,1
786,2019-03-06,0,TRENDING_DOWN,16.3076923076923,6.8882076443595865,5.267714197727718,209650.0,60,1
786,2018-09-06,1,TRENDING_DOWN,-6.0,104.2933805950424,1.668376792972951,24550.0,60,1
786,2019-07-18,0,TRENDING_DOWN,-6.0,27.64119110179561,2.5525373628607784,99258.33333333331,60,0
