symbol,date,breakout,regime,outcome,stock_rs,vol_ratio,liquidity,lookback
786,2005-11-29,1,TRENDING_UP,-6.0,,,,20
786,2007-12-13,0,TRENDING_UP,-6.0,32.436983682128165,1.1273680158339328,3900.0,20
786,2005-12-01,1,TRENDING_UP,-6.0,,,,20
786,2025-01-24,0,TRENDING_UP,-6.0,49.073801586668765,1.8018314443829742,44054.61666666667,20
786,2006-01-24,1,TRENDING_UP,-6.0,,,,20
786,2024-06-21,0,TRENDING_UP,-6.0,-17.659091599434955,1.0781348114227298,13133.466666666667,20
786,2006-01-25,1,TRENDING_UP,-6.0,,,,20
786,2012-10-11,0,TRENDING_UP,-6.0,10.268223181127214,1.3385237560861232,11273.316666666668,20
786,2006-01-26,1,TRENDING_UP,-6.0,,,,20
786,2012-09-18,0,TRENDING_UP,-6.0,-2.2938537394076643,1.172724008243781,10729.183333333332,20
786,2006-01-30,1,TRENDING_UP,-6.0,,,,20
786,2025-08-07,0,TRENDING_UP,31.643002028397575,0.012606040625168902,1.1990873395179515,60265.816666666666,20
786,2006-01-31,1,TRENDING_UP,-6.0,,,,20
786,2007-12-10,0,TRENDING_UP,-6.0,47.490196945120665,1.1563093237416875,3358.3333333333335,20
786,2006-02-01,1,TRENDING_UP,-6.0,,,,20
786,2024-09-26,0,TRENDING_UP,-6.0,7.42829813650072,1.3855110115023082,11378.8,20
786,2006-02-03,1,TRENDING_UP,-6.0,84.28689620792622,1.3693778454353323,17275.0,20
786,2010-07-15,0,TRENDING_UP,-6.0,-53.44079766497255,1.1004724023939656,3856.233333333333,20
786,2006-02-06,1,TRENDING_UP,-6.0,65.94477072998448,1.3351659636002287,17516.666666666668,20
786,2008-02-13,0,TRENDING_UP,6.051282051282049,37.89856366171503,1.0811525161806093,7825.0,20
786,2007-05-15,1,TRENDING_UP,-6.0,-22.17544253380941,0.9518978484764544,2616.6666666666665,20
786,2013-07-16,0,TRENDING_UP,-6.0,-43.00228814639838,1.3242818142523545,14666.666666666666,20
786,2007-05-30,1,TRENDING_UP,-6.0,-14.9337941689298,1.0057424752696604,2600.0,20
786,2026-06-03,0,TRENDING_UP,-6.0,5.458546062853944,1.1567770721440347,722828.6,20
786,2007-07-05,1,TRENDING_UP,-6.0,-15.125972120405066,1.0204783920781269,2525.0,20
786,2024-11-20,0,TRENDING_UP,-6.0,1.288861884481495,1.4845059496325828,15877.783333333333,20
786,2007-07-09,1,TRENDING_UP,-6.0,3.412014893688408,1.073101566952495,2708.3333333333335,20
786,2024-12-27,0,TRENDING_UP,-6.0,2.6788502008398822,1.6024832484642961,27271.616666666665,20
786,2007-07-10,1,TRENDING_UP,-6.0,1.9824281795546526,1.0595293712554563,2816.6666666666665,20
786,2024-10-25,0,TRENDING_UP,-6.0,-3.3797129056075423,1.294526591821102,11732.383333333333,20
786,2007-07-11,1,TRENDING_UP,-6.0,9.881861645270234,1.0780540713740405,3075.0,20
786,2025-03-13,0,TRENDING_UP,-6.0,15.796666709617236,1.2305219314165516,29463.133333333335,20
786,2007-09-06,1,VOLATILE,-6.0,51.75108553383335,1.2286003882925065,3241.6666666666665,20
786,2011-03-01,0,VOLATILE,-6.0,-14.239833377096414,1.2341546444429878,11820.416666666666,20
786,2007-09-07,1,VOLATILE,-6.0,57.60063153893366,1.2402156439971002,3291.6666666666665,20
786,2007-11-05,0,VOLATILE,-6.0,55.045693785393546,1.1961292942132464,3850.0,20
786,2007-09-10,1,VOLATILE,-6.0,82.17344477015801,1.2989915357684734,3408.3333333333335,20
786,2025-05-08,0,VOLATILE,-6.0,-19.348510895791406,0.7485940192615969,6351.583333333333,20
786,2007-09-11,1,VOLATILE,-6.0,75.67713501027914,1.2730844498574443,3425.0,20
786,2010-06-22,0,VOLATILE,-6.0,-56.33638802112372,0.9319164688330143,3262.7166666666667,20
786,2007-09-12,1,VOLATILE,-6.0,90.26742463595318,1.2925757541917868,3650.0,20
786,2010-09-03,0,VOLATILE,-6.0,-47.248918396134776,1.1222256092512821,5529.45,20
786,2007-09-13,1,VOLATILE,-6.0,100.11074573293118,1.3025185355523212,3850.0,20
786,2009-10-19,0,VOLATILE,-6.0,-21.133475254555652,1.0760110429075465,5172.283333333334,20
786,2007-12-05,1,TRENDING_UP,-6.0,29.1409575826169,1.11133707264484,3300.0,20
786,2010-03-16,0,TRENDING_UP,-6.0,-48.80791411394897,0.9265600921791524,2133.95,20
786,2007-12-06,1,TRENDING_UP,-6.0,44.7934516378334,1.1405014750738485,3133.3333333333335,20
