symbol,date,entry_close,breakout,lookback,regime,sector,hit_sl,hit_tp_15,hit_tp_10
AGHA,2021-03-01,36.09,1,20,RANGING,ENGINEERING,1,0,0
AGHA,2021-03-02,35.0,1,20,RANGING,ENGINEERING,1,0,0
AGHA,2021-03-09,31.56,1,20,VOLATILE,ENGINEERING,1,0,0
AGHA,2021-03-11,29.92,1,20,VOLATILE,ENGINEERING,1,0,0
AGHA,2021-04-29,27.89,1,20,RANGING,ENGINEERING,1,0,0
AGHA,2021-04-30,26.56,1,20,RANGING,ENGINEERING,1,0,0
AGHA,2021-09-08,29.98,1,20,RANGING,ENGINEERING,1,0,0
AGHA,2021-09-21,28.1,1,20,RANGING,ENGINEERING,1,0,0
AGHA,2021-12-02,24.71,1,20,VOLATILE,ENGINEERING,1,0,0
AGHA,2021-12-03,23.04,1,20,VOLATILE,ENGINEERING,1,0,0
AGHA,2021-12-08,22.27,1,20,TRENDING_DOWN,ENGINEERING,1,0,0
AGHA,2022-02-22,21.7,1,20,RANGING,ENGINEERING,1,0,0
AGHA,2022-02-24,20.39,1,20,RANGING,ENGINEERING,1,0,0
AGHA,2022-02-25,20.05,1,20,TRENDING_DOWN,ENGINEERING,1,0,0
AGHA,2022-03-07,18.78,1,20,TRENDING_DOWN,ENGINEERING,1,0,0
AGHA,2022-03-08,17.81,1,20,TRENDING_DOWN,ENGINEERING,1,0,0
AGHA,2022-05-09,16.04,1,20,RANGING,ENGINEERING,1,0,0
AGHA,2022-05-11,15.21,1,20,TRENDING_DOWN,ENGINEERING,1,0,0
AGHA,2022-06-03,14.55,1,20,TRENDING_DOWN,ENGINEERING,1,0,0
AGHA,2022-06-13,13.83,1,20,TRENDING_DOWN,ENGINEERING,1,0,0
AGHA,2022-07-21,13.48,1,20,TRENDING_DOWN,ENGINEERING,1,0,0
AGHA,2022-09-20,14.5,1,20,TRENDING_DOWN,ENGINEERING,1,0,0
AGHA,2022-09-22,14.08,1,20,TRENDING_DOWN,ENGINEERING,1,0,0
AGHA,2022-10-26,14.57,1,20,RANGING,ENGINEERING,1,0,0
AGHA,2022-10-28,13.84,1,20,RANGING,ENGINEERING,1,0,0
AGHA,2022-12-20,11.45,1,20,TRENDING_DOWN,ENGINEERING,1,0,0
