symbol,date,up_semivol,down_semivol
786,2005-11-29,,
786,2005-12-01,,
786,2006-01-23,,
786,2006-01-24,,
786,2006-01-25,,
786,2006-01-26,,
786,2006-01-30,,
786,2006-01-31,,
786,2006-02-01,,
786,2006-02-03,8.112367450694709,5.924126403633868
786,2006-02-06,7.90969193819737,5.924126403633868
786,2006-06-02,6.266847192378357,5.015702416809474
786,2006-06-13,6.368112765425553,4.21303478061165
786,2007-03-21,4.25372392061052,4.669635942272842
786,2007-05-15,4.567222387794806,4.798017345143498
786,2007-05-30,4.647608103133787,4.621071713101972
786,2007-07-05,4.805879686506674,4.709437969303656
786,2007-07-09,4.920073973239276,4.584909876901785
786,2007-07-10,4.85784667913668,4.584909876901785
786,2007-07-11,4.94278075967702,4.584909876901785
786,2007-09-05,5.619584356683899,4.530325411926126
786,2007-09-06,5.565959560183847,4.530325411926126
786,2007-09-07,5.618580448268387,4.530325411926126
786,2007-09-10,5.679979583697019,4.372607078102928
786,2007-09-11,5.566698076469433,4.372607078102928
786,2007-09-12,5.615366876851709,4.344323231068842
786,2007-09-13,5.658561532897717,4.344323231068842
786,2007-12-04,5.23079405485069,4.734633875311964
786,2007-12-05,5.261774151034292,4.734633875311964
786,2007-12-06,5.297925405832361,4.64525958240371
786,2008-02-15,4.192538058548749,3.8676636577830057
786,2008-02-19,4.180681396080266,3.8676636577830057
786,2008-02-20,4.133146744254674,3.8676636577830057
786,2008-02-21,4.097043998267387,3.8676636577830057
786,2008-02-22,4.070339672288366,3.8676636577830057
786,2008-04-02,3.8279160837738844,3.2051059360641965
786,2008-04-03,3.880786134007945,3.201091202861442
786,2008-04-04,3.931726823358252,2.253533441227797
786,2008-04-07,3.984188381065178,2.2094673814805357
786,2008-04-08,3.903140138134813,2.2094673814805357
786,2008-04-09,3.4742812534725904,2.2094673814805357
786,2008-04-10,3.4335139445863554,2.2094673814805357
786,2008-04-11,3.405034260131354,2.2094673814805357
786,2008-04-14,3.3868110843315162,2.2094673814805357
786,2008-04-15,3.4388006566631377,2.2094673814805357
