symbol,signal_date,entry_date,entry_price,exit_date,exit_price,outcome,return_pct,holding_days,rs_rating,rs_score
BILF,2025-04-21,2025-04-22,22.0,2025-05-08,23.816,sl,8.2545,16,98.9,212.3
BILF,2025-08-06,2025-08-07,25.12,2025-08-11,23.1104,sl,-8.0,4,98.6,336.08
BIPL,2023-06-14,2023-06-15,16.94,2023-06-21,16.0633,sl,-5.1754,6,95.1,33.49
BIPL,2023-06-27,2023-07-03,18.99,2023-07-14,17.6736,sl,-6.9322,11,98.2,49.3
BIPL,2023-10-24,2023-10-25,19.61,2023-11-15,20.6787,sl,5.4498,21,95.5,37.03
BNL,2025-04-25,2025-04-28,34.79,2025-04-29,32.0068,sl,-8.0,1,96.7,101.78
BNL,2025-05-16,2025-05-19,30.52,2025-07-11,81.5676,sl,167.2594,53,95.2,81.53
BNL,2025-07-18,2025-07-21,110.0,2025-07-22,101.2,sl,-8.0,1,99.5,613.54
BNL,2025-08-07,2025-08-08,138.44,2025-08-18,127.3648,sl,-8.0,10,99.8,607.63
BNL,2025-09-15,2025-09-16,150.0,2025-09-19,138.0,sl,-8.0,3,99.5,664.35
BNWM,2025-06-25,2025-06-26,76.0,2025-06-27,69.92,sl,-8.0,1,96.1,106.39
BNWM,2025-06-30,2025-07-01,92.9,2025-07-02,85.468,sl,-8.0,1,96.6,153.27
BNWM,2025-07-15,2025-07-16,109.1,2025-07-17,100.372,sl,-8.0,1,97.3,199.14
BOP,2025-09-17,2025-09-18,22.5,2025-10-13,30.1713,sl,34.0946,25,95.4,122.07
BOP,2025-10-14,2025-10-15,35.24,2025-10-30,35.4644,sl,0.6369,15,98.4,262.39
BOP,2025-12-24,2025-12-26,39.15,2025-12-29,38.88,time,-0.6897,3,97.3,181.89
BUXL,2022-02-04,2022-02-07,164.89,2022-02-10,151.6988,sl,-8.0,3,99.2,56.71
BUXL,2022-04-19,2022-04-20,164.5,2022-04-21,151.34,sl,-8.0,1,98.7,70.89
BWHL,2023-08-10,2023-08-11,124.76,2023-09-07,144.8709,sl,16.1196,27,97.1,52.18
BWHL,2023-10-09,2023-10-10,162.5,2023-11-07,164.4771,sl,1.2167,28,99.6,110.97
BWHL,2023-12-13,2023-12-14,195.0,2024-01-09,179.4,sl,-8.0,26,97.0,74.36
CENI,2022-04-11,2022-04-12,25.9,2022-04-20,23.9301,sl,-7.6056,8,97.7,43.78
CHBL,2025-07-24,2025-07-25,12.75,2025-08-20,20.5983,sl,61.5552,26,96.9,151.27
CHBL,2025-09-12,2025-09-15,26.0,2025-09-18,23.92,sl,-8.0,3,98.1,246.02
CHCC,2023-07-11,2023-07-12,137.5,2023-07-18,126.8493,sl,-7.746,6,95.5,27.08
CLOV,2024-03-25,2024-03-26,39.9,2024-03-27,36.708,sl,-8.0,1,96.6,89.73
CLOV,2024-04-15,2024-04-16,40.0,2024-04-23,36.8,sl,-8.0,7,96.4,83.67
CLOV,2024-04-26,2024-04-29,41.48,2024-05-21,45.7566,sl,10.31,22,96.1,85.61
CLOV,2024-05-23,2024-05-24,52.26,2024-05-29,48.0792,sl,-8.0,5,98.4,145.11
CLVL,2021-02-25,2021-03-01,17.15,2021-03-04,15.778,sl,-8.0,3,96.2,132.64
CLVL,2021-06-02,2021-06-03,27.75,2021-06-04,25.53,sl,-8.0,1,96.0,148.72
CLVL,2021-06-29,2021-06-30,24.5,2021-07-14,25.8409,sl,5.4729,14,96.0,144.61
CPHL,2025-01-17,2025-01-20,78.98,2025-02-27,96.6294,sl,22.3467,38,96.4,103.0
CPHL,2025-04-14,2025-04-15,102.0,2025-04-18,93.84,sl,-8.0,3,98.3,145.91
CSAP,2024-02-29,2024-03-01,57.9,2024-03-25,66.861,sl,15.4767,24,96.0,55.73
CSAP,2024-08-16,2024-08-19,93.49,2024-08-20,86.0108,sl,-8.0,1,96.2,110.75
CSAP,2024-08-22,2024-08-23,96.0,2024-08-26,88.32,sl,-8.0,3,96.4,126.32
CSAP,2024-10-02,2024-10-03,92.79,2024-10-14,85.3924,sl,-7.9724,11,96.3,105.27
CSAP,2024-10-17,2024-10-18,110.49,2024-10-29,103.49,sl,-6.3354,11,96.4,111.61
CSIL,2023-08-16,2023-08-17,2.18,2023-08-29,2.0931,sl,-3.9843,12,95.0,25.32
DAAG,2024-05-20,2024-05-21,41.72,2024-07-18,360.1081,sl,763.1547,58,96.1,103.71
DAAG,2024-12-17,2024-12-18,139.24,2024-12-19,128.1008,sl,-8.0,1,99.3,238.17
DADX,2022-08-05,2022-08-10,102.11,2022-08-23,93.9412,sl,-8.0,13,100.0,152.75
DCR,2022-03-31,2022-04-01,14.85,2022-04-12,14.6897,sl,-1.0794,11,95.9,35.48
DFML,2022-10-20,2022-10-21,9.75,2022-10-27,8.97,sl,-8.0,6,99.6,75.86
DFML,2022-11-24,2022-11-25,11.32,2022-12-16,14.5737,sl,28.7431,21,98.8,99.84
DFML,2023-07-06,2023-07-07,11.88,2023-08-08,12.5401,sl,5.5568,32,98.7,55.97
DFML,2023-08-11,2023-08-15,13.5,2023-09-13,15.909,sl,17.8444,29,98.8,68.18
DFML,2024-04-24,2024-04-25,33.19,2024-05-02,30.5348,sl,-8.0,7,96.1,85.47
DFML,2024-05-16,2024-05-17,37.78,2024-05-20,34.7576,sl,-8.0,3,97.7,130.26
DFML,2024-05-24,2024-05-27,42.84,2024-05-30,39.4128,sl,-8.0,3,98.1,150.31
DFML,2024-05-31,2024-06-03,47.3,2024-06-05,43.516,sl,-8.0,2,99.3,196.57
DFML,2024-08-26,2024-08-27,46.51,2024-09-19,47.1224,sl,1.3168,23,95.9,126.98
DFML,2024-09-25,2024-09-26,50.52,2024-09-30,46.4784,sl,-8.0,4,95.5,117.7
DNCC,2023-05-23,2023-05-24,11.9,2023-05-31,10.948,sl,-8.0,7,97.7,47.25
DNCC,2023-11-06,2023-11-07,15.6,2023-11-08,14.352,sl,-8.0,1,97.2,56.0
DOL,2022-11-02,2022-11-03,25.35,2022-11-18,24.4776,sl,-3.4415,15,95.6,34.43
DOL,2023-03-17,2023-03-20,26.15,2023-04-05,25.1934,sl,-3.658,16,95.4,30.22
DOL,2023-07-19,2023-07-20,28.0,2023-07-24,25.76,sl,-8.0,4,95.7,29.05
DSL,2022-09-01,2022-09-02,6.1,2022-09-09,5.7781,sl,-5.2763,7,95.9,33.16
DWAE,2025-06-10,2025-06-11,41.67,2025-06-12,38.3364,sl,-8.0,1,99.2,394.25
ECOP,2025-05-21,2025-05-22,41.0,2025-06-17,75.6524,sl,84.5181,26,95.8,83.63
EFERT,2022-03-31,2022-04-01,91.07,2022-04-28,94.0421,sl,3.2636,27,95.5,32.51
EMCO,2025-07-23,2025-07-24,91.89,2025-07-28,84.5388,sl,-8.0,4,95.5,127.83
ENGRO,2023-02-02,2023-02-03,308.0,2023-03-13,297.4841,sl,-3.4142,38,95.7,25.62
EPCL,2022-04-14,2022-04-15,85.01,2022-04-18,78.2092,sl,-8.0,3,96.6,42.41
EPCL,2022-04-19,2022-04-20,87.0,2022-04-28,81.3211,sl,-6.5274,8,97.9,44.46
EPQL,2022-02-10,2022-02-11,27.48,2022-03-08,28.3234,sl,3.0692,25,95.9,34.12
EPQL,2022-08-11,2022-08-12,27.5,2022-08-15,25.3,sl,-8.0,3,95.3,38.77
EPQL,2022-10-19,2022-10-20,27.99,2022-10-25,25.7508,sl,-8.0,5,98.3,38.34
EPQL,2022-11-08,2022-11-10,27.6,2022-12-09,26.3101,sl,-4.6734,29,96.0,33.64
ESBL,2025-12-01,2025-12-02,16.38,2025-12-03,15.0696,sl,-8.0,1,95.8,160.7
ESBL,2025-12-04,2025-12-05,17.8,2025-12-08,16.376,sl,-8.0,3,95.1,140.64
ESBL,2025-12-12,2025-12-15,16.8,2025-12-17,15.456,sl,-8.0,2,95.1,136.35
EXIDE,2023-08-04,2023-08-07,354.4,2023-08-09,326.048,sl,-8.0,2,96.6,23.46
EXIDE,2023-08-17,2023-08-18,390.0,2023-08-22,358.8,sl,-8.0,4,97.9,47.83
EXIDE,2023-08-25,2023-08-28,377.86,2023-08-29,347.6312,sl,-8.0,1,97.8,40.58
EXIDE,2024-07-10,2024-07-11,879.99,2024-07-26,895.9806,sl,1.8171,15,95.1,101.49
FABL,2021-11-04,2021-11-05,28.5,2021-11-09,26.7889,sl,-6.004,4,95.0,55.72
FATIMA,2022-03-31,2022-04-01,42.45,2022-04-04,39.054,sl,-8.0,3,96.3,35.59
FCIBL,2025-12-17,2025-12-18,29.41,2025-12-29,34.88,time,18.5991,11,96.0,156.64
FCSC,2025-10-22,2025-10-23,8.34,2025-10-30,7.6728,sl,-8.0,7,97.0,232.54
FDPL,2025-07-17,2025-07-18,6.85,2025-07-24,6.302,sl,-8.0,6,95.0,112.94
FDPL,2025-08-22,2025-08-25,7.65,2025-08-27,7.038,sl,-8.0,2,95.6,148.0
FDPL,2025-10-15,2025-10-16,8.79,2025-10-17,8.0868,sl,-8.0,1,95.5,156.4
FECM,2025-05-29,2025-05-30,21.45,2025-06-19,30.914,sl,44.1212,20,99.0,197.02
FECM,2025-10-08,2025-10-09,42.0,2025-10-10,38.64,sl,-8.0,1,97.2,180.11
FECM,2025-10-24,2025-10-27,56.69,2025-10-28,52.1548,sl,-8.0,1,97.5,267.25
FECTC,2023-12-06,2023-12-07,41.99,2023-12-19,40.1267,sl,-4.4375,12,95.7,47.28
FECTC,2024-01-10,2024-01-11,47.5,2024-01-23,47.7863,sl,0.6027,12,97.1,84.01
FECTC,2024-11-01,2024-11-04,68.92,2024-11-26,72.3939,sl,5.0404,22,95.2,108.92
FECTC,2024-12-04,2024-12-05,107.48,2024-12-10,98.8816,sl,-8.0,5,98.9,190.18
FEM,2025-10-03,2025-10-06,10.97,2025-10-29,10.1054,sl,-7.8812,23,96.3,165.83
FEM,2025-11-03,2025-11-04,12.75,2025-11-17,11.73,sl,-8.0,13,96.2,197.18
FEM,2025-12-02,2025-12-03,15.1,2025-12-12,13.892,sl,-8.0,9,98.2,255.84
FFBL,2023-12-28,2023-12-29,32.3,2024-01-08,29.716,sl,-8.0,10,98.4,89.05
FFBL,2024-10-08,2024-10-09,54.9,2024-11-14,63.5926,sl,15.8335,36,97.0,116.17
FFBL,2024-11-21,2024-11-22,78.1,2024-11-26,71.852,sl,-8.0,4,96.3,131.03
FFBL,2024-12-12,2024-12-13,92.0,2024-12-18,84.64,sl,-8.0,5,96.7,126.79
FFC,2024-12-12,2024-12-13,388.0,2025-01-29,384.8124,sl,-0.8215,47,96.0,114.77
FFC,2025-02-24,2025-02-25,405.1,2025-03-04,394.0319,sl,-2.7322,7,96.6,98.45
FFL,2023-12-27,2023-12-28,11.5,2024-01-04,10.58,sl,-8.0,7,95.9,64.6
FFLM,2025-07-22,2025-07-23,6.91,2025-07-28,6.3572,sl,-8.0,5,95.2,133.2
FFLM,2025-07-31,2025-08-01,7.95,2025-08-13,7.314,sl,-8.0,12,96.9,180.83
FFLM,2025-08-18,2025-08-19,8.28,2025-08-29,7.6176,sl,-8.0,10,97.4,193.96
FFLM,2025-09-24,2025-09-25,8.4,2025-09-26,7.728,sl,-8.0,1,97.0,182.9
FFLM,2025-10-31,2025-11-03,10.4,2025-11-24,12.6376,sl,21.5151,21,96.6,197.89
FIBLM,2025-09-18,2025-09-19,10.6,2025-10-06,10.8357,sl,2.2237,17,95.2,122.34
FLYNG,2024-09-23,2024-09-24,17.2,2024-10-03,16.3674,sl,-4.8405,9,95.8,108.38
FLYNG,2024-10-18,2024-10-21,18.26,2024-11-13,23.1427,sl,26.7399,23,95.9,107.8
FLYNG,2024-12-02,2024-12-03,29.59,2024-12-18,27.8721,sl,-5.8055,15,98.2,153.32
FLYNG,2025-04-21,2025-04-22,28.7,2025-04-24,27.0739,sl,-5.666,2,95.0,84.94
FLYNG,2025-05-27,2025-05-29,57.0,2025-06-13,54.5353,sl,-4.3241,15,99.5,219.87
FNEL,2025-09-16,2025-09-17,11.0,2025-09-18,10.12,sl,-8.0,1,96.1,135.46
FNEL,2025-10-09,2025-10-10,11.9,2025-11-27,20.4769,sl,72.0744,48,95.9,146.63
FPJM,2025-06-25,2025-06-26,5.46,2025-06-27,5.0232,sl,-8.0,1,96.3,114.3
FPJM,2025-10-23,2025-10-24,11.33,2025-10-27,10.4236,sl,-8.0,3,95.7,188.92
FRCL,2021-06-10,2021-06-11,34.69,2021-06-28,33.9669,sl,-2.0846,17,96.5,162.29
FRCL,2025-11-19,2025-11-20,104.99,2025-11-25,96.5908,sl,-8.0,5,97.8,278.56
FTMM,2025-07-17,2025-07-18,23.9,2025-07-21,21.988,sl,-8.0,3,98.8,327.66
FTMM,2025-11-20,2025-11-21,22.99,2025-11-24,21.1508,sl,-8.0,3,97.0,220.15
FZCM,2022-02-11,2022-02-14,282.0,2022-02-15,268.6381,sl,-4.7382,1,98.3,53.89
FZCM,2025-07-11,2025-07-14,405.0,2025-07-16,372.6,sl,-8.0,2,95.4,129.44
GAL,2025-01-13,2025-01-14,362.48,2025-02-04,424.7201,sl,17.1706,21,97.3,143.99
GAL,2025-04-03,2025-04-04,505.85,2025-04-07,465.382,sl,-8.0,3,99.4,187.81
GAL,2025-04-18,2025-04-21,500.0,2025-04-25,467.4261,sl,-6.5148,4,98.3,152.92
GAMON,2023-10-06,2023-10-09,10.14,2023-10-10,9.3288,sl,-8.0,1,95.9,32.22
GAMON,2023-10-11,2023-10-12,11.62,2023-11-06,13.5847,sl,16.908,25,97.6,54.1
