symbol,signal_date,entry_date,entry_price,exit_date,exit_price,outcome,return_pct,rs_rating,rs_score,holding_days,year,rs_bucket
ECOP,2025-05-26,2025-05-27,58.56,2025-05-29,63.2448,tp,8.0,99.0,164.03,2,2025,95-100
ECOP,2025-06-02,2025-06-03,85.75,2025-06-04,82.32,sl,-4.0,99.5,302.9,1,2025,95-100
ECOP,2025-09-29,2025-09-30,71.98,2025-10-01,69.1008,sl,-4.0,92.1,92.62,1,2025,90-95
EFERT,2022-01-05,2022-01-06,77.95,2022-01-19,79.96,time,2.5786,85.1,13.36,13,2022,80-90
EFERT,2022-02-08,2022-02-09,84.74,2022-02-22,86.21,time,1.7347,89.9,19.0,13,2022,80-90
EFERT,2022-03-31,2022-04-01,91.07,2022-04-14,94.51,time,3.7773,95.5,32.51,13,2022,95-100
EFERT,2022-04-19,2022-04-20,96.55,2022-04-28,92.688,sl,-4.0,95.8,31.25,8,2022,95-100
EFERT,2022-11-10,2022-11-11,81.65,2022-11-24,81.72,time,0.0857,80.5,5.29,13,2022,80-90
EFERT,2023-02-09,2023-02-10,84.95,2023-02-23,85.42,time,0.5533,85.4,7.91,13,2023,80-90
EFERT,2023-03-02,2023-03-03,87.51,2023-03-16,90.83,time,3.7939,87.4,8.97,13,2023,80-90
EFERT,2024-01-23,2024-01-24,128.0,2024-01-29,122.88,sl,-4.0,82.1,10.78,5,2024,80-90
EFERT,2024-02-28,2024-02-29,140.97,2024-03-13,147.04,time,4.3059,88.8,23.55,13,2024,80-90
EFERT,2024-03-19,2024-03-20,145.05,2024-04-02,145.23,time,0.1241,89.9,23.3,13,2024,80-90
EFERT,2024-04-03,2024-04-04,151.85,2024-04-24,163.998,tp,8.0,88.0,24.15,20,2024,80-90
EFERT,2024-04-26,2024-04-29,169.99,2024-04-30,163.1904,sl,-4.0,91.0,29.07,1,2024,90-95
EFERT,2024-08-08,2024-08-09,167.0,2024-08-19,160.32,sl,-4.0,83.3,20.24,10,2024,80-90
EFERT,2024-09-13,2024-09-16,172.11,2024-09-19,185.8788,tp,8.0,80.4,18.3,3,2024,80-90
EFERT,2024-10-08,2024-10-09,202.02,2024-10-11,193.9392,sl,-4.0,90.0,41.23,2,2024,80-90
EFERT,2024-10-15,2024-10-16,196.81,2024-10-25,212.5548,tp,8.0,85.3,28.12,9,2024,80-90
EFERT,2024-11-07,2024-11-08,199.9,2024-11-21,208.75,time,4.4272,82.5,17.78,13,2024,80-90
EFUL,2022-03-31,2022-04-01,200.01,2022-04-04,192.0096,sl,-4.0,81.3,6.84,3,2022,80-90
EFUL,2022-09-06,2022-09-08,194.0,2022-09-21,194.0,time,0.0,85.8,8.93,13,2022,80-90
EFUL,2023-03-21,2023-03-22,200.0,2023-03-24,192.0,sl,-4.0,86.8,9.35,2,2023,80-90
ELCM,2025-11-27,2025-11-28,279.54,2025-12-01,268.3584,sl,-4.0,92.7,102.77,3,2025,90-95
EMCO,2023-05-29,2023-05-30,28.0,2023-06-05,30.24,tp,8.0,83.5,6.85,6,2023,80-90
EMCO,2023-11-24,2023-11-27,41.46,2023-11-30,44.7768,tp,8.0,80.3,6.64,3,2023,80-90
EMCO,2025-07-17,2025-07-18,65.37,2025-07-21,62.7552,sl,-4.0,82.6,40.88,3,2025,80-90
EMCO,2025-07-22,2025-07-23,84.24,2025-07-24,90.9792,tp,8.0,93.8,108.26,1,2025,90-95
ENGRO,2023-02-02,2023-02-03,308.0,2023-02-07,295.68,sl,-4.0,95.7,25.62,4,2023,95-100
ENGRO,2023-02-16,2023-02-17,299.99,2023-03-02,304.48,time,1.4967,92.7,18.3,13,2023,90-95
EPCL,2022-02-08,2022-02-09,61.75,2022-02-22,61.99,time,0.3887,84.5,12.9,13,2022,80-90
EPCL,2022-03-31,2022-04-01,66.0,2022-04-05,71.28,tp,8.0,90.7,18.85,4,2022,90-95
EPCL,2022-04-14,2022-04-15,85.01,2022-04-18,81.6096,sl,-4.0,96.6,42.41,3,2022,95-100
EPCL,2022-04-19,2022-04-20,87.0,2022-04-27,83.52,sl,-4.0,97.9,44.46,7,2022,95-100
EPQL,2022-02-02,2022-02-03,21.9,2022-02-09,23.652,tp,8.0,82.0,10.09,6,2022,80-90
EPQL,2022-02-10,2022-02-11,27.48,2022-02-24,27.69,time,0.7642,95.9,34.12,13,2022,95-100
EPQL,2022-08-05,2022-08-10,27.24,2022-08-15,26.1504,sl,-4.0,94.7,35.78,5,2022,90-95
EPQL,2022-10-19,2022-10-20,27.99,2022-10-25,26.8704,sl,-4.0,98.3,38.34,5,2022,95-100
EPQL,2022-11-08,2022-11-10,27.6,2022-11-18,26.496,sl,-4.0,96.0,33.64,8,2022,95-100
ESBL,2025-04-17,2025-04-18,6.75,2025-04-21,6.48,sl,-4.0,85.9,25.25,3,2025,80-90
ESBL,2025-04-22,2025-04-23,7.47,2025-04-24,7.1712,sl,-4.0,88.4,42.99,1,2025,80-90
ESBL,2025-10-14,2025-10-15,9.69,2025-10-16,9.3024,sl,-4.0,81.0,35.56,1,2025,80-90
ESBL,2025-10-21,2025-10-22,12.36,2025-10-23,13.3488,tp,8.0,91.3,85.04,1,2025,90-95
ESBL,2025-12-01,2025-12-02,16.38,2025-12-03,15.7248,sl,-4.0,95.8,160.7,1,2025,95-100
ESBL,2025-12-04,2025-12-05,17.8,2025-12-08,17.088,sl,-4.0,95.1,140.64,3,2025,95-100
ESBL,2025-12-12,2025-12-15,16.8,2025-12-16,16.128,sl,-4.0,95.1,136.35,1,2025,95-100
EXIDE,2021-07-06,2021-07-07,596.0,2021-07-12,572.16,sl,-4.0,82.5,53.7,5,2021,80-90
EXIDE,2023-04-27,2023-04-28,247.0,2023-05-03,237.12,sl,-4.0,85.7,8.88,5,2023,80-90
EXIDE,2023-05-30,2023-05-31,249.0,2023-06-05,268.92,tp,8.0,81.5,5.07,5,2023,80-90
EXIDE,2023-06-07,2023-06-08,290.0,2023-06-09,313.2,tp,8.0,91.7,22.87,1,2023,90-95
EXIDE,2023-08-02,2023-08-03,303.0,2023-08-04,327.24,tp,8.0,83.4,6.93,1,2023,80-90
EXIDE,2023-08-17,2023-08-18,390.0,2023-08-21,374.4,sl,-4.0,97.9,47.83,3,2023,95-100
EXIDE,2023-08-25,2023-08-28,377.86,2023-08-29,362.7456,sl,-4.0,97.8,40.58,1,2023,95-100
EXIDE,2023-11-28,2023-11-29,448.0,2023-11-30,430.08,sl,-4.0,92.3,27.29,1,2023,90-95
EXIDE,2024-01-05,2024-01-08,405.0,2024-01-10,437.4,tp,8.0,81.4,9.94,2,2024,80-90
EXIDE,2024-05-15,2024-05-16,500.0,2024-05-20,480.0,sl,-4.0,83.5,14.11,4,2024,80-90
EXIDE,2024-05-27,2024-05-29,520.0,2024-06-04,499.2,sl,-4.0,86.4,19.26,6,2024,80-90
EXIDE,2024-06-05,2024-06-06,555.0,2024-06-07,532.8,sl,-4.0,90.0,34.12,1,2024,80-90
EXIDE,2024-06-14,2024-06-20,565.0,2024-06-21,610.2,tp,8.0,88.4,21.25,1,2024,80-90
EXIDE,2024-07-08,2024-07-09,700.0,2024-07-10,756.0,tp,8.0,92.9,60.11,1,2024,90-95
EXIDE,2024-07-11,2024-07-12,950.0,2024-07-15,1026.0,tp,8.0,95.9,120.4,3,2024,95-100
EXIDE,2024-11-19,2024-11-20,903.01,2024-11-26,866.8896,sl,-4.0,88.0,42.0,6,2024,80-90
FABL,2021-11-01,2021-11-02,28.49,2021-11-08,27.3504,sl,-4.0,94.6,53.8,6,2021,90-95
FABL,2022-02-01,2022-02-02,27.27,2022-02-10,26.1792,sl,-4.0,91.7,26.99,8,2022,90-95
FABL,2022-02-15,2022-02-16,27.05,2022-02-22,25.968,sl,-4.0,94.4,30.87,6,2022,90-95
FABL,2022-08-31,2022-09-01,26.8,2022-09-05,28.944,tp,8.0,93.2,24.11,4,2022,90-95
FABL,2022-11-02,2022-11-03,30.0,2022-11-08,28.8,sl,-4.0,91.1,17.31,5,2022,90-95
FABL,2024-04-01,2024-04-02,35.5,2024-04-03,38.34,tp,8.0,80.7,4.57,1,2024,80-90
FABL,2024-04-15,2024-04-16,38.22,2024-04-19,41.2776,tp,8.0,82.2,4.53,3,2024,80-90
FABL,2024-05-27,2024-05-29,45.4,2024-05-30,43.584,sl,-4.0,85.2,15.74,1,2024,80-90
FABL,2024-06-05,2024-06-06,43.5,2024-06-07,41.76,sl,-4.0,88.8,25.71,1,2024,80-90
FABL,2024-06-20,2024-06-21,48.6,2024-06-24,46.656,sl,-4.0,90.8,33.17,3,2024,90-95
FABL,2024-06-28,2024-07-01,52.75,2024-07-02,56.97,tp,8.0,92.9,52.22,1,2024,90-95
FABL,2024-07-04,2024-07-05,57.5,2024-07-10,55.2,sl,-4.0,93.7,62.06,5,2024,90-95
FATIMA,2021-11-19,2021-11-22,33.35,2021-11-30,36.018,tp,8.0,80.2,13.65,8,2021,80-90
FATIMA,2022-02-07,2022-02-08,36.74,2022-02-11,35.2704,sl,-4.0,92.0,23.69,3,2022,90-95
FATIMA,2022-03-31,2022-04-01,42.45,2022-04-04,40.752,sl,-4.0,96.3,35.59,3,2022,95-100
FATIMA,2022-04-19,2022-04-20,41.49,2022-04-21,39.8304,sl,-4.0,95.0,30.03,1,2022,90-95
FATIMA,2022-08-29,2022-08-30,38.2,2022-08-31,36.672,sl,-4.0,92.5,20.48,1,2022,90-95
FATIMA,2022-11-18,2022-11-21,37.45,2022-11-28,35.952,sl,-4.0,88.1,14.35,7,2022,80-90
FATIMA,2024-04-26,2024-04-29,52.5,2024-05-02,50.4,sl,-4.0,84.3,11.59,3,2024,80-90
FATIMA,2024-05-17,2024-05-20,50.55,2024-05-30,48.528,sl,-4.0,81.3,11.36,10,2024,80-90
FATIMA,2024-06-25,2024-06-26,52.11,2024-07-05,50.0256,sl,-4.0,83.1,10.41,9,2024,80-90
FATIMA,2024-09-25,2024-09-26,58.0,2024-10-01,62.64,tp,8.0,85.7,25.2,5,2024,80-90
FATIMA,2024-10-07,2024-10-08,62.55,2024-10-14,60.048,sl,-4.0,87.4,30.11,6,2024,80-90
FATIMA,2024-11-21,2024-11-22,70.99,2024-11-25,68.1504,sl,-4.0,82.4,23.36,3,2024,80-90
FATIMA,2024-12-04,2024-12-05,73.48,2024-12-10,79.3584,tp,8.0,82.3,20.41,5,2024,80-90
FATIMA,2024-12-12,2024-12-13,80.0,2024-12-17,76.8,sl,-4.0,85.5,24.75,4,2024,80-90
FATIMA,2024-12-23,2024-12-24,78.11,2024-12-26,74.9856,sl,-4.0,83.7,23.96,2,2024,80-90
FATIMA,2025-01-03,2025-01-06,82.08,2025-01-08,78.7968,sl,-4.0,82.4,17.74,2,2025,80-90
FATIMA,2025-01-17,2025-01-20,82.0,2025-01-31,83.12,time,1.3659,85.1,24.38,11,2025,80-90
FATIMA,2025-03-13,2025-03-14,89.0,2025-03-18,85.44,sl,-4.0,87.5,30.24,4,2025,80-90
FATIMA,2025-08-05,2025-08-06,125.05,2025-08-20,128.68,time,2.9028,81.8,30.32,14,2025,80-90
FATIMA,2025-11-27,2025-11-28,155.0,2025-12-01,148.8,sl,-4.0,82.9,40.33,3,2025,80-90
FCCL,2023-12-04,2023-12-05,20.15,2023-12-19,19.344,sl,-4.0,85.9,17.6,14,2023,80-90
FCCL,2024-04-15,2024-04-16,20.3,2024-04-17,19.488,sl,-4.0,80.2,1.05,1,2024,80-90
FCCL,2024-05-03,2024-05-06,22.0,2024-05-09,21.12,sl,-4.0,82.8,8.62,3,2024,80-90
FCCL,2024-05-30,2024-05-31,23.07,2024-06-04,22.1472,sl,-4.0,80.8,8.66,4,2024,80-90
FCCL,2024-09-10,2024-09-11,23.6,2024-09-13,25.488,tp,8.0,81.5,19.13,2,2024,80-90
FCCL,2024-09-30,2024-10-01,25.12,2024-10-02,27.1296,tp,8.0,86.9,31.47,1,2024,80-90
FCCL,2024-10-07,2024-10-08,28.3,2024-10-09,27.168,sl,-4.0,91.1,46.04,1,2024,90-95
FCCL,2024-10-25,2024-10-28,34.1,2024-10-29,32.736,sl,-4.0,91.7,59.09,1,2024,90-95
FCCL,2024-11-04,2024-11-05,35.74,2024-11-06,34.3104,sl,-4.0,92.9,65.78,1,2024,90-95
FCCL,2024-11-27,2024-11-28,33.93,2024-12-02,36.6444,tp,8.0,84.6,24.55,4,2024,80-90
FCCL,2025-01-22,2025-01-23,40.0,2025-01-28,38.4,sl,-4.0,84.0,17.55,5,2025,80-90
FCCL,2025-02-19,2025-02-20,41.15,2025-03-03,39.504,sl,-4.0,87.8,33.86,11,2025,80-90
FCCL,2025-04-03,2025-04-04,47.8,2025-04-07,45.888,sl,-4.0,93.0,53.42,3,2025,90-95
FCCL,2025-05-13,2025-05-14,47.53,2025-05-23,45.6288,sl,-4.0,87.7,31.53,9,2025,80-90
FCCL,2025-08-19,2025-08-20,53.8,2025-08-21,51.648,sl,-4.0,81.2,29.34,1,2025,80-90
FCCL,2025-09-01,2025-09-02,58.99,2025-09-15,56.6304,sl,-4.0,83.8,35.46,13,2025,80-90
FCEPL,2023-05-24,2023-05-25,69.0,2023-05-26,66.24,sl,-4.0,82.4,3.72,1,2023,80-90
FCIBL,2025-12-12,2025-12-15,22.09,2025-12-16,23.8572,tp,8.0,89.5,72.24,1,2025,80-90
FCIBL,2025-12-17,2025-12-18,29.41,2025-12-19,31.7628,tp,8.0,96.0,156.64,1,2025,95-100
FCIBL,2025-12-22,2025-12-23,39.15,2025-12-24,42.282,tp,8.0,98.2,232.3,1,2025,95-100
FCSC,2025-06-13,2025-06-16,3.17,2025-06-17,3.4236,tp,8.0,90.4,62.44,1,2025,90-95
FCSC,2025-09-16,2025-09-17,4.19,2025-09-18,4.5252,tp,8.0,87.4,49.13,1,2025,80-90
FCSC,2025-10-07,2025-10-08,5.67,2025-10-09,6.1236,tp,8.0,87.2,56.07,1,2025,80-90
FCSC,2025-10-22,2025-10-23,8.34,2025-10-24,9.0072,tp,8.0,97.0,232.54,1,2025,95-100
FDPL,2025-06-17,2025-06-18,4.75,2025-06-19,4.56,sl,-4.0,89.1,54.77,1,2025,80-90
FDPL,2025-06-25,2025-06-26,5.2,2025-06-27,4.992,sl,-4.0,93.7,78.88,1,2025,90-95
FDPL,2025-07-16,2025-07-17,6.22,2025-07-18,6.7176,tp,8.0,91.6,79.06,1,2025,90-95
FDPL,2025-07-22,2025-07-23,7.49,2025-07-24,7.1904,sl,-4.0,95.5,140.25,1,2025,95-100
FDPL,2025-08-22,2025-08-25,7.65,2025-08-26,8.262,tp,8.0,95.6,148.0,1,2025,95-100
FDPL,2025-10-15,2025-10-16,8.79,2025-10-17,8.4384,sl,-4.0,95.5,156.4,1,2025,95-100
FECM,2025-05-29,2025-05-30,21.45,2025-06-02,23.166,tp,8.0,99.0,197.02,3,2025,95-100
FECM,2025-06-03,2025-06-04,28.82,2025-06-05,31.1256,tp,8.0,99.5,357.35,1,2025,95-100
FECM,2025-06-12,2025-06-13,45.82,2025-06-16,43.9872,sl,-4.0,99.8,598.07,3,2025,95-100
FECM,2025-10-08,2025-10-09,42.0,2025-10-10,40.32,sl,-4.0,97.2,180.11,1,2025,95-100
FECM,2025-10-24,2025-10-27,56.69,2025-10-28,54.4224,sl,-4.0,97.5,267.25,1,2025,95-100
FECTC,2022-10-19,2022-10-20,28.0,2022-10-27,26.88,sl,-4.0,92.9,19.12,7,2022,90-95
FECTC,2023-11-30,2023-12-01,29.5,2023-12-04,31.86,tp,8.0,82.2,11.25,3,2023,80-90
FECTC,2023-12-05,2023-12-06,38.5,2023-12-07,41.58,tp,8.0,93.7,36.58,1,2023,90-95
FECTC,2023-12-12,2023-12-13,44.1,2023-12-14,47.628,tp,8.0,95.4,54.37,1,2023,95-100
FECTC,2024-01-10,2024-01-11,47.5,2024-01-17,51.3,tp,8.0,97.1,84.01,6,2024,95-100
FECTC,2024-10-08,2024-10-09,42.21,2024-10-10,40.5216,sl,-4.0,80.4,10.05,1,2024,80-90
FECTC,2024-10-24,2024-10-25,44.9,2024-10-28,43.104,sl,-4.0,87.2,34.05,3,2024,80-90
FECTC,2024-10-31,2024-11-01,61.44,2024-11-04,66.3552,tp,8.0,94.4,85.36,3,2024,90-95
FECTC,2024-11-06,2024-11-07,88.97,2024-11-08,85.4112,sl,-4.0,97.4,170.45,1,2024,95-100
FECTC,2024-12-04,2024-12-05,107.48,2024-12-06,103.1808,sl,-4.0,98.9,190.18,1,2024,95-100
FECTC,2025-06-20,2025-06-23,91.2,2025-07-04,87.552,sl,-4.0,86.9,42.94,11,2025,80-90
FECTC,2025-08-19,2025-08-20,95.01,2025-08-21,91.2096,sl,-4.0,81.9,30.92,1,2025,80-90
FECTC,2025-09-09,2025-09-10,94.2,2025-09-18,101.736,tp,8.0,80.4,25.85,8,2025,80-90
FECTC,2025-09-19,2025-09-22,122.0,2025-09-23,117.12,sl,-4.0,89.0,62.41,1,2025,80-90
FECTC,2025-10-28,2025-10-29,121.0,2025-10-30,116.16,sl,-4.0,82.1,45.33,1,2025,80-90
FECTC,2025-10-31,2025-11-03,134.99,2025-11-06,145.7892,tp,8.0,86.4,58.03,3,2025,80-90
FEM,2025-06-27,2025-06-30,6.3,2025-07-01,6.048,sl,-4.0,86.2,47.54,1,2025,80-90
FEM,2025-07-22,2025-07-23,5.9,2025-07-24,5.664,sl,-4.0,85.4,48.58,1,2025,80-90
FEM,2025-08-11,2025-08-12,6.96,2025-08-13,7.5168,tp,8.0,90.6,65.86,1,2025,90-95
FEM,2025-09-02,2025-09-03,7.45,2025-09-04,7.152,sl,-4.0,92.1,79.58,1,2025,90-95
FEM,2025-09-17,2025-09-18,7.65,2025-09-19,7.344,sl,-4.0,92.2,80.6,1,2025,90-95
FEM,2025-09-24,2025-09-25,7.7,2025-09-29,8.316,tp,8.0,87.1,61.91,4,2025,80-90
FEM,2025-10-01,2025-10-02,10.1,2025-10-03,10.908,tp,8.0,93.2,100.41,1,2025,90-95
FEM,2025-10-06,2025-10-07,12.1,2025-10-08,11.616,sl,-4.0,97.0,197.25,1,2025,95-100
FEM,2025-11-03,2025-11-04,12.75,2025-11-05,13.77,tp,8.0,96.2,197.18,1,2025,95-100
FEM,2025-12-02,2025-12-03,15.1,2025-12-04,16.308,tp,8.0,98.2,255.84,1,2025,95-100
FEROZ,2024-01-01,2024-01-02,233.0,2024-01-11,223.68,sl,-4.0,84.4,16.87,9,2024,80-90
FEROZ,2024-02-06,2024-02-07,236.02,2024-02-09,226.5792,sl,-4.0,83.1,11.02,2,2024,80-90
FEROZ,2024-08-15,2024-08-16,320.01,2024-08-19,307.2096,sl,-4.0,81.2,18.86,3,2024,80-90
FEROZ,2024-09-20,2024-09-23,307.0,2024-09-30,294.72,sl,-4.0,85.2,24.01,7,2024,80-90
FFBL,2023-11-20,2023-11-21,21.45,2023-11-22,23.166,tp,8.0,85.2,10.9,1,2023,80-90
FFBL,2023-11-23,2023-11-24,23.25,2023-11-29,22.32,sl,-4.0,90.8,25.41,5,2023,90-95
FFBL,2023-11-30,2023-12-01,24.4,2023-12-08,26.352,tp,8.0,93.0,27.79,7,2023,90-95
FFBL,2023-12-14,2023-12-15,29.6,2023-12-19,28.416,sl,-4.0,94.6,52.12,4,2023,90-95
FFBL,2023-12-28,2023-12-29,32.3,2024-01-08,31.008,sl,-4.0,98.4,89.05,10,2023,95-100
FFBL,2024-04-08,2024-04-09,29.29,2024-04-16,31.6332,tp,8.0,91.8,34.5,7,2024,90-95
FFBL,2024-04-19,2024-04-22,31.0,2024-04-26,33.48,tp,8.0,93.3,41.82,4,2024,90-95
FFBL,2024-05-20,2024-05-21,34.81,2024-05-27,33.4176,sl,-4.0,93.1,60.0,6,2024,90-95
FFBL,2024-07-02,2024-07-03,38.5,2024-07-04,36.96,sl,-4.0,94.0,67.23,1,2024,90-95
FFBL,2024-07-12,2024-07-15,42.25,2024-07-19,40.56,sl,-4.0,92.9,66.5,4,2024,90-95
FFBL,2024-08-08,2024-08-09,46.0,2024-08-12,44.16,sl,-4.0,93.2,83.62,3,2024,90-95
FFBL,2024-08-22,2024-08-23,45.37,2024-08-27,43.5552,sl,-4.0,94.2,81.17,4,2024,90-95
FFBL,2024-10-08,2024-10-09,54.9,2024-10-23,59.292,tp,8.0,97.0,116.17,14,2024,95-100
FFBL,2024-10-28,2024-10-29,64.5,2024-11-11,65.41,time,1.4109,96.7,117.39,13,2024,95-100
FFBL,2024-11-18,2024-11-19,66.15,2024-11-21,71.442,tp,8.0,94.5,100.53,2,2024,90-95
FFBL,2024-12-12,2024-12-13,92.0,2024-12-16,99.36,tp,8.0,96.7,126.79,3,2024,95-100
FFC,2022-04-11,2022-04-12,117.95,2022-04-26,127.386,tp,8.0,84.6,10.6,14,2022,80-90
FFC,2024-07-30,2024-07-31,187.0,2024-08-08,179.52,sl,-4.0,83.3,14.83,8,2024,80-90
FFC,2024-09-23,2024-09-24,212.0,2024-10-03,228.96,tp,8.0,90.9,42.43,9,2024,90-95
FFC,2024-10-23,2024-10-24,258.5,2024-10-25,279.18,tp,8.0,90.8,55.7,1,2024,90-95
FFC,2024-11-20,2024-11-21,299.4,2024-11-22,323.352,tp,8.0,93.7,78.64,1,2024,90-95
FFC,2024-12-12,2024-12-13,388.0,2024-12-16,419.04,tp,8.0,96.0,114.77,3,2024,95-100
FFC,2025-02-24,2025-02-25,405.1,2025-03-10,394.24,time,-2.6808,96.6,98.45,13,2025,95-100
FFC,2025-07-16,2025-07-17,439.98,2025-07-18,475.1784,tp,8.0,80.8,36.34,1,2025,80-90
FFC,2025-08-04,2025-08-05,461.5,2025-08-08,443.04,sl,-4.0,81.1,28.94,3,2025,80-90
FFL,2023-04-20,2023-04-26,6.39,2023-05-09,6.1344,sl,-4.0,81.6,1.66,13,2023,80-90
FFL,2023-07-11,2023-07-12,6.91,2023-07-13,6.6336,sl,-4.0,83.4,6.86,1,2023,80-90
FFL,2023-11-17,2023-11-20,9.1,2023-11-21,8.736,sl,-4.0,83.6,8.77,1,2023,80-90
FFL,2023-12-08,2023-12-11,10.7,2023-12-13,10.272,sl,-4.0,89.4,24.65,2,2023,80-90
FFL,2023-12-14,2023-12-15,10.99,2023-12-19,10.5504,sl,-4.0,89.6,31.25,4,2023,80-90
FFL,2023-12-27,2023-12-28,11.5,2023-12-29,11.04,sl,-4.0,95.9,64.6,1,2023,95-100
FFL,2024-01-23,2024-01-24,10.99,2024-01-25,10.5504,sl,-4.0,93.8,40.48,1,2024,90-95
FFL,2024-12-26,2024-12-27,16.58,2024-12-31,17.9064,tp,8.0,83.6,19.34,4,2024,80-90
FFL,2025-01-02,2025-01-03,19.3,2025-01-06,18.528,sl,-4.0,86.2,29.13,3,2025,80-90
FFLM,2025-07-22,2025-07-23,6.91,2025-07-25,6.6336,sl,-4.0,95.2,133.2,2,2025,95-100
FFLM,2025-07-28,2025-07-29,7.7,2025-07-30,7.392,sl,-4.0,97.2,178.29,1,2025,95-100
FFLM,2025-07-31,2025-08-01,7.95,2025-08-04,8.586,tp,8.0,96.9,180.83,3,2025,95-100
FFLM,2025-08-18,2025-08-19,8.28,2025-08-20,8.9424,tp,8.0,97.4,193.96,1,2025,95-100
FFLM,2025-09-24,2025-09-25,8.4,2025-09-26,8.064,sl,-4.0,97.0,182.9,1,2025,95-100
FFLM,2025-10-27,2025-10-28,9.0,2025-10-29,8.64,sl,-4.0,93.6,141.2,1,2025,90-95
FFLM,2025-10-31,2025-11-03,10.4,2025-11-04,11.232,tp,8.0,96.6,197.89,1,2025,95-100
FHAM,2025-01-27,2025-01-28,20.16,2025-02-11,20.15,time,-0.0496,88.9,38.01,14,2025,80-90
FHAM,2025-04-10,2025-04-11,21.73,2025-04-24,21.15,time,-2.6691,92.2,47.77,13,2025,90-95
FHAM,2025-09-17,2025-09-18,37.0,2025-09-30,35.52,sl,-4.0,81.6,28.39,12,2025,80-90
FIBLM,2025-09-18,2025-09-19,10.6,2025-09-24,10.176,sl,-4.0,95.2,122.34,5,2025,95-100
FIBLM,2025-09-25,2025-09-26,13.24,2025-09-29,12.7104,sl,-4.0,97.5,218.86,3,2025,95-100
FLYNG,2021-03-05,2021-03-08,17.98,2021-03-09,17.2608,sl,-4.0,80.1,36.9,1,2021,80-90
FLYNG,2021-05-26,2021-05-27,16.0,2021-05-28,15.36,sl,-4.0,84.2,44.72,1,2021,80-90
FLYNG,2021-06-11,2021-06-14,24.03,2021-06-15,23.0688,sl,-4.0,90.4,98.92,1,2021,90-95
FLYNG,2024-08-21,2024-08-22,13.1,2024-08-23,14.148,tp,8.0,90.8,50.8,1,2024,90-95
FLYNG,2024-09-23,2024-09-24,17.2,2024-10-03,16.512,sl,-4.0,95.8,108.38,9,2024,95-100
FLYNG,2024-10-18,2024-10-21,18.26,2024-10-22,19.7208,tp,8.0,95.9,107.8,1,2024,95-100
FLYNG,2024-10-24,2024-10-25,20.69,2024-10-28,19.8624,sl,-4.0,96.7,131.27,3,2024,95-100
FLYNG,2024-10-30,2024-10-31,23.38,2024-11-01,22.4448,sl,-4.0,97.4,146.25,1,2024,95-100
FLYNG,2024-11-06,2024-11-07,29.7,2024-11-08,28.512,sl,-4.0,98.1,225.92,1,2024,95-100
FLYNG,2024-12-02,2024-12-03,29.59,2024-12-06,28.4064,sl,-4.0,98.2,153.32,3,2024,95-100
FLYNG,2025-04-21,2025-04-22,28.7,2025-04-24,27.552,sl,-4.0,95.0,84.94,2,2025,90-95
FLYNG,2025-05-27,2025-05-29,57.0,2025-05-30,54.72,sl,-4.0,99.5,219.87,1,2025,95-100
FML,2023-05-12,2023-05-15,71.8,2023-05-23,68.928,sl,-4.0,84.0,4.92,8,2023,80-90
FML,2023-11-23,2023-11-24,94.9,2023-11-27,91.104,sl,-4.0,80.8,9.01,3,2023,80-90
FNEL,2025-09-01,2025-09-02,7.4,2025-09-03,7.104,sl,-4.0,85.7,42.28,1,2025,80-90
FNEL,2025-09-05,2025-09-08,8.05,2025-09-09,7.728,sl,-4.0,88.0,60.98,1,2025,80-90
FNEL,2025-09-10,2025-09-11,9.0,2025-09-12,9.72,tp,8.0,92.4,76.87,1,2025,90-95
FNEL,2025-09-16,2025-09-17,11.0,2025-09-18,10.56,sl,-4.0,96.1,135.46,1,2025,95-100
FNEL,2025-10-08,2025-10-09,10.44,2025-10-10,11.2752,tp,8.0,94.0,119.16,1,2025,90-95
FPJM,2025-02-19,2025-02-20,5.29,2025-02-21,5.0784,sl,-4.0,94.3,79.23,1,2025,90-95
FPJM,2025-06-16,2025-06-17,5.0,2025-06-18,4.8,sl,-4.0,91.4,73.79,1,2025,90-95
FPJM,2025-06-25,2025-06-26,5.46,2025-06-27,5.2416,sl,-4.0,96.3,114.3,1,2025,95-100
FPJM,2025-09-18,2025-09-19,7.26,2025-09-22,6.9696,sl,-4.0,82.4,33.17,3,2025,80-90
FPJM,2025-10-20,2025-10-21,7.76,2025-10-22,8.3808,tp,8.0,90.2,85.03,1,2025,90-95
FPJM,2025-10-23,2025-10-24,11.33,2025-10-27,10.8768,sl,-4.0,95.7,188.92,3,2025,95-100
FPRM,2025-10-13,2025-10-14,15.8,2025-10-15,15.168,sl,-4.0,82.1,34.71,1,2025,80-90
FRCL,2021-06-10,2021-06-11,34.69,2021-06-18,37.4652,tp,8.0,96.5,162.29,7,2021,95-100
FRCL,2022-02-18,2022-02-21,23.5,2022-02-23,22.56,sl,-4.0,93.9,28.68,2,2022,90-95
FRCL,2024-12-20,2024-12-23,37.95,2024-12-24,40.986,tp,8.0,86.0,32.82,1,2024,80-90
FRCL,2025-05-14,2025-05-15,31.36,2025-05-16,33.8688,tp,8.0,88.5,33.73,1,2025,80-90
FRCL,2025-06-24,2025-06-25,42.68,2025-06-26,40.9728,sl,-4.0,90.3,52.79,1,2025,90-95
