year,TRENDING_UP,RANGING,VOLATILE,TRENDING_DOWN
2015,37.75100401606426,44.97991967871486,15.261044176706829,2.0080321285140563
2016,64.11290322580645,27.016129032258064,0.0,8.870967741935484
2017,23.293172690763054,26.506024096385545,26.907630522088354,23.293172690763054
2018,8.94308943089431,42.68292682926829,18.69918699186992,29.67479674796748
2019,8.906882591093117,30.76923076923077,16.599190283400812,43.7246963562753
2020,36.254980079681275,25.89641434262948,32.27091633466135,5.577689243027888
2021,30.76923076923077,46.558704453441294,18.218623481781375,4.4534412955465585
2022,2.82258064516129,56.85483870967742,0.8064516129032258,39.516129032258064
2023,37.80487804878049,39.02439024390244,11.38211382113821,11.788617886178862
2024,73.98373983739837,15.040650406504067,10.975609756097562,0.0
2025,70.8,8.0,21.2,0.0
2026,48.0,1.6,50.4,0.0
