symbol,start,end,outcome,breakout_idx,close_at_breakout,ema_at_breakout,price_above_ema,ema_rising,ema_slope_pct,raw_pct_move,sma_at_breakout,passes_sma,passes_ema
ABL,1000,1080,down,1091,62.15,59.30041011247026,True,True,1.9118721912984356,4.5374094931617055,56.8649,False,False
ABOT,3840,3920,down,3928,755.01,735.9127897014226,True,True,1.037201499173799,-0.654295969589814,750.7741000000001,False,False
ACPL,600,680,down,695,56.7137,59.18463559023745,False,True,0.0930049061808964,-11.33394576619052,61.28459,True,True
ACPL,2440,2520,down,2521,137.1967,143.8993447155195,False,True,0.3884214747560157,4.832259084948825,147.263865,True,True
ACPL,3720,3800,up,3801,145.63,136.3368517126556,True,True,1.2989016833567906,25.24891849206895,134.48680000000002,True,True
ACPL,3880,3960,down,3961,168.26,164.11886792637395,True,True,1.7067819993924611,16.010935457030786,164.0503,False,False
ADMM,160,240,down,241,216.0,240.49090132171443,False,False,-0.1555366588703091,-27.384259259259245,229.5075,True,True
ADMM,520,600,down,601,61.95,75.35512190640189,False,False,-2.506788344912027,7.3446327683615875,66.433,True,True
ADMM,1960,2040,up,2041,88.05,81.36968001409316,True,True,1.00475144258292,28.847245883021017,86.98445,True,True
ADMM,2520,2600,down,2613,78.0,78.51273784058459,False,True,0.8720627234013703,6.730769230769231,77.14395,False,True
AGIC,1280,1360,up,1361,6.5442,7.15093776568737,False,False,-3.0427078839643245,7.342379511628621,7.171151,False,False
AGIC,1960,2040,up,2046,24.2548,21.732265894559383,True,True,2.084451187463341,6.918218249583591,21.992458000000003,True,True
AGIC,2520,2600,up,2601,28.27,27.212068815905926,True,False,-0.0490062297771855,-4.492394764768305,28.523400000000002,False,True
AGIL,1240,1320,up,1324,69.91,66.91680347864603,True,True,0.228544030877234,-1.3016735803175463,68.43645000000001,True,True
AGIL,1400,1480,down,1481,67.49,70.50188292920309,False,False,-0.3253123329778676,10.697881167580372,71.38575,True,True
AGIL,1520,1600,up,1602,65.0,64.30898608212385,True,False,-0.8359386915638731,31.23076923076923,65.81275,False,True
AGIL,1920,2000,down,2001,70.5,78.61710520700687,False,False,-0.9666870837109928,-22.000000000000007,79.579,True,True
AGL,640,720,down,733,11.36,12.41394368907399,False,False,-1.0856338913140124,-1.232394366197188,12.020150000000001,True,True
AGP,1840,1920,up,1932,200.24,185.63318028270237,True,True,0.6855649286234589,-10.132840591290462,192.80384999999998,True,True
AGTL,1640,1720,up,1737,152.0453,139.65930092966414,True,True,1.2373726294166938,0.3475280064559738,135.9523055,True,True
AHCL,3240,3320,down,3323,32.05,35.438219515792696,False,False,-0.5827495332074227,10.015600624024954,34.96,True,True
AICL,3800,3880,up,3881,44.02,38.76837731248364,True,True,1.48909652526058,-5.883689232167204,37.458800000000004,True,True
AICL,3920,4000,down,4009,39.65,40.357906285729264,False,True,0.0741219465306102,5.195460277427479,40.67295,True,True
AIRLINK,160,240,down,241,35.18,48.69200075526782,False,False,-5.034028181624889,21.688459351904488,48.2932,True,True
AKBL,1800,1880,up,1884,16.51,14.194426794098549,True,True,2.104488633752143,9.751665657177464,13.93845,True,True
ALAC,2720,2800,down,2801,5.0,5.532388692153837,False,False,-1.1762380060093565,4.000000000000004,5.35585,True,True
ALTN,2400,2480,up,2481,4.8335,5.460100096086753,False,False,-3.505613367547457,1.1234095376021611,5.683452999999999,False,False
ALTN,2520,2600,down,2601,4.5212,4.987057155883067,False,False,-1.372779425802965,18.377864283818457,4.7800015,True,True
ALTN,2600,2680,up,2681,4.5538,4.392270398702657,True,False,-2.078479985203522,18.65255391101937,4.446003999999999,True,True
ANL,2360,2440,down,2441,5.22,5.9406596093145225,False,False,-0.8155076596694476,21.264367816091944,5.73725,True,True
