n_hi,n_lo,hit_hi,hit_lo,hit_delta,mwu_two_p,mwu_one_p,cliffs_delta,insufficient_n_flag,test
1028,93012,16.342412451361866,11.46841267793403,4.873999773427837,3.738714621905425e-05,1.8693573109527126e-05,0.07465376000184731,False,candidate_a_stealth2plus_vs_0
7674,93012,12.77039353661715,11.46841267793403,1.3019808586831196,0.7120999484243571,0.6439501780740519,-0.002530556979255305,False,candidate_a_stealth1plus_vs_0
236,99756,20.33898305084746,11.49204057901279,8.84694247183467,0.18187637412129798,0.09093818706064899,0.050231972793276514,False,candidate_b_compound
