,cross_sec_daily_std_%,avg_pairwise_corr
2015,2.8493434352835396,0.20661656596223513
2016,3.0723059564851187,0.14079022358799906
2017,2.608839552052939,0.25282642798654725
2018,2.7400390781980017,0.230936921046539
2019,3.315129522315623,0.27495524598690096
2020,3.404988819625365,0.2685063368300336
2021,3.020033495636858,0.19014548892322833
2022,2.841349988544891,0.22641701426911667
2023,2.950377630674153,0.195772407127916
2024,3.246272628215848,0.14238650161885694
2025,3.0675540770689373,0.18972097593895584
2026,2.9834518427668235,
