symbol,sector,tier,n_rows,n_placeholder_dropped,coverage,min_positive_close
EWIC,INSURANCE,thin,347,15,0.075,35.54
EXIDE,AUTOMOBILE PARTS & ACCESSORIES,mid,4478,0,0.826,44.1847
FABL,COMMERCIAL BANKS,liquid,5261,0,0.97,8.07
FASM,TEXTILE COMPOSITE,thin,2336,2,0.431,21.05
FATIMA,FERTILIZER,liquid,4047,0,0.982,9.17
FCCL,CEMENT,liquid,5275,0,0.972,3.0
FCEPL,FOOD & PERSONAL CARE PRODUCTS,liquid,3689,0,0.981,21.8
FECTC,CEMENT,mid,4833,1,0.891,3.88
FEROZ,PHARMACEUTICALS,liquid,4975,0,0.917,65.39
FFC,FERTILIZER,liquid,5280,0,0.973,28.3816
FFL,FOOD & PERSONAL CARE PRODUCTS,mid,4118,0,0.759,4.39
FLYNG,CEMENT,liquid,4646,0,0.96,0.79
FML,TEXTILE COMPOSITE,thin,2515,2,0.484,5.5
FRCL,GLASS & CERAMICS,thin,3310,12,0.61,0.0001
FSWL,TEXTILE COMPOSITE,thin,396,6,0.073,2.05
FZCM,TEXTILE COMPOSITE,thin,2553,6,0.471,15.6
GAL,AUTOMOBILE ASSEMBLER,liquid,624,0,0.978,61.06
GAMON,MISCELLANEOUS,thin,3285,0,0.606,0.0012
GATM,TEXTILE COMPOSITE,mid,4331,0,0.798,16.5
GCIL,CHEMICAL,liquid,1607,0,0.976,2.5
GEMPAPL,PAPER & BOARD,thin,277,0,0.435,6.75
GEMSPNL,TECHNOLOGY & COMMUNICATION,thin,390,0,0.7,9.31
GFIL,TEXTILE COMPOSITE,thin,3272,0,0.603,1.0
GGGL,GLASS & CERAMICS,liquid,2743,0,0.978,3.103
GGL,CHEMICAL,liquid,4091,0,0.983,6.74
GHGL,GLASS & CERAMICS,liquid,5063,0,0.933,23.55
GHNI,AUTOMOBILE ASSEMBLER,liquid,4897,0,0.903,2.5985
GLAXO,PHARMACEUTICALS,liquid,5257,0,0.969,61.63
GLPL,FOOD & PERSONAL CARE PRODUCTS,thin,2806,1,0.521,22.6993
GOC,MISCELLANEOUS,thin,2474,34,0.457,21.26
GRR,REAL ESTATE INVESTMENT TRUST,liquid,849,0,0.951,9.2
GTYR,AUTOMOBILE PARTS & ACCESSORIES,liquid,5167,0,0.953,7.0
GVGL,GLASS & CERAMICS,thin,3491,0,0.644,5.5281
GWLC,CEMENT,liquid,5042,0,0.93,2.68
HAEL,TEXTILE COMPOSITE,thin,2489,6,0.459,2.0
HAFL,TEXTILE COMPOSITE,thin,533,7,0.098,9.5
HALEON,PHARMACEUTICALS,liquid,845,0,0.971,120.23
HASCOL,OIL & GAS MARKETING COMPANIES,liquid,3009,0,0.981,3.67
HBL,COMMERCIAL BANKS,liquid,4648,0,0.971,51.1
HCAR,AUTOMOBILE ASSEMBLER,liquid,5266,0,0.971,8.39
HCL,TECHNOLOGY & COMMUNICATION,thin,378,32,0.077,1.4444
HICL,INSURANCE,mid,4260,2,0.785,4.51
HINO,AUTOMOBILE ASSEMBLER,mid,4424,3,0.816,35.8655
