symbol,n_candidates,win_rate,mean_R,total_R,sector
GAL,1,0.0,-1.3951219512195132,-1.3951219512195132,AUTOMOBILE ASSEMBLER
GATM,2,0.0,-1.0,-2.0,TEXTILE COMPOSITE
GFIL,2,0.0,-1.0,-2.0,TEXTILE COMPOSITE
GGGL,1,0.0,-1.0000000000000002,-1.0000000000000002,GLASS & CERAMICS
GGL,1,0.0,-1.2083333333333368,-1.2083333333333368,CHEMICAL
GHGL,6,16.666666666666664,-0.6034858387799562,-3.6209150326797372,GLASS & CERAMICS
GHNI,3,66.66666666666666,1.7302304371091026,5.190691311327308,AUTOMOBILE ASSEMBLER
GLAXO,4,25.0,1.1078629032258147,4.431451612903259,PHARMACEUTICALS
GLPL,2,0.0,-1.6499491353001032,-3.2998982706002065,FOOD & PERSONAL CARE PRODUCTS
GTYR,1,0.0,-1.147826086956523,-1.147826086956523,AUTOMOBILE PARTS & ACCESSORIES
GVGL,1,0.0,-1.0,-1.0,GLASS & CERAMICS
GWLC,2,50.0,7.651397673944068,15.302795347888136,CEMENT
HALEON,1,0.0,-1.0,-1.0,PHARMACEUTICALS
HASCOL,1,0.0,-1.0,-1.0,OIL & GAS MARKETING COMPANIES
HBL,3,0.0,-1.0,-3.0,COMMERCIAL BANKS
HINO,1,0.0,-1.3066548755778926,-1.3066548755778926,AUTOMOBILE ASSEMBLER
HINOON,1,0.0,-1.0,-1.0,PHARMACEUTICALS
HMB,4,25.0,0.10356009070294908,0.4142403628117963,COMMERCIAL BANKS
HTL,1,100.0,8.589285714285715,8.589285714285715,OIL & GAS MARKETING COMPANIES
HUBC,1,100.0,1.972222222222228,1.972222222222228,POWER GENERATION & DISTRIBUTION
HUMNL,1,100.0,1.246153846153848,1.246153846153848,TECHNOLOGY & COMMUNICATION
IBLHL,3,0.0,-1.0933333333333337,-3.280000000000001,PHARMACEUTICALS
IGIL,2,50.0,0.8320209973753305,1.664041994750661,INSURANCE
ILP,1,100.0,5.361809045226122,5.361809045226122,TEXTILE COMPOSITE
INDU,2,0.0,-1.0,-2.0,AUTOMOBILE ASSEMBLER
ISIL,1,0.0,-1.0,-1.0,FOOD & PERSONAL CARE PRODUCTS
ISL,3,0.0,-1.2993701550387575,-3.8981104651162726,ENGINEERING
ITTEFAQ,1,100.0,4.636363636363631,4.636363636363631,ENGINEERING
JGICL,3,33.33333333333333,0.5774118058745069,1.7322354176235208,INSURANCE
JLICL,2,0.0,-0.9902968036529675,-1.980593607305935,INSURANCE
JSBL,5,0.0,-1.0652941176470596,-5.326470588235298,COMMERCIAL BANKS
JUBS,1,0.0,-1.0,-1.0,TEXTILE COMPOSITE
JVDC,1,0.0,-1.0,-1.0,PROPERTY
KAPCO,5,0.0,-1.2,-6.0,POWER GENERATION & DISTRIBUTION
KEL,1,0.0,-1.0,-1.0,POWER GENERATION & DISTRIBUTION
KML,1,0.0,-1.0,-1.0,TEXTILE COMPOSITE
KOHC,4,0.0,-1.0753642808559618,-4.301457123423847,CEMENT
KOHE,1,0.0,-1.0000000000000002,-1.0000000000000002,POWER GENERATION & DISTRIBUTION
KOHP,1,0.0,-1.0,-1.0,POWER GENERATION & DISTRIBUTION
KOIL,3,0.0,-1.0,-3.0,TEXTILE COMPOSITE
KTML,1,0.0,-3.0,-3.0,TEXTILE COMPOSITE
LOADS,2,50.0,2.9916253101736996,5.983250620347399,AUTOMOBILE PARTS & ACCESSORIES
LOTCHEM,3,33.33333333333333,10.73484848484852,32.20454545454556,CHEMICAL
LPGL,1,0.0,-1.0,-1.0,CHEMICAL
LPL,4,0.0,-1.0,-4.0,POWER GENERATION & DISTRIBUTION
LUCK,1,100.0,39.48387096774209,39.48387096774209,CEMENT
MACFL,1,0.0,-1.0,-1.0,MISCELLANEOUS
MACTER,2,0.0,-1.0,-2.0,PHARMACEUTICALS
MARI,1,0.0,-0.2478217787952318,-0.2478217787952318,OIL & GAS EXPLORATION COMPANIES
MCB,6,0.0,-0.9495333709121653,-5.697200225472992,COMMERCIAL BANKS
MEBL,5,0.0,-1.082352941176471,-5.411764705882355,COMMERCIAL BANKS
MERIT,4,50.0,3.1475091874234318,12.590036749693727,PAPER & BOARD
MFFL,1,0.0,-1.0,-1.0,FOOD & PERSONAL CARE PRODUCTS
MFL,1,0.0,-1.6000000000000083,-1.6000000000000083,FOOD & PERSONAL CARE PRODUCTS
MLCF,3,0.0,-1.0000000000000002,-3.0000000000000004,CEMENT
MSCL,1,0.0,-1.9875776397515508,-1.9875776397515508,ENGINEERING
MSOT,2,50.0,37.88888888888885,75.7777777777777,TEXTILE COMPOSITE
MTL,5,20.0,-0.21760176208397525,-1.0880088104198762,AUTOMOBILE ASSEMBLER
MUGHAL,1,0.0,-1.888888888888911,-1.888888888888911,ENGINEERING
MUREB,3,0.0,-1.1420061949011207,-3.426018584703362,FOOD & PERSONAL CARE PRODUCTS
MWMP,1,0.0,-1.5957446808510651,-1.5957446808510651,MISCELLANEOUS
NATF,4,0.0,-1.0,-4.0,FOOD & PERSONAL CARE PRODUCTS
NBP,4,50.0,5.332161705599268,21.328646822397072,COMMERCIAL BANKS
NCL,4,25.0,2.399999999999995,9.59999999999998,TEXTILE COMPOSITE
NCPL,2,0.0,-1.0,-2.0,POWER GENERATION & DISTRIBUTION
NESTLE,1,0.0,-1.1136363636363635,-1.1136363636363635,FOOD & PERSONAL CARE PRODUCTS
NETSOL,1,0.0,-1.0,-1.0,TECHNOLOGY & COMMUNICATION
NICL,1,0.0,-1.0,-1.0,CHEMICAL
NML,1,0.0,-1.0,-1.0,TEXTILE COMPOSITE
NRL,1,0.0,-1.0,-1.0,REFINERY
NRSL,1,0.0,-1.128205128205131,-1.128205128205131,CHEMICAL
OBOY,1,0.0,-1.0,-1.0,OIL & GAS MARKETING COMPANIES
OGDC,5,20.0,0.2740740740740744,1.370370370370372,OIL & GAS EXPLORATION COMPANIES
PABC,1,100.0,14.427272727272706,14.427272727272706,MISCELLANEOUS
PACE,1,100.0,6.985074626865672,6.985074626865672,PROPERTY
PAEL,9,33.33333333333333,1.39439270547377,12.54953434926393,CABLE & ELECTRICAL GOODS
PAKD,3,33.33333333333333,-0.04598506069094525,-0.13795518207283575,TECHNOLOGY & COMMUNICATION
PAKOXY,4,50.0,3.7282196537325936,14.912878614930374,CHEMICAL
PAKRI,2,50.0,1.6321839080459837,3.2643678160919674,INSURANCE
PCAL,1,0.0,-1.3370535714285734,-1.3370535714285734,CABLE & ELECTRICAL GOODS
PECO,2,100.0,3.6194590294351627,7.2389180588703255,ENGINEERING
PIBTL,1,0.0,-1.0000000000000002,-1.0000000000000002,TRANSPORT
PICT,4,0.0,-1.1814208518753975,-4.72568340750159,TRANSPORT
PIL,2,0.0,-1.1247974068071318,-2.2495948136142636,INSURANCE
PIOC,3,0.0,-2.3333333333333335,-7.0,CEMENT
PKGI,2,0.0,-1.0316666666666663,-2.0633333333333326,INSURANCE
