symbol,start,end,leg_index,entry_bar,entry_price,lfd_level,r_lfd_denom,exit_bar,exit_type,realized_R
MSOT,960,1040,0,1041,28.35,27.0,1.3500000000000014,1131,horizon,76.7777777777777
MTL,200,280,0,283,65.7186,62.5698,3.1487999999999943,308,lfd,-1.0
MTL,200,280,1,309,62.9761,61.5743,1.4018000000000015,310,lfd,-1.0
MTL,200,280,2,311,61.9096,59.8273,2.0822999999999965,396,lfd,-1.0
MTL,200,280,3,397,60.9446,57.8974,3.0472000000000037,409,lfd,-1.0
MTL,1560,1640,0,1643,140.8413,129.3095,11.531799999999976,1733,horizon,2.9119911895801236
MTL,4160,4240,0,4243,304.0909,309.7447,5.653800000000047,4259,lfd,-1.0
MTL,4160,4240,1,4267,316.3632,320.3935,4.030300000000011,4357,horizon,36.15140312135563
MUREB,2600,2680,0,2681,1008.17,960.17,48.0,2684,lfd,-1.0
MUREB,2600,2680,1,2685,994.37,955.0,39.370000000000005,2689,lfd,-1.0
MUREB,2600,2680,2,2690,958.42,924.35,34.069999999999936,2691,lfd,-1.0
MUREB,2600,2680,3,2692,864.98,910.5,-45.51999999999998,2693,lfd,-1.0
MUREB,3120,3200,0,3208,589.99,555.0,34.99000000000001,3249,lfd,-1.0
MUREB,3120,3200,1,3250,569.9,550.65,19.25,3252,lfd,-1.0
MUREB,3120,3200,2,3270,563.5,549.99,13.509999999999991,3273,lfd,-1.0
MUREB,3120,3200,3,3279,564.05,540.0,24.049999999999955,3328,lfd,-1.0
