sector,symbol,start,end,kind,outcome,direction,type_trigger,trigger_bar,entry_price,lfd_level,open_at_trigger,gapped,realistic_exit_price,realistic_realized_R,worse_by_R
CHEMICAL,AGL,40,120,descending,sequential,down,4.0,152,21.46,23.75,23.9,True,23.9,-1.065502183406113,-0.06550218340611291
CHEMICAL,AGL,640,720,symmetrical,down,down,4.0,738,11.36,11.7,11.4,False,11.7,-1.0000000000000002,-2.220446049250313e-16
CHEMICAL,AGL,2640,2720,symmetrical,sequential,up,4.0,2730,4.09,3.94,4.0,False,3.94,-1.0,0.0
PHARMACEUTICALS,AGP,1840,1920,descending,up,up,1.0,1976,200.24,194.0,194.23,False,194.0,-1.0,0.0
AUTOMOBILE ASSEMBLER,AGTL,1640,1720,descending,up,up,4.0,1740,152.0453,146.999,148.3402,False,146.999,-1.0,0.0
AUTOMOBILE ASSEMBLER,AGTL,3680,3760,descending,sequential,down,4.0,3763,340.82,348.99,345.0,False,348.99,-1.0,0.0
AUTOMOBILE ASSEMBLER,AGTL,4480,4560,descending,sequential,down,3.0,4581,335.67,342.85,339.97,False,342.85,-1.0,0.0
INSURANCE,AICL,1800,1880,ascending,sequential,up,3.0,1909,68.88,65.51,67.39,False,65.51,-1.0,0.0
INSURANCE,AICL,3800,3880,descending,up,up,4.0,3885,44.02,43.0,44.0,False,43.0,-1.0,0.0
INSURANCE,AICL,3920,4000,ascending,down,down,4.0,4012,39.65,40.35,39.7,False,40.35,-1.0,0.0
TECHNOLOGY & COMMUNICATION,AIRLINK,160,240,descending,down,down,4.0,254,35.18,36.38,34.95,False,36.38,-1.0,0.0
MISCELLANEOUS,AKDHL,240,320,descending,whipsaw,up,4.0,323,422.1,385.0,400.0,False,385.0,-1.0,0.0
MISCELLANEOUS,AKDHL,880,960,descending,whipsaw,down,4.0,968,131.04,140.5,138.0,False,140.5,-1.0,0.0
INSURANCE,ALAC,2720,2800,symmetrical,down,down,4.0,2802,5.0,5.1,5.2,True,5.2,-2.0000000000000098,-1.0000000000000098
POWER GENERATION & DISTRIBUTION,ALTN,2200,2280,descending,whipsaw,down,4.0,2293,6.2456,6.3813,6.6529,True,6.6529,-3.001473839351495,-2.001473839351495
POWER GENERATION & DISTRIBUTION,ALTN,2400,2480,descending,up,up,3.0,2492,4.8335,4.6326,4.6299,True,4.6299,-1.0134395221503234,-0.013439522150323402
TEXTILE COMPOSITE,ANL,2360,2440,symmetrical,down,down,1.0,2515,5.22,5.58,5.29,False,5.58,-1.0,0.0
TEXTILE COMPOSITE,ANL,3600,3680,symmetrical,down,down,2.0,3745,12.15,12.7,12.7,False,12.7,-1.0,0.0
TEXTILE COMPOSITE,ANTM,440,520,descending,sequential,up,4.0,525,18.76,18.3,18.4,False,18.3,-1.0000000000000002,-2.220446049250313e-16
OIL & GAS MARKETING COMPANIES,APL,1400,1480,symmetrical,up,up,2.0,1509,166.0422,164.4244,169.1416,False,164.4244,-1.0,0.0
OIL & GAS MARKETING COMPANIES,APL,3160,3240,ascending,down,down,4.0,3266,327.2201,333.1737,326.5949,False,333.1737,-1.0,0.0
OIL & GAS MARKETING COMPANIES,APL,3880,3960,descending,up,up,4.0,3965,257.2351,248.9871,250.8951,False,248.9871,-1.0,0.0
OIL & GAS MARKETING COMPANIES,APL,3920,4000,descending,sequential,up,4.0,4003,250.144,244.2096,251.6463,False,244.2096,-1.0,0.0
OIL & GAS MARKETING COMPANIES,APL,4640,4720,ascending,up,up,4.0,4726,412.9,408.0,417.89,False,408.0,-1.0,0.0
TEXTILE COMPOSITE,ARUJ,640,720,symmetrical,up,up,1.0,743,22.59,18.9,19.5,False,18.9,-1.0000000000000002,-2.220446049250313e-16
