sector,symbol,start,end,kind,outcome,horizon,excluded_insufficient_data,raw_pct_move,pct_of_measured_move,height_pct_of_price
TEXTILE COMPOSITE,ADMM,1960,2040,descending,up,20,False,35.74105621805792,739.2840571710485,4.834549842022157
TEXTILE COMPOSITE,ADMM,1960,2040,descending,up,30,False,40.01135718341852,827.6128800170335,4.834549842022157
TEXTILE COMPOSITE,ADMM,1960,2040,descending,up,60,False,28.847245883021017,596.6893883744722,4.834549842022157
TEXTILE COMPOSITE,ADMM,1960,2040,descending,up,90,False,2.2146507666098842,45.80883099725284,4.834549842022157
TEXTILE COMPOSITE,ADMM,2520,2600,ascending,down,10,False,4.115384615384608,59.9375332420475,6.866122766122738
TEXTILE COMPOSITE,ADMM,2520,2600,ascending,down,20,False,7.051282051282051,102.6967080471221,6.866122766122738
TEXTILE COMPOSITE,ADMM,2520,2600,ascending,down,30,False,0.9615384615384616,14.004096551880284,6.866122766122738
TEXTILE COMPOSITE,ADMM,2520,2600,ascending,down,60,False,6.730769230769231,98.028675863162,6.866122766122738
TEXTILE COMPOSITE,ADMM,2520,2600,ascending,down,90,False,2.307692307692304,33.60983172451263,6.866122766122738
ENGINEERING,AGHA,1200,1280,symmetrical,sequential,10,False,-7.097457627118644,-124.4604129111116,5.702582420474194
ENGINEERING,AGHA,1200,1280,symmetrical,sequential,20,False,-8.474576271186429,-148.60944825207335,5.702582420474194
ENGINEERING,AGHA,1200,1280,symmetrical,sequential,30,False,-18.644067796610166,-326.9407861545618,5.702582420474194
ENGINEERING,AGHA,1200,1280,symmetrical,sequential,60,False,-31.144067796610166,-546.1397223263702,5.702582420474194
ENGINEERING,AGHA,1200,1280,symmetrical,sequential,90,False,-15.254237288135588,-267.49700685373233,5.702582420474194
INSURANCE,AGIC,1280,1360,descending,up,10,False,4.895938388191073,66.28254555393517,7.386467051430863
INSURANCE,AGIC,1280,1360,descending,up,20,False,7.22624614162159,97.83088574424444,7.386467051430863
INSURANCE,AGIC,1280,1360,descending,up,30,False,20.512820512820507,277.70814341948335,7.386467051430863
INSURANCE,AGIC,1280,1360,descending,up,60,False,7.342379511628621,99.40313089471233,7.386467051430863
INSURANCE,AGIC,1280,1360,descending,up,90,False,5.012071758198103,67.85479070440304,7.386467051430863
INSURANCE,AGIC,1960,2040,symmetrical,up,10,False,3.144944505829783,95.43695081254762,3.295311175654513
INSURANCE,AGIC,1960,2040,symmetrical,up,20,False,18.23927634942362,553.4917759565132,3.295311175654513
INSURANCE,AGIC,1960,2040,symmetrical,up,30,False,13.207694971716947,400.802663775558,3.295311175654513
INSURANCE,AGIC,1960,2040,symmetrical,up,60,False,6.918218249583591,209.9412735493636,3.295311175654513
INSURANCE,AGIC,1960,2040,symmetrical,up,90,False,1.8870491614031,57.26467276730839,3.295311175654513
INSURANCE,AGIC,2520,2600,ascending,up,10,False,-4.704633887513259,-97.78743560617697,4.811082178758025
INSURANCE,AGIC,2520,2600,ascending,up,20,False,-6.261054120976299,-130.1381661826567,4.811082178758025
INSURANCE,AGIC,2520,2600,ascending,up,30,False,-0.7782101167315135,-16.175365288239735,4.811082178758025
INSURANCE,AGIC,2520,2600,ascending,up,60,False,-4.492394764768305,-93.37597234574801,4.811082178758025
INSURANCE,AGIC,2520,2600,ascending,up,90,False,-6.261054120976299,-130.1381661826567,4.811082178758025
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1240,1320,descending,up,10,False,1.6020597911600696,50.00579851388925,3.2037480427696656
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1240,1320,descending,up,20,False,7.366614218280655,229.9373770951151,3.2037480427696656
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1240,1320,descending,up,30,False,8.02460306107853,250.47547291331927,3.2037480427696656
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1240,1320,descending,up,60,False,-1.3016735803175463,-40.6297112925347,3.2037480427696656
