
SYMBOL	NAME	LDCP	CURRENT	CHANGE	CHANGE (%)	IDX WTG (%)	IDX POINT	VOLUME	SHARES (M)	MARKET CAP (M)
KOIL	Kohinoor Industries Limited	45.85	46.15	 0.30	 0.65%	0.01%	0.05	178,318	30	1,398
UDLI	UDL International Limited	19.50	19.17	 -0.33	 -1.69%	0.00%	-0.06	172,258	35	673
786	786 Investments Limited	26.50	25.97	 -0.53	 -2.00%	0.00%	-0.06	170,121	20	518
KOHE	Kohinoor Energy Limited	15.49	15.39	 -0.10	 -0.65%	0.01%	-0.09	168,932	169	2,608
IPAKXB	International Packaging Films Limited	32.98	33.00	 0.02	 0.06%	0.13%	0.08	168,494	735	24,262
ADMM	Artistic Denim Mills Limited	66.99	67.08	 0.09	 0.13%	0.03%	0.04	152,882	84	5,635
SAZEW	Sazgar Engineering Works Limited	2,073.55	2,093.47	 19.92	 0.96%	0.66%	6.55	152,737	60	126,542
AGL	Agritech Limited	46.83	46.98	 0.15	 0.32%	0.15%	0.49	140,572	599	28,145
ATRL	Attock Refinery Limited	861.05	857.01	 -4.04	 -0.47%	0.48%	-2.34	138,414	107	91,371
EMCO	Emco Industries Limited	51.05	50.12	 -0.93	 -1.82%	0.01%	-0.18	134,240	35	1,754
MSOT	Masood Textile Mills Limited	82.21	84.99	 2.78	 3.38%	0.03%	1.02	124,049	68	5,737
MRNSXD	Mehran Sugar Mills Limited	61.57	61.81	 0.24	 0.39%	0.02%	0.10	120,892	75	4,631
PINL	Premier Insurance Limited	9.55	9.79	 0.24	 2.51%	0.00%	0.07	117,019	51	495
DEL	Dawood Equities Limited	19.49	18.14	 -1.35	 -6.93%	0.00%	-0.20	115,409	28	499
ACPL	Attock Cement Pakistan Limited	228.17	234.23	 6.06	 2.66%	0.17%	4.53	112,410	137	32,190
MWMP	Mandviwala Mauser Plastic Industries	66.95	68.29	 1.34	 2.00%	0.01%	0.21	110,583	29	1,963
LEUL	Leather Up Limited	46.86	49.63	 2.77	 5.91%	0.00%	0.09	110,155	6	298
GEMPAPL	Pak Agro Packaging Limited(GEM)	10.45	9.45	 -1.00	 -9.57%	0.00%	-0.11	109,000	20	189
CJPLNC	Crescent Jute Products Limited	12.92	13.14	 0.22	 1.70%	0.00%	0.03	107,934	24	312
BAHL	Bank AL Habib Limited	166.22	169.62	 3.40	 2.05%	0.99%	20.54	106,361	1,111	188,520
DOL	Descon Oxychem Limited	31.65	31.84	 0.19	 0.60%	0.03%	0.18	104,251	175	5,573
ANTM	AN Textile Mills Limited	33.65	37.02	 3.37	 10.02%	0.00%	0.18	104,180	10	358
MIRKS	Mirpurkhas Sugar Mills Limited	32.41	32.24	 -0.17	 -0.52%	0.01%	-0.06	95,886	67	2,146
FML	Feroze1888 Mills Limited	52.50	51.99	 -0.51	 -0.97%	0.11%	-1.11	95,832	399	20,765
PAKL	Pak Leather Crafts Limited	46.02	46.33	 0.31	 0.67%	0.00%	0.01	95,755	3	158
MACFL	MACPAC Films Limited	59.70	60.12	 0.42	 0.70%	0.02%	0.14	90,279	59	3,565
DWAENC	Dewan Automotive Engineering Limited	25.55	25.10	 -0.45	 -1.76%	0.00%	-0.05	89,868	21	537
AHL	Arif Habib Limited	110.28	111.88	 1.60	 1.45%	0.04%	0.57	87,255	65	7,310
PILNC	PICIC Insurance Limited	5.53	5.47	 -0.06	 -1.08%	0.00%	-0.01	86,219	35	191
BLUEX	Blue-Ex Limited	6.30	6.27	 -0.03	 -0.48%	0.01%	-0.05	84,309	284	1,782
ICCI	ICC Industries Limited	14.93	13.87	 -1.06	 -7.10%	0.00%	-0.17	84,176	30	416
UVIC	The Universal Insurance Company Limited	24.66	24.88	 0.22	 0.89%	0.01%	0.06	78,462	50	1,244
APL	Attock Petroleum Limited	529.49	533.69	 4.20	 0.79%	0.35%	2.84	76,286	124	66,400
TRIPF	Tri-Pack Films Limited	145.87	146.39	 0.52	 0.36%	0.03%	0.11	75,477	39	5,680
LIVEN	Liven Pharma Limited	38.55	39.02	 0.47	 1.22%	0.02%	0.29	73,388	113	4,411
EFUL	EFU Life Assurance Limited	152.00	154.17	 2.17	 1.43%	0.08%	1.24	71,505	105	16,188
FIBLM	First IBL Modaraba	11.59	11.05	 -0.54	 -4.66%	0.00%	-0.06	71,349	22	240
PICT	Pakistan International Container	38.05	37.89	 -0.16	 -0.42%	0.02%	-0.09	71,192	109	4,136
BIFO	Biafo Industries Limited	129.93	131.02	 1.09	 0.84%	0.03%	0.27	69,203	46	6,077
FPJM	First Punjab Modaraba	7.83	7.88	 0.05	 0.64%	0.00%	0.01	68,038	34	268
TATM	Tata Textile Mills Limited	135.45	136.41	 0.96	 0.71%	0.04%	0.29	66,971	56	7,638
DAAG	Data Agro Limited	103.47	98.07	 -5.40	 -5.22%	0.00%	-0.12	66,276	4	392
TCORP	Tariq Corporation Limited	23.26	23.31	 0.05	 0.22%	0.01%	0.02	66,226	66	1,543
PKGS	Packages Limited	749.96	761.96	 12.00	 1.60%	0.36%	5.83	66,171	89	68,104
ICL	Ittehad Chemicals Limted	138.97	139.87	 0.90	 0.65%	0.07%	0.49	66,099	100	13,987
SURC	Suraj Cotton Mills Limited	146.65	140.00	 -6.65	 -4.53%	0.04%	-1.76	65,951	49	6,833
PTL	Panther Tyres Ltd.	51.43	52.92	 1.49	 2.90%	0.05%	1.36	64,195	168	8,891
HINOON	Highnoon Laboratories Limited	962.97	962.59	 -0.38	 -0.04%	0.27%	-0.11	63,602	53	51,001
SAIF	Saif Textile Mills Limited	34.81	34.14	 -0.67	 -1.92%	0.00%	-0.10	63,371	26	902
