Ticker,Episode,Entry_Date,Exit_Date,Duration_Days,Momentum_On_Entry,Perf_30d_On_Entry,Perf_10d_On_Entry,Note
ABL,36,2024-08-22,2024-08-29,7,Recovering,-7.05,2.12,
ABL,37,2024-10-08,2024-10-17,9,Recovering,-1.42,3.12,
ABL,38,2024-10-22,2024-10-28,6,Rolling Over,2.91,-0.53,
ABL,39,2024-10-29,2024-11-07,9,Cooling Down,5.54,0.49,
ABL,40,2024-11-22,2024-12-13,21,Cooling Down,6.66,3.51,
ABL,41,2024-12-30,2025-01-07,8,Cooling Down,22.84,6.87,
ABL,42,2025-01-08,2025-02-07,30,Cooling Down,8.41,2.97,
ABL,43,2025-02-10,2025-02-13,3,Rolling Over,7.98,-0.04,
ABL,44,2025-02-14,2025-02-17,3,Rolling Over,1.94,-0.7,
ABL,45,2025-02-20,2025-02-21,1,Rolling Over,1.73,-1.56,
ABL,46,2025-02-25,2025-02-28,3,Cooling Down,3.34,0.09,
ABL,47,2025-03-04,2025-03-05,1,Recovering,-1.42,2.27,
ABL,48,2025-03-07,2025-03-10,3,Recovering,-0.29,0.65,
ABL,49,2025-06-11,2025-06-23,12,Heating Up,8.99,10.66,
ABL,50,2025-06-24,2025-06-26,2,Rolling Over,9.8,-1.27,
ABL,51,2025-06-27,2025-07-28,31,Cooling Down,10.52,1.97,
ABL,52,2025-07-30,2025-08-21,22,Rolling Over,27.87,-11.11,
ABL,53,2025-08-22,2025-08-25,3,Cooling Down,10.09,0.09,
ABL,54,2025-10-02,2025-10-23,21,Heating Up,3.23,12.3,
ABL,55,2025-12-30,2026-02-02,34,Cooling Down,4.77,1.62,
ABL,56,2026-02-03,2026-02-09,6,Rolling Over,11.6,-2.99,
ABL,57,2026-04-22,2026-04-30,8,Rolling Over,11.33,-0.6,
ABL,58,2026-05-07,2026-05-11,4,Rolling Over,6.4,-0.91,
ABL,59,2026-05-21,Still in S2,8,Rolling Over,3.48,-1.53,
AKBL,1,2020-10-20,2020-10-29,9,Recovering,-2.46,3.43,
AKBL,2,2020-11-05,2020-11-06,1,Falling,-0.42,-1.61,
AKBL,3,2020-11-26,2021-02-09,75,Cooling Down,4.72,2.0,
AKBL,4,2021-02-15,2021-02-23,8,Cooling Down,5.72,0.94,
AKBL,5,2021-02-25,2021-03-02,5,Heating Up,3.4,3.89,
AKBL,6,2021-03-15,2021-03-18,3,Stabilising,-2.08,-1.07,
AKBL,7,2021-06-02,2021-07-05,33,Cooling Down,15.99,11.28,
AKBL,8,2021-07-23,2021-08-11,19,Recovering,-1.31,1.92,
AKBL,9,2021-09-17,2021-09-27,10,Heating Up,4.88,13.66,
AKBL,10,2021-09-28,2021-10-06,8,Cooling Down,7.73,1.36,
AKBL,11,2021-10-07,2021-10-08,1,Rolling Over,9.14,-2.45,
AKBL,12,2021-10-12,2021-10-13,1,Rolling Over,8.58,-0.13,
AKBL,13,2021-10-14,2021-10-26,12,Cooling Down,13.41,2.12,
AKBL,14,2021-10-29,2021-11-01,3,Rolling Over,2.98,-0.22,
AKBL,15,2021-11-02,2021-11-03,1,Rolling Over,2.67,-4.4,
AKBL,16,2021-11-04,2021-11-09,5,Rolling Over,0.92,-6.18,
AKBL,17,2021-11-17,2021-11-24,7,Cooling Down,2.26,0.57,
AKBL,18,2021-11-29,2021-12-02,3,Heating Up,2.22,3.12,
AKBL,19,2021-12-07,2021-12-08,1,Rolling Over,4.62,-1.83,
AKBL,20,2022-01-14,2022-02-07,24,Heating Up,3.52,6.72,
AKBL,21,2022-02-14,2022-02-15,1,Rolling Over,4.41,-1.65,
AKBL,22,2022-11-21,2022-12-15,24,Cooling Down,16.57,8.07,
AKBL,23,2023-01-09,2023-01-16,7,Recovering,-1.76,3.2,
AKBL,24,2023-02-02,2023-02-06,4,Heating Up,1.87,3.98,
AKBL,25,2023-02-07,2023-02-15,8,Heating Up,2.95,4.67,
AKBL,26,2023-10-30,2023-12-19,50,Cooling Down,18.21,3.38,← USER REF DATE FALLS IN THIS EPISODE
AKBL,27,2023-12-28,2024-01-08,11,Rolling Over,22.12,-4.91,
AKBL,28,2024-01-11,2024-01-15,4,Cooling Down,6.16,1.59,
AKBL,29,2024-01-16,2024-01-17,1,Rolling Over,9.02,-5.24,
AKBL,30,2024-01-18,2024-01-25,7,Rolling Over,6.77,-3.21,
AKBL,31,2024-01-31,2024-02-12,12,Cooling Down,4.62,2.48,
AKBL,32,2024-02-14,2024-02-16,2,Recovering,-1.81,7.17,
AKBL,33,2024-02-20,2024-02-21,1,Recovering,-1.65,0.97,
AKBL,34,2024-02-27,2024-02-28,1,Recovering,-0.92,1.16,
AKBL,35,2024-02-29,2024-03-01,1,Falling,-1.1,-2.42,
AKBL,36,2024-03-14,2024-03-15,1,Rolling Over,1.98,-1.24,
AKBL,37,2024-04-22,2024-04-30,8,Heating Up,9.07,22.99,
AKBL,38,2024-07-01,2024-08-05,35,Heating Up,1.6,11.87,
AKBL,39,2024-10-01,2024-11-01,31,Heating Up,2.55,12.67,
AKBL,40,2024-11-07,2024-12-19,42,Rolling Over,5.98,-3.95,
AKBL,41,2024-12-20,2024-12-24,4,Rolling Over,27.03,-7.45,
AKBL,42,2024-12-30,2025-01-15,16,Rolling Over,30.36,-0.13,
AKBL,43,2025-01-16,2025-01-22,6,Cooling Down,1.69,0.05,
AKBL,44,2025-01-24,2025-01-29,5,Falling,-0.17,-2.93,
AKBL,45,2025-01-30,2025-02-24,25,Cooling Down,8.56,1.59,
AKBL,46,2025-03-10,2025-03-14,4,Cooling Down,1.98,1.95,
AKBL,47,2025-05-13,2025-06-23,41,Heating Up,12.67,29.94,
AKBL,48,2025-06-24,2025-10-30,128,Cooling Down,30.73,0.2,
AKBL,49,2025-10-31,2025-11-17,17,Cooling Down,18.45,3.73,
AKBL,50,2025-11-27,2025-12-03,6,Rolling Over,3.57,-2.12,
AKBL,51,2025-12-17,2026-01-30,44,Recovering,-0.15,3.56,
AKBL,52,2026-02-03,2026-02-09,6,Rolling Over,21.48,-4.86,
AKBL,53,2026-04-24,2026-05-05,11,Cooling Down,17.52,2.48,
AKBL,54,2026-05-06,2026-05-12,6,Rolling Over,14.44,-2.15,
AKBL,55,2026-05-22,Still in S2,7,Rolling Over,4.26,-3.53,
BAFL,1,2021-10-22,2021-11-11,20,Heating Up,10.51,10.65,
BAFL,2,2021-11-19,2021-11-24,5,Cooling Down,10.13,0.83,
BAFL,3,2021-12-10,2021-12-13,3,Recovering,-3.11,1.91,
BAFL,4,2022-01-10,2022-02-14,35,Heating Up,1.45,3.87,
BAFL,5,2022-02-16,2022-02-24,8,Rolling Over,7.86,-2.0,
BAFL,6,2023-07-13,2023-08-21,39,Cooling Down,18.44,17.2,
BAFL,7,2023-08-22,2023-08-29,7,Rolling Over,19.87,-2.39,
BAFL,8,2023-09-08,2023-09-13,5,Rolling Over,3.32,-2.74,
BAFL,9,2023-09-14,2023-09-15,1,Recovering,-1.08,0.92,
BAFL,10,2023-10-13,2023-10-18,5,Recovering,-0.22,3.98,
BAFL,11,2023-10-20,2023-10-26,6,Heating Up,3.36,4.49,
BAFL,12,2023-10-31,2023-11-14,14,Stabilising,-1.11,-0.71,
BAFL,13,2023-11-22,2023-12-22,30,Rolling Over,3.27,-1.85,
BAFL,14,2023-12-28,2024-01-15,18,Rolling Over,22.42,-3.11,
BAFL,15,2024-01-16,2024-01-19,3,Cooling Down,5.77,0.31,
BAFL,16,2024-01-22,2024-01-29,7,Recovering,-7.16,0.24,
BAFL,17,2024-01-31,2024-02-12,12,Heating Up,2.39,2.71,
BAFL,18,2024-02-13,2024-02-22,9,Cooling Down,4.14,1.45,
BAFL,19,2024-02-23,2024-03-13,19,Cooling Down,5.5,1.53,
BAFL,20,2024-03-28,2024-03-29,1,Cooling Down,5.83,2.96,
BAFL,21,2024-04-03,2024-04-09,6,Cooling Down,6.28,1.26,
BAFL,22,2024-04-17,2024-06-03,47,Recovering,-3.28,2.88,
BAFL,23,2024-06-13,2024-07-19,36,Rolling Over,3.62,-1.88,
BAFL,24,2024-07-26,2024-07-29,3,Rolling Over,13.79,-1.21,
BAFL,25,2024-10-07,2024-10-31,24,Cooling Down,9.0,3.56,
BAFL,26,2024-11-01,2024-11-21,20,Rolling Over,5.7,-0.72,
BAFL,27,2024-11-22,2024-12-13,21,Heating Up,7.59,8.1,
BAFL,28,2024-12-17,2024-12-19,2,Rolling Over,19.13,-5.91,
BAFL,29,2024-12-20,2025-01-14,25,Rolling Over,17.86,-7.42,
BAFL,30,2025-01-15,2025-01-27,12,Falling,-1.46,-1.59,
BAFL,31,2025-06-10,2025-06-19,9,Heating Up,5.38,7.56,
BAFL,32,2025-06-24,2025-07-31,37,Rolling Over,15.65,-1.38,
BAFL,33,2025-08-06,2025-08-08,2,Rolling Over,13.28,-2.05,
BAFL,34,2025-08-11,2025-09-15,35,Cooling Down,11.28,0.1,
BAFL,35,2025-09-18,2025-09-22,4,Rolling Over,13.86,-2.31,
BAFL,36,2025-09-26,2025-10-13,17,Cooling Down,10.98,2.8,
BAFL,37,2025-10-14,2025-10-23,9,Cooling Down,4.2,2.52,
BAFL,38,2025-10-31,2025-11-03,3,Rolling Over,7.92,-0.79,
BAFL,39,2025-12-11,2025-12-15,4,Cooling Down,1.99,0.76,
BAFL,40,2025-12-16,2025-12-22,6,Stabilising,-0.16,-0.01,
BAFL,41,2025-12-23,2026-02-10,49,Cooling Down,3.4,0.38,
BAFL,42,2026-02-11,2026-02-12,1,Cooling Down,19.42,0.86,
BAFL,43,2026-02-18,2026-02-19,1,Rolling Over,9.15,-2.57,
BAFL,44,2026-02-25,2026-03-02,5,Rolling Over,6.24,-2.73,
BAFL,45,2026-04-16,2026-04-20,4,Heating Up,2.28,8.65,
BAHL,1,2020-10-28,2020-11-02,5,Heating Up,4.54,7.86,
BAHL,2,2020-11-03,2020-11-19,16,Heating Up,5.7,10.37,
BAHL,3,2020-11-26,2020-11-30,4,Rolling Over,8.03,-1.41,
BAHL,4,2020-12-02,2020-12-30,28,Cooling Down,11.75,0.95,
BAHL,5,2021-01-04,2021-01-28,24,Rolling Over,6.41,-1.83,
BAHL,6,2021-06-03,2021-06-22,19,Cooling Down,12.74,10.56,
BAHL,7,2021-07-27,2021-07-28,1,Recovering,-3.93,0.13,
BAHL,8,2021-07-29,2021-07-30,1,Recovering,-3.41,1.9,
BAHL,9,2021-08-02,2021-08-05,3,Recovering,-2.7,1.15,
BAHL,10,2021-10-15,2021-10-18,3,Cooling Down,3.98,1.76,
BAHL,11,2021-10-20,2021-11-09,20,Heating Up,1.56,2.29,
BAHL,12,2021-11-10,2021-11-11,1,Cooling Down,3.91,1.04,
BAHL,13,2021-11-15,2021-11-16,1,Cooling Down,2.44,0.04,
BAHL,14,2021-11-17,2021-12-02,15,Cooling Down,5.84,0.76,
BAHL,15,2022-01-26,2022-03-08,41,Cooling Down,3.99,2.51,
BAHL,16,2022-03-10,2022-03-11,1,Cooling Down,4.81,0.17,
BAHL,17,2022-03-16,2022-03-17,1,Cooling Down,0.56,0.0,
BAHL,18,2023-08-23,2023-08-30,7,Cooling Down,24.69,4.08,
BAHL,19,2023-10-26,2023-12-22,57,Cooling Down,41.7,25.55,
BAHL,20,2023-12-27,2024-01-19,23,Rolling Over,12.74,-8.89,
BAHL,21,2024-01-22,2024-02-13,22,Recovering,-2.55,2.78,
BAHL,22,2024-02-29,2024-03-07,7,Rolling Over,0.9,-1.36,
BAHL,23,2024-03-08,2024-03-12,4,Recovering,-5.82,6.6,
BAHL,24,2024-03-28,2024-06-05,69,Heating Up,1.15,3.84,
BAHL,25,2024-06-13,2024-07-22,39,Cooling Down,5.98,2.77,
BAHL,26,2024-07-24,2024-07-25,1,Rolling Over,15.1,-3.01,
BAHL,27,2024-10-09,2024-11-05,27,Cooling Down,12.44,10.54,
BAHL,28,2024-11-15,2024-11-18,3,Rolling Over,5.92,-1.83,
BAHL,29,2024-11-22,2024-12-13,21,Heating Up,6.99,9.92,
BAHL,30,2024-12-17,2024-12-18,1,Rolling Over,19.27,-5.9,
BAHL,31,2024-12-23,2024-12-26,3,Rolling Over,22.35,-2.93,
BAHL,32,2024-12-27,2025-01-09,13,Rolling Over,21.0,-2.86,
BAHL,33,2025-01-10,2025-01-29,19,Recovering,-0.89,5.86,
BAHL,34,2025-01-30,2025-02-13,14,Cooling Down,13.5,5.06,
BAHL,35,2025-02-18,2025-03-27,37,Rolling Over,2.31,-3.22,
BAHL,36,2025-04-04,2025-04-10,6,Cooling Down,5.42,0.33,
BAHL,37,2025-04-15,2025-04-16,1,Heating Up,0.13,0.4,
BAHL,38,2025-04-21,2025-04-24,3,Rolling Over,0.75,-0.49,
BAHL,39,2025-05-23,2025-07-21,59,Heating Up,0.03,6.1,
BAHL,40,2025-07-23,2025-07-28,5,Rolling Over,8.9,-1.37,
BAHL,41,2025-07-29,2025-08-28,30,Rolling Over,7.39,-4.17,
BAHL,42,2025-08-29,2025-09-04,6,Cooling Down,11.87,4.68,
BAHL,43,2025-09-05,2025-09-15,10,Rolling Over,14.3,-8.34,
BAHL,44,2025-09-18,2025-09-22,4,Cooling Down,10.12,2.48,
BAHL,45,2025-09-23,2025-10-13,20,Rolling Over,4.22,-0.05,
BAHL,46,2025-10-14,2025-10-23,9,Cooling Down,4.6,0.37,
BAHL,47,2026-01-05,2026-01-29,24,Cooling Down,9.2,6.16,
BAHL,48,2026-02-03,2026-02-06,3,Rolling Over,6.97,-0.24,
BIPL,1,2020-10-20,2020-10-22,2,Recovering,-11.85,4.0,
BIPL,2,2020-10-26,2020-10-27,1,Recovering,-8.65,2.71,
BIPL,3,2020-11-11,2020-11-17,6,Recovering,-2.36,7.83,
BIPL,4,2020-11-20,2020-11-23,3,Recovering,-1.37,4.15,
BIPL,5,2020-11-25,2021-02-03,70,Rolling Over,3.43,-4.66,
BIPL,6,2021-02-08,2021-02-12,4,Rolling Over,9.99,-0.94,
BIPL,7,2021-09-22,2021-11-16,55,Heating Up,25.4,28.71,
BIPL,8,2021-11-17,2021-11-26,9,Cooling Down,3.01,0.57,
BIPL,9,2021-12-15,2021-12-16,1,Stabilising,-3.37,-0.59,
BIPL,10,2021-12-17,2021-12-20,3,Recovering,-5.35,2.99,
BIPL,11,2021-12-21,2021-12-23,2,Stabilising,-4.93,-0.37,
BIPL,12,2022-02-04,2022-02-10,6,Heating Up,2.27,7.66,
BIPL,13,2022-04-19,2022-05-09,20,Cooling Down,16.01,5.74,
BIPL,14,2022-05-12,2022-05-13,1,Rolling Over,17.77,-1.92,
BIPL,15,2022-11-23,2022-12-20,27,Cooling Down,41.93,32.11,
BIPL,16,2022-12-22,2022-12-23,1,Rolling Over,22.95,-1.22,
BIPL,17,2022-12-27,2022-12-28,1,Rolling Over,18.15,-3.73,
BIPL,18,2023-01-13,2023-01-16,3,Recovering,-4.76,4.94,
BIPL,19,2023-05-10,2023-06-21,42,Cooling Down,52.7,40.74,
BIPL,20,2023-06-26,2023-07-17,21,Rolling Over,7.2,-2.65,
BIPL,21,2023-07-18,2023-08-01,14,Rolling Over,18.65,-5.53,
BIPL,22,2023-08-15,2023-08-17,2,Rolling Over,3.32,-1.08,
BIPL,23,2023-10-03,2023-11-27,55,Heating Up,12.94,25.76,
BIPL,24,2023-12-06,2023-12-19,13,Rolling Over,9.64,-1.68,
BIPL,25,2023-12-28,2024-02-12,46,Rolling Over,2.34,-0.14,
BIPL,26,2024-02-15,2024-02-16,1,Cooling Down,13.12,0.12,
BIPL,27,2024-02-19,2024-02-28,9,Cooling Down,14.56,1.19,
BIPL,28,2024-04-19,2024-04-25,6,Heating Up,2.78,14.65,
BIPL,29,2024-07-05,2024-07-19,14,Cooling Down,9.45,8.77,
BIPL,30,2024-08-27,2024-09-05,9,Recovering,-3.18,10.1,
BIPL,31,2024-10-21,2024-10-25,4,Heating Up,9.26,15.47,
BIPL,32,2024-11-12,2024-11-20,8,Cooling Down,9.07,4.41,
BIPL,33,2024-11-21,2024-11-26,5,Recovering,-4.19,0.91,
BIPL,34,2024-11-28,2024-12-16,18,Recovering,-1.37,0.86,
BIPL,35,2024-12-30,2025-01-07,8,Rolling Over,3.58,-3.01,
BIPL,36,2025-01-14,2025-01-22,8,Cooling Down,1.35,1.18,
BIPL,37,2025-01-24,2025-01-27,3,Recovering,-4.25,2.59,
BIPL,38,2025-01-30,2025-02-27,28,Rolling Over,2.6,-0.65,
BIPL,39,2025-06-17,2025-08-01,45,Cooling Down,48.99,43.6,
BIPL,40,2025-08-04,2025-08-05,1,Rolling Over,23.7,-1.51,
BIPL,41,2025-08-06,2025-08-07,1,Cooling Down,9.85,0.62,
BIPL,42,2025-08-11,2025-08-25,14,Recovering,-4.16,1.06,
BIPL,43,2025-08-27,2025-08-29,2,Rolling Over,1.04,-4.31,
BIPL,44,2025-09-05,2025-09-15,10,Cooling Down,9.4,1.7,
BIPL,45,2025-09-16,2025-09-17,1,Cooling Down,7.03,5.01,
BIPL,46,2025-09-18,2025-09-23,5,Cooling Down,6.43,3.71,
BIPL,47,2025-09-26,2025-10-13,17,Recovering,-5.51,0.75,
BIPL,48,2025-10-14,2025-10-23,9,Rolling Over,14.17,-0.4,
BIPL,49,2026-01-07,2026-01-12,5,Cooling Down,11.1,3.57,
BIPL,50,2026-01-14,2026-01-19,5,Cooling Down,4.39,1.61,
BOK,1,2020-12-22,2021-01-07,16,Recovering,-2.29,3.57,
BOK,2,2021-01-08,2021-01-22,14,Cooling Down,12.02,7.14,
BOK,3,2021-01-25,2021-02-09,15,Cooling Down,7.14,0.0,
BOK,4,2021-02-10,2021-02-25,15,Cooling Down,3.52,0.07,
BOK,5,2021-02-26,2021-03-19,21,Cooling Down,3.33,3.33,
BOK,6,2021-04-15,2021-04-22,7,Cooling Down,8.39,1.33,
BOK,7,2021-04-23,2021-04-27,4,Recovering,-8.42,2.71,
BOK,8,2021-05-17,2021-05-24,7,Falling,-0.29,-0.41,
BOK,9,2021-05-25,2021-05-27,2,Cooling Down,2.23,2.11,
BOK,10,2021-05-28,2021-06-04,7,Heating Up,1.8,2.97,
BOK,11,2021-06-07,2021-06-09,2,Cooling Down,2.42,2.42,
BOK,12,2021-06-14,2021-06-15,1,Cooling Down,3.03,0.06,
BOK,13,2021-06-23,2021-06-25,2,Cooling Down,1.32,0.12,
BOK,14,2021-12-24,2021-12-29,5,Recovering,-1.9,3.2,
BOK,15,2022-01-04,2022-01-05,1,Heating Up,6.6,7.6,
BOK,16,2022-01-07,2022-01-10,3,Rolling Over,7.63,-4.07,
BOK,17,2022-01-17,2022-01-18,1,Cooling Down,2.27,1.94,
BOK,18,2022-01-19,2022-01-25,6,Stabilising,-3.19,-0.06,
BOK,19,2022-01-27,2022-02-01,5,Cooling Down,5.27,1.87,
BOK,20,2022-02-04,2022-02-10,6,Cooling Down,1.03,1.03,
BOK,21,2022-02-11,2022-02-17,6,Recovering,-2.67,3.71,
BOK,22,2022-02-28,2022-03-02,2,Rolling Over,1.29,-1.51,
BOK,23,2022-03-03,2022-03-04,1,Cooling Down,6.08,0.64,
BOK,24,2022-03-07,2022-03-10,3,Heating Up,0.71,4.69,
BOK,25,2024-03-20,2024-03-21,1,Heating Up,23.85,34.03,
BOK,26,2024-08-02,2024-08-06,4,Rolling Over,13.55,-0.55,
BOK,27,2024-08-07,2024-08-09,2,Cooling Down,14.35,0.24,
BOK,28,2024-08-15,2024-08-20,5,Cooling Down,7.0,3.85,
BOK,29,2024-08-21,2024-08-22,1,Cooling Down,11.89,6.0,
BOK,30,2024-08-26,2024-08-27,1,Recovering,-1.95,0.72,
BOK,31,2024-09-02,2024-09-03,1,Stabilising,-2.83,-1.12,
BOK,32,2024-09-12,2024-09-13,1,Cooling Down,2.86,2.53,
BOK,33,2024-10-11,2024-10-15,4,Cooling Down,7.25,4.29,
BOK,34,2024-11-11,2024-11-20,9,Cooling Down,11.79,9.16,
BOK,35,2024-11-21,2024-12-16,25,Heating Up,3.59,4.17,
BOK,36,2024-12-24,2025-01-07,14,Rolling Over,13.46,-2.68,
BOK,37,2025-01-10,2025-01-13,3,Cooling Down,7.7,1.62,
BOK,38,2025-01-30,2025-02-03,4,Recovering,-0.14,0.94,
BOK,39,2025-02-12,2025-02-28,16,Recovering,-3.86,4.64,
BOK,40,2025-03-07,2025-03-24,17,Rolling Over,2.52,-6.86,
BOK,41,2025-03-25,2025-03-26,1,Cooling Down,10.79,1.93,
BOK,42,2025-05-19,2025-07-29,71,Heating Up,1.02,6.13,
BOK,43,2025-07-31,2025-08-01,1,Rolling Over,8.59,-0.95,
BOK,44,2025-08-04,2025-08-06,2,Rolling Over,8.21,-1.55,
BOK,45,2025-08-07,2025-08-11,4,Cooling Down,8.68,0.44,
BOK,46,2025-08-12,2025-08-15,3,Recovering,-1.61,5.34,
BOK,47,2025-08-19,2025-08-21,2,Heating Up,1.56,2.64,
BOK,48,2025-08-25,2025-10-13,49,Heating Up,8.33,8.51,
BOK,49,2025-10-14,2025-10-28,14,Cooling Down,31.19,0.46,
BOK,50,2025-11-13,2025-11-18,5,Recovering,-3.91,1.82,
BOK,51,2025-11-19,2025-11-20,1,Recovering,-5.25,1.19,
BOK,52,2025-12-12,2025-12-15,3,Recovering,-2.29,1.14,
BOK,53,2025-12-16,2025-12-22,6,Recovering,-1.29,1.45,
BOK,54,2025-12-23,2025-12-24,1,Recovering,-1.15,1.42,
BOK,55,2025-12-26,2026-02-12,48,Recovering,-0.88,4.76,
BOK,56,2026-04-23,2026-04-27,4,Heating Up,1.17,3.69,
BOP,1,2023-11-27,2023-12-26,29,Cooling Down,25.69,13.0,"← close to user ref (2023-11-23, Δ+4d)"
BOP,2,2023-12-27,2024-01-15,19,Cooling Down,42.12,4.3,
BOP,3,2024-01-23,2024-01-24,1,Rolling Over,14.39,-1.38,
BOP,4,2024-02-06,2024-02-09,3,Recovering,-4.22,1.44,
BOP,5,2024-02-14,2024-02-15,1,Recovering,-8.21,5.64,
BOP,6,2024-02-20,2024-02-22,2,Recovering,-9.39,0.8,
BOP,7,2024-02-23,2024-03-05,11,Recovering,-4.15,3.31,
BOP,8,2024-03-11,2024-03-12,1,Stabilising,-1.27,-0.48,
BOP,9,2024-03-15,2024-03-19,4,Rolling Over,0.32,-1.58,
BOP,10,2024-10-21,2025-01-17,88,Cooling Down,6.08,4.04,
BOP,11,2025-01-24,2025-01-27,3,Recovering,-1.26,1.19,
BOP,12,2025-01-31,2025-02-06,6,Cooling Down,8.48,0.2,
BOP,13,2025-02-10,2025-03-17,35,Cooling Down,8.44,0.69,
BOP,14,2025-04-14,2025-04-15,1,Recovering,-9.77,2.43,
BOP,15,2025-07-02,2025-10-30,120,Cooling Down,15.75,13.03,
BOP,16,2025-10-31,2025-11-05,5,Rolling Over,32.41,-2.96,
BOP,17,2025-11-07,2025-11-11,4,Rolling Over,30.31,-5.54,
BOP,18,2025-11-12,2025-11-17,5,Rolling Over,18.02,-5.15,
BOP,19,2025-12-01,2025-12-05,4,Stabilising,-12.66,-1.09,
BOP,20,2025-12-08,2026-01-29,52,Recovering,-7.47,2.9,
BOP,21,2026-02-04,2026-02-06,2,Rolling Over,7.97,-1.99,
BOP,22,2026-04-22,2026-05-14,22,Cooling Down,41.18,29.57,
BOP,23,2026-05-21,2026-05-22,1,Rolling Over,35.38,-6.6,
BOP,24,2026-05-25,Still in S2,4,Rolling Over,23.06,-2.81,
FABL,1,2020-10-21,2020-10-22,1,Recovering,-3.37,0.76,
FABL,2,2020-12-02,2020-12-22,20,Heating Up,0.94,4.29,
FABL,3,2020-12-23,2021-02-09,48,Cooling Down,2.99,0.23,
FABL,4,2021-07-14,2021-08-12,29,Heating Up,4.93,7.96,
FABL,5,2021-08-23,2021-08-25,2,Cooling Down,8.38,0.05,
FABL,6,2021-08-26,2021-11-09,75,Rolling Over,11.35,-0.36,
FABL,7,2022-01-13,2022-02-09,27,Cooling Down,15.57,14.91,
FABL,8,2022-02-11,2022-02-17,6,Rolling Over,15.22,-0.23,
FABL,9,2022-04-01,2022-04-04,3,Heating Up,1.13,3.75,
FABL,10,2022-04-05,2022-04-15,10,Recovering,-0.11,5.68,
FABL,11,2022-07-29,2022-08-18,20,Cooling Down,25.75,7.51,
FABL,12,2022-08-24,2022-08-29,5,Rolling Over,4.44,-0.91,
FABL,13,2022-08-31,2022-09-21,21,Cooling Down,10.25,5.58,
FABL,14,2022-09-27,2022-09-29,2,Rolling Over,5.35,-2.31,
FABL,15,2022-10-05,2022-10-12,7,Cooling Down,6.04,1.72,
FABL,16,2022-10-19,2022-10-25,6,Recovering,-1.36,0.26,
FABL,17,2022-10-27,2022-11-08,12,Heating Up,0.76,6.5,
FABL,18,2022-11-10,2022-11-11,1,Heating Up,9.49,12.89,
FABL,19,2022-11-18,2022-11-28,10,Rolling Over,8.15,-6.47,
FABL,20,2023-08-10,2023-08-21,11,Cooling Down,27.25,0.39,
FABL,21,2023-08-22,2023-08-24,2,Rolling Over,13.21,-1.09,
