year,runaway_bull
2015,0.0
2016,7.258064516129033
2017,23.293172690763054
2018,0.0
2019,0.0
2020,3.5856573705179287
2021,12.550607287449392
2022,0.0
2023,8.130081300813007
2024,73.98373983739837
2025,70.8
2026,48.0
