sector,symbol,start,end,kind,outcome,direction,breakout_idx,type_trigger,entry_price,lfd_level,r_lfd_denom,rolling_status,rolling_stop,r_rolling_denom,lfd_hit_bar,rolling_hit_bar,anchor_bar,simultaneous_hit,horizon_reached,realized_R_lfd,realized_R_rolling
COMMERCIAL BANKS,AKBL,1800,1880,ascending,up,up,1884,3.0,16.51,15.51,1.0000000000000018,skipped_risk_gt_6pct,15.25,,,,1974,False,True,3.0199999999999942,
MISCELLANEOUS,AKDHL,240,320,descending,whipsaw,up,321,4.0,422.1,385.0,37.10000000000002,no_valid_consolidation,,,323.0,,323,False,False,-1.0,
MISCELLANEOUS,AKDHL,880,960,descending,whipsaw,down,965,4.0,131.04,140.5,9.460000000000008,skipped_risk_gt_6pct,154.53,,968.0,,968,False,False,-1.0,
MISCELLANEOUS,AKGL,640,720,descending,sequential,down,725,4.0,11.0,11.5,0.5,no_valid_consolidation,,,726.0,,726,False,False,-1.0,
INSURANCE,ALAC,2720,2800,symmetrical,down,down,2801,4.0,5.0,5.1,0.09999999999999964,skipped_risk_gt_6pct,5.31,,2802.0,,2802,False,False,-1.0,
POWER GENERATION & DISTRIBUTION,ALTN,2200,2280,descending,whipsaw,down,2292,4.0,6.2456,6.3813,0.13570000000000082,ok,6.61,0.3644000000000007,2293.0,2293.0,2293,True,False,-1.0,-1.0
POWER GENERATION & DISTRIBUTION,ALTN,2400,2480,descending,up,up,2481,3.0,4.8335,4.6326,0.20089999999999986,skipped_risk_gt_6pct,4.44,,2492.0,,2492,False,False,-1.0,
POWER GENERATION & DISTRIBUTION,ALTN,2520,2600,descending,down,down,2601,1.0,4.5212,5.0507,0.5294999999999996,skipped_risk_gt_6pct,5.1,,,,2691,False,True,0.051369216241738576,
POWER GENERATION & DISTRIBUTION,ALTN,2600,2680,symmetrical,up,up,2681,1.0,4.5538,4.209,0.3448000000000002,no_valid_consolidation,,,,,2771,False,True,14.079756380510432,
TEXTILE COMPOSITE,ANL,2360,2440,symmetrical,down,down,2441,1.0,5.22,5.58,0.3600000000000003,skipped_risk_gt_6pct,5.78,,2515.0,,2515,False,False,-1.0,
TEXTILE COMPOSITE,ANL,3600,3680,symmetrical,down,down,3681,2.0,12.15,12.7,0.5499999999999989,no_valid_consolidation,,,3745.0,,3745,False,False,-1.0,
TEXTILE COMPOSITE,ANTM,440,520,descending,sequential,up,521,4.0,18.76,18.3,0.46000000000000085,skipped_risk_gt_6pct,16.29,,525.0,,525,False,False,-1.0,
OIL & GAS MARKETING COMPANIES,APL,1400,1480,symmetrical,up,up,1483,2.0,166.0422,164.4244,1.6178000000000168,ok,160.84,5.202200000000005,1509.0,1531.0,1509,False,False,-1.0,0.04986351928030432
OIL & GAS MARKETING COMPANIES,APL,1560,1640,ascending,up,up,1644,1.0,189.8517,183.319,6.5327000000000055,skipped_risk_gt_6pct,176.26,,,,1734,False,True,1.1514075344038464,
OIL & GAS MARKETING COMPANIES,APL,3160,3240,ascending,down,down,3241,4.0,327.2201,333.1737,5.9535999999999945,skipped_risk_gt_6pct,359.96,,3266.0,,3266,False,False,-1.0,
OIL & GAS MARKETING COMPANIES,APL,3880,3960,descending,up,up,3961,4.0,257.2351,248.9871,8.24799999999999,skipped_risk_gt_6pct,241.77,,3965.0,,3965,False,False,-1.0,
OIL & GAS MARKETING COMPANIES,APL,3920,4000,descending,sequential,up,4001,4.0,250.144,244.2096,5.934400000000011,ok,238.76,11.384000000000015,4003.0,4027.0,4003,False,False,-1.0,-0.25207308503162223
OIL & GAS MARKETING COMPANIES,APL,4120,4200,symmetrical,up,up,4216,2.0,236.0668,230.2376,5.829200000000014,ok,223.29,12.776800000000009,,,4306,False,True,7.847251766966289,3.5801765700331827
OIL & GAS MARKETING COMPANIES,APL,4640,4720,ascending,up,up,4722,4.0,412.9,408.0,4.899999999999977,skipped_risk_gt_6pct,383.13,,4726.0,,4726,False,False,-1.0,
TEXTILE COMPOSITE,ARUJ,640,720,symmetrical,up,up,721,1.0,22.59,18.9,3.6900000000000013,no_valid_consolidation,,,743.0,,743,False,False,-1.0,
FOOD & PERSONAL CARE PRODUCTS,ASC,80,160,symmetrical,up,up,171,4.0,55.98,53.8,2.1799999999999997,ok,53.26,2.719999999999999,173.0,187.0,173,False,False,-1.0,-0.5882352941176452
ENGINEERING,ASL,0,80,ascending,down,down,87,4.0,10.4,10.74,0.33999999999999986,skipped_risk_gt_6pct,11.28,,89.0,,89,False,False,-1.0,
ENGINEERING,ASL,160,240,descending,whipsaw,down,241,4.0,8.61,8.83,0.22000000000000064,skipped_risk_gt_6pct,9.19,,242.0,,242,False,False,-1.0,
ENGINEERING,ASL,1320,1400,descending,down,down,1401,1.0,18.24,19.0,0.7600000000000016,skipped_risk_gt_6pct,20.15,,,,1491,False,True,6.499999999999984,
ENGINEERING,ASL,2400,2480,descending,down,down,2481,4.0,10.2,10.68,0.4800000000000004,skipped_risk_gt_6pct,11.0,,2486.0,,2486,False,False,-1.0,
ENGINEERING,ASLPS,360,440,ascending,up,up,448,1.0,5.7582,5.051,0.7072000000000003,no_valid_consolidation,,,483.0,,483,False,False,-1.0,
AUTOMOBILE PARTS & ACCESSORIES,ATBA,2600,2680,descending,up,up,2681,4.0,656.9995,654.7233,2.276200000000017,ok,629.32,27.679499999999962,2682.0,2771.0,2682,False,False,-1.0,0.8773785653642593
AUTOMOBILE PARTS & ACCESSORIES,ATBA,4040,4120,symmetrical,sequential,up,4121,3.0,170.19,168.0,2.1899999999999977,ok,166.32,3.8700000000000045,4123.0,4123.0,4123,True,False,-1.0,-1.0
INSURANCE,ATIL,1320,1400,ascending,up,up,1413,4.0,10.46,10.133,0.32700000000000173,ok,9.85,0.6100000000000012,1430.0,1439.0,1430,False,False,-1.0,-0.2296721311475411
INSURANCE,ATIL,2480,2560,descending,up,up,2570,4.0,41.9482,41.3112,0.6370000000000005,skipped_risk_gt_6pct,39.33,,2571.0,,2571,False,False,-1.0,
AUTOMOBILE ASSEMBLER,ATLH,3640,3720,descending,sequential,down,3721,4.0,379.1,384.8,5.699999999999989,ok,394.0,14.899999999999977,3722.0,3724.0,3722,False,False,-1.0,-0.38791946308724706
