sector,symbol,start,end,kind,outcome,direction,breakout_idx,type_trigger,entry_price,lfd_level,r_lfd_denom,rolling_status,rolling_stop,r_rolling_denom,lfd_hit_bar,rolling_hit_bar,anchor_bar,simultaneous_hit,horizon_reached,realized_R_lfd,realized_R_rolling
ENGINEERING,DSL,4000,4080,descending,up,up,4091,3.0,6.12,5.55,0.5700000000000003,skipped_risk_gt_6pct,5.3,,,,4181,False,True,1.5087719298245612,
ENGINEERING,DSL,4360,4440,descending,down,down,4441,1.0,5.92,6.25,0.33000000000000007,no_valid_consolidation,,,4471.0,,4471,False,False,-1.0,
CHEMICAL,DYNO,400,480,ascending,sequential,down,481,4.0,18.0,18.3,0.3000000000000007,ok,18.94,0.9400000000000013,482.0,486.0,482,False,False,-1.0,-0.4255319148936149
CHEMICAL,DYNO,880,960,descending,down,down,992,4.0,9.61,10.25,0.6400000000000006,no_valid_consolidation,,,995.0,,995,False,False,-1.0,
MISCELLANEOUS,ECOP,280,360,descending,down,down,376,4.0,24.715,24.7889,0.07390000000000185,skipped_risk_gt_6pct,26.42,,377.0,,377,False,False,-1.0,
MISCELLANEOUS,ECOP,1040,1120,ascending,down,down,1121,4.0,4.88,5.16,0.28000000000000025,no_valid_consolidation,,,1124.0,,1124,False,False,-1.0,
MISCELLANEOUS,ECOP,4920,5000,ascending,up,up,5004,2.0,51.34,48.3,3.0400000000000063,skipped_risk_gt_6pct,46.03,,,,5026,False,True,-0.08552631578947519,
FERTILIZER,EFERT,520,600,descending,down,down,601,1.0,66.58,68.25,1.6700000000000017,ok,69.08,2.5,619.0,620.0,619,False,False,-1.0,-0.5560000000000003
FERTILIZER,EFERT,1320,1400,ascending,up,up,1401,4.0,69.02,67.0,2.019999999999996,ok,65.34,3.6799999999999926,1405.0,,1405,False,False,-1.0,-0.49184782608695815
INSURANCE,EFUG,1680,1760,symmetrical,up,up,1763,1.0,45.6791,43.8775,1.8016000000000005,ok,43.44,2.2391000000000005,,,1853,False,True,0.4483792184724689,0.3607699522129427
INSURANCE,EFUL,760,840,descending,sequential,down,841,4.0,104.5,106.0,1.5,no_valid_consolidation,,,842.0,,842,False,False,-1.0,
INSURANCE,EFUL,2760,2840,symmetrical,sequential,down,2841,4.0,206.66,212.01,5.349999999999994,skipped_risk_gt_6pct,222.2,,2850.0,,2850,False,False,-1.0,
FERTILIZER,ENGRO,80,160,descending,up,up,161,1.0,93.7758,88.8765,4.899300000000011,skipped_risk_gt_6pct,85.26,,,,251,False,True,6.9140693568468805,
FERTILIZER,ENGRO,1280,1360,descending,up,up,1381,2.0,137.5634,133.6592,3.904200000000003,ok,131.33,6.233399999999989,,,1471,False,True,4.3116899748988216,2.700564699842786
FERTILIZER,ENGRO,1320,1400,ascending,up,up,1405,2.0,141.0312,137.3337,3.6975000000000193,ok,134.75,6.2812000000000126,,,1495,False,True,4.399513184584149,2.589823600585866
FERTILIZER,ENGRO,1840,1920,symmetrical,sequential,down,1930,3.0,88.74,92.5,3.760000000000005,ok,94.03,5.290000000000006,1945.0,1948.0,1945,False,False,-1.0,-0.3081285444234419
FERTILIZER,ENGRO,1880,1960,ascending,up,up,1961,1.0,99.16,93.55,5.609999999999999,skipped_risk_gt_6pct,92.42,,,,2051,False,True,3.9946524064171123,
FERTILIZER,ENGRO,4200,4280,descending,down,down,4284,4.0,253.68,257.0,3.319999999999993,ok,261.84,8.159999999999968,4285.0,4374.0,4285,False,False,-1.0,0.16911764705882362
CHEMICAL,EPCL,2840,2920,descending,sequential,up,2923,4.0,27.57,25.99,1.5800000000000018,skipped_risk_gt_6pct,25.54,,2927.0,,2927,False,False,-1.0,
CHEMICAL,EPCLPS,280,360,descending,up,up,364,4.0,12.0,11.51,0.4900000000000002,skipped_risk_gt_6pct,11.19,,366.0,,366,False,False,-1.0,
POWER GENERATION & DISTRIBUTION,EPQL,960,1040,descending,up,up,1053,2.0,16.8362,16.3721,0.46410000000000196,ok,16.11,0.7262000000000022,1061.0,1073.0,1061,False,False,-1.0,-0.5378683558248438
POWER GENERATION & DISTRIBUTION,EPQL,1960,2040,symmetrical,sequential,up,2045,4.0,20.6677,19.071,1.5966999999999985,skipped_risk_gt_6pct,17.93,,2052.0,,2052,False,False,-1.0,
POWER GENERATION & DISTRIBUTION,EPQL,2040,2120,symmetrical,down,down,2123,4.0,17.4892,17.9992,0.509999999999998,skipped_risk_gt_6pct,18.68,,2124.0,,2124,False,False,-1.0,
AUTOMOBILE PARTS & ACCESSORIES,EXIDE,4120,4200,descending,up,up,4221,4.0,857.18,842.0,15.17999999999995,no_valid_consolidation,,,4223.0,,4223,False,False,-1.0,
AUTOMOBILE PARTS & ACCESSORIES,EXIDE,4160,4240,ascending,down,down,4242,1.0,832.81,900.0,67.19000000000005,skipped_risk_gt_6pct,909.0,,,,4332,False,True,3.040184551272508,
COMMERCIAL BANKS,FABL,600,680,ascending,down,down,681,4.0,73.0,74.85,1.8499999999999943,skipped_risk_gt_6pct,80.04,,682.0,,682,False,False,-1.0,
COMMERCIAL BANKS,FABL,2040,2120,symmetrical,sequential,down,2127,4.0,10.07,11.54,1.4699999999999989,skipped_risk_gt_6pct,11.67,,2154.0,,2154,False,False,-1.0,
TEXTILE COMPOSITE,FASM,120,200,descending,down,down,201,1.0,34.3,36.1,1.8000000000000043,no_valid_consolidation,,,,,291,False,True,0.8611111111111075,
TEXTILE COMPOSITE,FASM,360,440,symmetrical,up,up,441,1.0,47.99,47.35,0.6400000000000006,ok,46.59,1.3999999999999986,,,531,False,True,57.82812499999994,26.43571428571431
FERTILIZER,FATIMA,1240,1320,symmetrical,up,up,1323,1.0,40.68,39.25,1.4299999999999997,skipped_risk_gt_6pct,37.62,,,,1413,False,True,3.965034965034967,
FERTILIZER,FATIMA,2080,2160,ascending,down,down,2161,4.0,34.43,34.5,0.07000000000000028,ok,35.84,1.4100000000000037,2162.0,2176.0,2162,False,False,-1.0,-0.22695035460992868
CEMENT,FCCL,2520,2600,descending,up,up,2612,4.0,36.72,34.54,2.1799999999999997,skipped_risk_gt_6pct,33.71,,2634.0,,2634,False,False,-1.0,
CEMENT,FCCL,2560,2640,ascending,sequential,down,2647,4.0,34.02,34.88,0.8599999999999994,ok,35.55,1.529999999999994,2651.0,2652.0,2651,False,False,-1.0,-0.6535947712418326
CEMENT,FCCL,5080,5160,ascending,down,down,5167,4.0,56.16,58.9,2.740000000000002,skipped_risk_gt_6pct,61.7,,5168.0,,5168,False,False,-1.0,
FOOD & PERSONAL CARE PRODUCTS,FCEPL,720,800,descending,up,up,808,1.0,99.36,98.1,1.2600000000000051,ok,93.75,5.609999999999999,,,898,False,True,14.626984126984073,3.2852049910873458
FOOD & PERSONAL CARE PRODUCTS,FCEPL,1000,1080,descending,down,down,1093,4.0,139.44,149.0,9.560000000000002,skipped_risk_gt_6pct,153.52,,1101.0,,1101,False,False,-1.0,
FOOD & PERSONAL CARE PRODUCTS,FCEPL,2920,3000,descending,up,up,3004,2.0,59.23,55.1,4.1299999999999955,skipped_risk_gt_6pct,53.96,,,,3094,False,True,2.937046004842619,
FOOD & PERSONAL CARE PRODUCTS,FCEPL,3280,3360,symmetrical,sequential,up,3384,3.0,89.79,84.05,5.740000000000009,skipped_risk_gt_6pct,80.19,,3395.0,,3395,False,False,-1.0,
FOOD & PERSONAL CARE PRODUCTS,FCEPL,3480,3560,symmetrical,sequential,up,3565,4.0,93.79,85.5,8.290000000000006,skipped_risk_gt_6pct,84.64,,3581.0,,3581,False,False,-1.0,
CEMENT,FECTC,3520,3600,symmetrical,up,up,3606,2.0,35.35,34.55,0.8000000000000043,skipped_risk_gt_6pct,32.69,,3616.0,,3616,False,False,-1.0,
CEMENT,FECTC,4240,4320,descending,down,down,4323,3.0,30.0,33.3,3.299999999999997,no_valid_consolidation,,,4345.0,,4345,False,False,-1.0,
PHARMACEUTICALS,FEROZ,1240,1320,ascending,sequential,up,1333,4.0,98.53,94.03,4.5,skipped_risk_gt_6pct,91.18,,1334.0,,1334,False,False,-1.0,
FERTILIZER,FFC,360,440,descending,up,up,445,4.0,59.1387,57.8466,1.2920999999999978,ok,57.27,1.868699999999997,449.0,480.0,449,False,False,-1.0,-0.5584631026917106
FERTILIZER,FFC,400,480,ascending,down,down,481,2.0,57.0515,58.0206,0.9691000000000045,ok,59.65,2.5985000000000014,514.0,,514,False,False,-1.0,-0.36336347893015264
FERTILIZER,FFC,2760,2840,descending,down,down,2843,4.0,110.07,110.69,0.6200000000000045,ok,113.6,3.530000000000001,2844.0,2926.0,2844,False,False,-1.0,-0.5382436260623243
FERTILIZER,FFC,3520,3600,symmetrical,up,up,3603,2.0,95.68,93.4,2.280000000000001,ok,90.98,4.700000000000003,,,3693,False,True,4.311403508771927,2.091489361702126
FERTILIZER,FFC,4880,4960,symmetrical,down,down,4961,4.0,374.09,375.0,0.910000000000025,skipped_risk_gt_6pct,406.27,,4962.0,,4962,False,False,-1.0,
FOOD & PERSONAL CARE PRODUCTS,FFL,280,360,ascending,sequential,up,372,4.0,52.0,49.9,2.1000000000000014,no_valid_consolidation,,,373.0,,373,False,False,-1.0,
CEMENT,FLYNG,160,240,descending,down,down,241,1.0,11.8,12.15,0.34999999999999964,ok,12.37,0.5699999999999985,,,331,False,True,20.571428571428594,12.631578947368457
CEMENT,FLYNG,1320,1400,symmetrical,down,down,1401,3.0,3.41,3.72,0.31000000000000005,skipped_risk_gt_6pct,3.76,,1422.0,,1422,False,False,-1.0,
CEMENT,FLYNG,3680,3760,descending,down,down,3761,1.0,6.66,6.85,0.1899999999999995,skipped_risk_gt_6pct,7.27,,,,3851,False,True,4.4210526315789584,
TEXTILE COMPOSITE,FML,1720,1800,descending,down,down,1807,4.0,62.03,64.0,1.9699999999999989,skipped_risk_gt_6pct,67.67,,1818.0,,1818,False,False,-1.0,
AUTOMOBILE ASSEMBLER,GAL,520,600,symmetrical,up,up,601,4.0,475.3,465.05,10.25,skipped_risk_gt_6pct,441.54,,602.0,,602,False,False,-1.0,
TEXTILE COMPOSITE,GATM,840,920,symmetrical,sequential,up,922,4.0,23.98,22.7,1.2800000000000011,skipped_risk_gt_6pct,21.29,,927.0,,927,False,False,-1.0,
TEXTILE COMPOSITE,GATM,1000,1080,ascending,up,up,1081,2.0,22.43,21.4,1.0300000000000011,skipped_risk_gt_6pct,20.11,,1111.0,,1111,False,False,-1.0,
TEXTILE COMPOSITE,GFIL,1720,1800,ascending,down,down,1813,1.0,3.46,4.2,0.7400000000000002,no_valid_consolidation,,,1846.0,,1846,False,False,-1.0,
TEXTILE COMPOSITE,GFIL,2840,2920,descending,down,down,2923,4.0,8.38,9.3,0.9199999999999999,skipped_risk_gt_6pct,9.79,,2937.0,,2937,False,False,-1.0,
GLASS & CERAMICS,GGGL,1880,1960,ascending,down,down,1961,4.0,6.3,6.4,0.10000000000000053,skipped_risk_gt_6pct,6.75,,1963.0,,1963,False,False,-1.0,
CHEMICAL,GGL,1760,1840,descending,down,down,1841,4.0,30.75,32.19,1.4399999999999977,skipped_risk_gt_6pct,34.34,,1844.0,,1844,False,False,-1.0,
GLASS & CERAMICS,GHGL,40,120,descending,down,down,128,3.0,67.05,73.0,5.950000000000003,skipped_risk_gt_6pct,75.7,,184.0,,184,False,False,-1.0,
GLASS & CERAMICS,GHGL,1360,1440,ascending,down,down,1442,4.0,52.64,54.0,1.3599999999999994,ok,55.05,2.4099999999999966,1445.0,1446.0,1445,False,False,-1.0,-0.13278008298755217
GLASS & CERAMICS,GHGL,2480,2560,symmetrical,whipsaw,up,2565,4.0,95.83,93.7,2.1299999999999955,ok,92.07,3.760000000000005,2567.0,2567.0,2567,True,False,-1.0,-1.0
GLASS & CERAMICS,GHGL,3200,3280,descending,down,down,3292,3.0,44.99,48.05,3.059999999999995,skipped_risk_gt_6pct,49.99,,,,3382,False,True,1.3790849673202632,
GLASS & CERAMICS,GHGL,3880,3960,ascending,down,down,3991,2.0,41.26,43.0,1.740000000000002,skipped_risk_gt_6pct,44.89,,4017.0,,4017,False,False,-1.0,
GLASS & CERAMICS,GHGL,4000,4080,symmetrical,sequential,down,4086,4.0,39.81,40.8,0.9899999999999949,ok,41.28,1.4699999999999989,4090.0,4090.0,4090,True,False,-1.0,-1.0
AUTOMOBILE ASSEMBLER,GHNI,920,1000,symmetrical,down,down,1001,1.0,7.9702,8.9671,0.9969000000000001,skipped_risk_gt_6pct,9.23,,,,1091,False,True,2.587621627043836,
AUTOMOBILE ASSEMBLER,GHNI,1360,1440,descending,up,up,1447,2.0,3.3355,3.0756,0.2599,skipped_risk_gt_6pct,2.95,,,,1537,False,True,5.344363216621776,
AUTOMOBILE ASSEMBLER,GHNI,4040,4120,symmetrical,down,down,4121,2.0,85.99,88.0,2.010000000000005,ok,90.55,4.560000000000002,4149.0,4149.0,4149,True,False,-1.0,-1.0
PHARMACEUTICALS,GLAXO,1480,1560,ascending,down,down,1567,2.0,70.5,73.9,3.4000000000000057,ok,74.64,4.140000000000001,1616.0,,1616,False,False,-1.0,-0.00966183574879378
PHARMACEUTICALS,GLAXO,2440,2520,descending,up,up,2521,4.0,200.2,192.02,8.179999999999978,ok,190.1,10.099999999999994,2526.0,2545.0,2526,False,False,-1.0,-0.6376237623762377
PHARMACEUTICALS,GLAXO,2560,2640,ascending,down,down,2641,4.0,219.4,228.0,8.599999999999994,skipped_risk_gt_6pct,234.98,,2648.0,,2648,False,False,-1.0,
PHARMACEUTICALS,GLAXO,3400,3480,symmetrical,down,down,3481,1.0,116.51,118.99,2.4799999999999898,ok,121.4,4.890000000000001,,,3571,False,True,7.431451612903259,3.7689161554192236
FOOD & PERSONAL CARE PRODUCTS,GLPL,640,720,symmetrical,sequential,up,724,4.0,47.5087,46.5257,0.982999999999997,no_valid_consolidation,,,725.0,,725,False,False,-1.0,
FOOD & PERSONAL CARE PRODUCTS,GLPL,720,800,ascending,down,down,807,4.0,43.5769,45.8704,2.2934999999999945,no_valid_consolidation,,,818.0,,818,False,False,-1.0,
AUTOMOBILE PARTS & ACCESSORIES,GTYR,4640,4720,ascending,down,down,4721,4.0,37.28,38.43,1.1499999999999986,skipped_risk_gt_6pct,39.88,,4730.0,,4730,False,False,-1.0,
GLASS & CERAMICS,GVGL,720,800,symmetrical,down,down,801,1.0,15.75,16.0,0.25,no_valid_consolidation,,,804.0,,804,False,False,-1.0,
CEMENT,GWLC,960,1040,descending,up,up,1052,4.0,12.4716,11.59,0.8816000000000006,skipped_risk_gt_6pct,11.29,,1059.0,,1059,False,False,-1.0,
CEMENT,GWLC,2720,2800,descending,down,down,2814,2.0,56.8,58.49,1.6900000000000048,skipped_risk_gt_6pct,60.59,,,,2904,False,True,16.337278106508826,
PHARMACEUTICALS,HALEON,0,80,descending,up,up,84,4.0,139.71,134.0,5.710000000000008,skipped_risk_gt_6pct,130.68,,86.0,,86,False,False,-1.0,
OIL & GAS MARKETING COMPANIES,HASCOL,2600,2680,symmetrical,sequential,up,2685,4.0,12.37,12.0,0.3699999999999992,ok,11.78,0.5899999999999999,2689.0,2694.0,2689,False,False,-1.0,-0.644067796610168
COMMERCIAL BANKS,HBL,2040,2120,descending,up,up,2123,1.0,176.22,173.0,3.219999999999999,ok,170.82,5.400000000000006,2154.0,2154.0,2154,True,False,-1.0,-1.0
COMMERCIAL BANKS,HBL,3200,3280,ascending,sequential,up,3288,4.0,140.12,136.8,3.319999999999993,skipped_risk_gt_6pct,130.98,,3309.0,,3309,False,False,-1.0,
COMMERCIAL BANKS,HBL,3800,3880,descending,sequential,down,3885,3.0,70.51,72.2,1.6899999999999977,ok,74.74,4.22999999999999,3898.0,3899.0,3898,False,False,-1.0,-0.6430260047281336
AUTOMOBILE ASSEMBLER,HINO,1840,1920,descending,up,up,1935,3.0,682.2704,637.6039,44.66650000000004,skipped_risk_gt_6pct,622.41,,1952.0,,1952,False,False,-1.0,
PHARMACEUTICALS,HINOON,680,760,descending,down,down,762,4.0,79.25,87.0,7.75,skipped_risk_gt_6pct,88.88,,784.0,,784,False,False,-1.0,
COMMERCIAL BANKS,HMB,880,960,descending,up,up,966,4.0,28.07,26.3,1.7699999999999996,no_valid_consolidation,,,970.0,,970,False,False,-1.0,
COMMERCIAL BANKS,HMB,1080,1160,ascending,down,down,1175,1.0,30.94,33.19,2.2499999999999964,skipped_risk_gt_6pct,34.95,,,,1265,False,True,3.9244444444444513,
COMMERCIAL BANKS,HMB,4200,4280,descending,up,up,4292,4.0,35.48,34.5,0.9799999999999969,ok,33.46,2.019999999999996,4297.0,4297.0,4297,True,False,-1.0,-1.0
COMMERCIAL BANKS,HMB,4960,5040,descending,up,up,5045,2.0,114.36,111.01,3.3499999999999943,ok,109.01,5.349999999999994,5086.0,5091.0,5086,False,False,-1.0,-0.6056074766355137
OIL & GAS MARKETING COMPANIES,HTL,1560,1640,descending,down,down,1642,2.0,37.46,39.14,1.6799999999999997,skipped_risk_gt_6pct,40.2,,,,1732,False,True,8.589285714285715,
POWER GENERATION & DISTRIBUTION,HUBC,1320,1400,descending,up,up,1401,1.0,36.37,35.65,0.7199999999999989,skipped_risk_gt_6pct,33.07,,,,1491,False,True,1.9722222222222276,
TECHNOLOGY & COMMUNICATION,HUMNL,3640,3720,symmetrical,down,down,3725,2.0,6.57,7.22,0.6499999999999995,skipped_risk_gt_6pct,7.36,,,,3815,False,True,1.246153846153848,
PHARMACEUTICALS,IBLHL,360,440,ascending,up,up,441,4.0,9.4,9.16,0.2400000000000002,no_valid_consolidation,,,442.0,,442,False,False,-1.0,
PHARMACEUTICALS,IBLHL,3320,3400,symmetrical,down,down,3426,4.0,32.9,34.15,1.25,ok,34.83,1.9299999999999997,3428.0,3455.0,3428,False,False,-1.0,0.2746113989637312
PHARMACEUTICALS,IBLHL,3920,4000,symmetrical,down,down,4002,3.0,60.12,63.74,3.6200000000000045,skipped_risk_gt_6pct,64.38,,4042.0,,4042,False,False,-1.0,
INSURANCE,IGIL,2120,2200,descending,down,down,2203,2.0,47.09,50.9,3.809999999999995,skipped_risk_gt_6pct,56.05,,,,2293,False,True,2.664041994750661,
INSURANCE,IGIL,2640,2720,descending,sequential,down,2730,4.0,12.85,13.68,0.8300000000000001,skipped_risk_gt_6pct,13.98,,2736.0,,2736,False,False,-1.0,
TEXTILE COMPOSITE,ILP,800,880,ascending,down,down,881,2.0,60.01,62.0,1.990000000000002,skipped_risk_gt_6pct,64.53,,,,971,False,True,5.3618090452261224,
AUTOMOBILE ASSEMBLER,INDU,3000,3080,ascending,down,down,3084,4.0,1699.2,1778.97,79.76999999999998,ok,1796.76,97.55999999999995,3103.0,3104.0,3103,False,False,-1.0,-0.6169536695366963
AUTOMOBILE ASSEMBLER,INDU,3360,3440,ascending,down,down,3441,4.0,1200.31,1240.0,39.690000000000055,skipped_risk_gt_6pct,1297.85,,3469.0,,3469,False,False,-1.0,
FOOD & PERSONAL CARE PRODUCTS,ISIL,1680,1760,symmetrical,down,down,1761,4.0,1776.71,1800.0,23.289999999999964,ok,1818.0,41.289999999999964,1763.0,1769.0,1763,False,False,-1.0,0.7149430854928556
ENGINEERING,ISL,2560,2640,descending,sequential,down,2641,4.0,60.73,62.02,1.2900000000000063,skipped_risk_gt_6pct,67.66,,2643.0,,2643,False,False,-1.0,
ENGINEERING,ISL,2840,2920,symmetrical,sequential,up,2932,4.0,44.99,43.07,1.9200000000000017,skipped_risk_gt_6pct,41.42,,2934.0,,2934,False,False,-1.0,
ENGINEERING,ISL,3320,3400,descending,sequential,down,3405,3.0,77.45,82.25,4.799999999999997,skipped_risk_gt_6pct,83.07,,3434.0,,3434,False,False,-1.0,
ENGINEERING,ITTEFAQ,120,200,symmetrical,down,down,201,1.0,19.91,21.01,1.1000000000000014,skipped_risk_gt_6pct,21.61,,,,291,False,True,4.6363636363636305,
INSURANCE,JGICL,400,480,ascending,up,up,481,4.0,140.0579,135.2912,4.766699999999986,no_valid_consolidation,,,482.0,,482,False,False,-1.0,
INSURANCE,JGICL,1120,1200,ascending,up,up,1201,2.0,37.1271,35.603,1.5240999999999971,skipped_risk_gt_6pct,34.66,,,,1291,False,True,3.7322354176235213,
INSURANCE,JGICL,3640,3720,descending,sequential,up,3721,4.0,82.21,81.37,0.8399999999999892,skipped_risk_gt_6pct,77.22,,3722.0,,3722,False,False,-1.0,
INSURANCE,JLICL,1560,1640,ascending,up,up,1641,4.0,82.5,77.5,5.0,skipped_risk_gt_6pct,72.52,,1643.0,,1643,False,False,-1.0,
INSURANCE,JLICL,4280,4360,descending,up,up,4361,2.0,178.3,167.35,10.950000000000017,skipped_risk_gt_6pct,162.86,,,,4382,False,True,-0.02648401826484201,
COMMERCIAL BANKS,JSBL,160,240,symmetrical,sequential,down,242,4.0,18.8,19.35,0.5500000000000007,skipped_risk_gt_6pct,20.15,,244.0,,244,False,False,-1.0,
COMMERCIAL BANKS,JSBL,1200,1280,symmetrical,up,up,1281,4.0,5.51,5.34,0.16999999999999993,ok,5.23,0.27999999999999936,1284.0,1289.0,1284,False,False,-1.0,-0.39285714285714174
COMMERCIAL BANKS,JSBL,1600,1680,symmetrical,sequential,down,1684,4.0,4.09,4.38,0.29000000000000004,skipped_risk_gt_6pct,4.49,,1692.0,,1692,False,False,-1.0,
COMMERCIAL BANKS,JSBL,3240,3320,descending,sequential,up,3321,3.0,7.15,6.75,0.40000000000000036,skipped_risk_gt_6pct,6.68,,3333.0,,3333,False,False,-1.0,
COMMERCIAL BANKS,JSBL,3360,3440,ascending,down,down,3448,4.0,5.25,5.45,0.20000000000000018,skipped_risk_gt_6pct,5.71,,3454.0,,3454,False,False,-1.0,
TEXTILE COMPOSITE,JUBS,560,640,ascending,sequential,down,641,4.0,5.41,5.65,0.2400000000000002,skipped_risk_gt_6pct,6.06,,645.0,,645,False,False,-1.0,
PROPERTY,JVDC,1120,1200,symmetrical,up,up,1201,1.0,30.3,28.75,1.5500000000000007,skipped_risk_gt_6pct,28.15,,1249.0,,1249,False,False,-1.0,
POWER GENERATION & DISTRIBUTION,KAPCO,1680,1760,symmetrical,up,up,1762,4.0,45.45,43.75,1.7000000000000028,ok,42.87,2.5800000000000054,1765.0,,1765,False,False,-1.0,-0.4961240310077513
POWER GENERATION & DISTRIBUTION,KAPCO,2440,2520,ascending,sequential,down,2532,4.0,86.27,87.7,1.4300000000000068,ok,89.39,3.1200000000000045,2538.0,2546.0,2538,False,False,-1.0,-0.17307692307692482
POWER GENERATION & DISTRIBUTION,KAPCO,2480,2560,ascending,sequential,up,2561,3.0,93.68,89.11,4.570000000000007,ok,88.22,5.460000000000008,2597.0,2597.0,2597,True,False,-1.0,-1.0
POWER GENERATION & DISTRIBUTION,KAPCO,4200,4280,descending,up,up,4282,1.0,27.7,26.89,0.8099999999999987,skipped_risk_gt_6pct,26.03,,4338.0,,4338,False,False,-1.0,
POWER GENERATION & DISTRIBUTION,KAPCO,5160,5240,descending,up,up,5241,4.0,28.26,28.16,0.10000000000000142,ok,27.47,0.7900000000000027,5242.0,5250.0,5242,False,False,-1.0,0.025316455696201907
POWER GENERATION & DISTRIBUTION,KEL,3160,3240,ascending,sequential,up,3242,3.0,6.75,6.45,0.2999999999999998,skipped_risk_gt_6pct,6.15,,3271.0,,3271,False,False,-1.0,
TEXTILE COMPOSITE,KML,1280,1360,descending,sequential,up,1373,3.0,17.6,16.1,1.5,skipped_risk_gt_6pct,15.85,,1384.0,,1384,False,False,-1.0,
CEMENT,KOHC,2120,2200,ascending,sequential,up,2201,3.0,122.65,115.75,6.900000000000006,skipped_risk_gt_6pct,113.36,,2272.0,,2272,False,False,-1.0,
CEMENT,KOHC,3800,3880,symmetrical,whipsaw,down,3883,4.0,212.66,219.5,6.840000000000003,ok,225.23,12.569999999999993,3884.0,3884.0,3884,True,False,-1.0,-1.0
CEMENT,KOHC,4240,4320,ascending,down,down,4327,4.0,155.77,166.85,11.079999999999984,skipped_risk_gt_6pct,170.59,,4332.0,,4332,False,False,-1.0,
CEMENT,KOHC,4840,4920,ascending,down,down,4922,3.0,373.07,389.0,15.930000000000007,ok,393.9,20.829999999999984,4926.0,4927.0,4926,False,False,-1.0,-0.6711473835813744
POWER GENERATION & DISTRIBUTION,KOHE,2440,2520,ascending,up,up,2540,4.0,32.6888,32.2702,0.41859999999999786,ok,31.65,1.038800000000002,2541.0,,2541,False,False,-1.0,-0.14651520985752817
POWER GENERATION & DISTRIBUTION,KOHP,3560,3640,ascending,down,down,3649,3.0,3.72,4.14,0.4199999999999995,no_valid_consolidation,,,3688.0,,3688,False,False,-1.0,
TEXTILE COMPOSITE,KOIL,1720,1800,descending,sequential,up,1801,4.0,3.79,3.45,0.33999999999999986,no_valid_consolidation,,,1802.0,,1802,False,False,-1.0,
TEXTILE COMPOSITE,KOIL,3760,3840,descending,whipsaw,down,3855,4.0,5.5,5.99,0.4900000000000002,no_valid_consolidation,,,3857.0,,3857,False,False,-1.0,
TEXTILE COMPOSITE,KOIL,3960,4040,symmetrical,up,up,4041,3.0,5.1,4.9,0.1999999999999993,skipped_risk_gt_6pct,4.65,,4047.0,,4047,False,False,-1.0,
TEXTILE COMPOSITE,KTML,2200,2280,descending,sequential,up,2281,4.0,24.15,24.0,0.14999999999999858,ok,23.76,0.389999999999997,2282.0,2282.0,2282,True,False,-1.0,-1.0
AUTOMOBILE PARTS & ACCESSORIES,LOADS,1120,1200,symmetrical,down,down,1201,4.0,19.56,20.18,0.620000000000001,no_valid_consolidation,,,1202.0,,1202,False,False,-1.0,
AUTOMOBILE PARTS & ACCESSORIES,LOADS,2200,2280,symmetrical,down,down,2288,1.0,17.86,18.38,0.5199999999999996,no_valid_consolidation,,,,,2378,False,True,7.096153846153851,
CHEMICAL,LOTCHEM,1000,1080,descending,up,up,1084,1.0,3.03,2.91,0.11999999999999966,skipped_risk_gt_6pct,2.79,,,,1174,False,True,34.7500000000001,
CHEMICAL,LOTCHEM,1720,1800,symmetrical,down,down,1801,1.0,7.4,7.69,0.29000000000000004,skipped_risk_gt_6pct,7.98,,1819.0,,1819,False,False,-1.0,
CHEMICAL,LOTCHEM,4400,4480,descending,up,up,4484,4.0,25.91,24.81,1.1000000000000014,skipped_risk_gt_6pct,23.9,,4485.0,,4485,False,False,-1.0,
CHEMICAL,LPGL,1640,1720,symmetrical,down,down,1731,4.0,106.25,109.0,2.75,skipped_risk_gt_6pct,114.23,,1732.0,,1732,False,False,-1.0,
POWER GENERATION & DISTRIBUTION,LPL,80,160,descending,down,down,161,4.0,9.1843,9.3813,0.19699999999999918,skipped_risk_gt_6pct,10.42,,163.0,,163,False,False,-1.0,
POWER GENERATION & DISTRIBUTION,LPL,120,200,descending,down,down,207,4.0,9.1895,9.3294,0.13989999999999903,ok,9.55,0.36050000000000004,209.0,282.0,209,False,False,-1.0,-0.3880721220527018
POWER GENERATION & DISTRIBUTION,LPL,400,480,ascending,down,down,488,1.0,16.057,16.7463,0.6893000000000029,skipped_risk_gt_6pct,17.53,,541.0,,541,False,False,-1.0,
POWER GENERATION & DISTRIBUTION,LPL,720,800,descending,up,up,821,1.0,11.9987,11.3093,0.6893999999999991,skipped_risk_gt_6pct,11.16,,856.0,,856,False,False,-1.0,
CEMENT,LUCK,2040,2120,descending,up,up,2121,1.0,239.98,237.5,2.4799999999999898,ok,228.64,11.340000000000003,,,2211,False,True,39.48387096774209,8.634920634920631
MISCELLANEOUS,MACFL,3800,3880,descending,up,up,3881,4.0,16.99,15.22,1.7699999999999978,skipped_risk_gt_6pct,15.07,,3892.0,,3892,False,False,-1.0,
PHARMACEUTICALS,MACTER,360,440,symmetrical,sequential,up,441,4.0,183.0,157.0,26.0,no_valid_consolidation,,,451.0,,451,False,False,-1.0,
