,avg_daily_eligible_symbols,avg_daily_total_volume_shares,top10_symbol_vol_share_%
2015,83.73895582329317,194664844.45783132,44.503590580420735
2016,91.60483870967742,223371736.4516129,42.156733577159194
2017,88.83935742971887,197400482.3694779,45.05023007972854
2018,84.4959349593496,168078355.93495935,40.73761758633269
2019,79.23886639676114,143214388.7854251,45.00462539895487
2020,103.92430278884463,301854752.57768923,43.36930257685922
2021,110.59919028340082,426210435.6356275,46.84528291639575
2022,92.77822580645162,212037541.8548387,45.118736893533196
2023,103.47154471544715,297982039.902439,43.654374380127905
2024,126.54471544715447,477851543.1707317,41.02639433114776
2025,141.48,642958541.6,43.321026037987394
2026,140.1048387096774,652087792.36,43.144172717878604
