sector,symbol,start,end,kind,outcome,type,boundary_touched,boundary_breached,lfd_touched
TEXTILE COMPOSITE,BHAT,1240,1320,symmetrical,down,1,False,False,False
COMMERCIAL BANKS,BIPL,2240,2320,symmetrical,sequential,4,True,True,True
COMMERCIAL BANKS,BIPL,3920,4000,descending,up,4,False,False,True
FOOD & PERSONAL CARE PRODUCTS,BNL,1280,1360,descending,whipsaw,4,True,True,True
COMMERCIAL BANKS,BOK,440,520,descending,down,4,True,True,True
COMMERCIAL BANKS,BOK,3680,3760,ascending,down,4,True,False,True
COMMERCIAL BANKS,BOK,4280,4360,ascending,sequential,4,True,True,True
COMMERCIAL BANKS,BOK,4600,4680,symmetrical,up,4,True,True,True
COMMERCIAL BANKS,BOP,3840,3920,symmetrical,sequential,4,True,True,True
OIL & GAS MARKETING COMPANIES,BPL,720,800,descending,down,2,True,False,False
CEMENT,BWCL,1000,1080,symmetrical,whipsaw,4,True,True,True
AUTOMOBILE PARTS & ACCESSORIES,BWHL,0,80,descending,up,4,False,False,True
AUTOMOBILE PARTS & ACCESSORIES,BWHL,1400,1480,ascending,up,1,False,False,False
AUTOMOBILE PARTS & ACCESSORIES,BWHL,1880,1960,descending,down,4,True,True,True
AUTOMOBILE PARTS & ACCESSORIES,BWHL,2280,2360,symmetrical,sequential,4,True,True,True
INSURANCE,CENI,3480,3560,symmetrical,up,3,True,True,False
PAPER & BOARD,CEPB,840,920,descending,down,4,True,False,True
PAPER & BOARD,CEPB,1080,1160,ascending,sequential,4,True,True,True
PAPER & BOARD,CEPB,2200,2280,ascending,sequential,4,True,True,True
PAPER & BOARD,CEPB,2520,2600,ascending,sequential,4,True,True,True
TEXTILE COMPOSITE,CHBL,360,440,descending,up,1,False,False,False
TEXTILE COMPOSITE,CHBL,1560,1640,symmetrical,sequential,4,True,True,True
CEMENT,CHCC,1120,1200,symmetrical,sequential,4,True,True,True
CEMENT,CHCC,1560,1640,descending,sequential,4,True,True,True
CEMENT,CHCC,2280,2360,symmetrical,up,1,False,False,False
FOOD & PERSONAL CARE PRODUCTS,CLOV,1480,1560,descending,up,1,False,False,False
REFINERY,CNERGY,2840,2920,descending,sequential,4,True,True,True
PAPER & BOARD,CPPL,3160,3240,symmetrical,up,2,True,False,False
PAPER & BOARD,CPPL,4480,4560,ascending,down,2,True,False,False
TEXTILE COMPOSITE,CRTM,2240,2320,descending,sequential,4,True,True,True
TEXTILE COMPOSITE,CRTM,3560,3640,descending,up,1,False,False,False
ENGINEERING,CSAP,4920,5000,descending,up,4,False,False,True
INSURANCE,CYAN,640,720,descending,up,1,False,False,False
INSURANCE,CYAN,1840,1920,symmetrical,sequential,4,True,True,True
INSURANCE,CYAN,4120,4200,descending,up,4,False,False,True
CHEMICAL,DAAG,840,920,symmetrical,up,2,True,False,False
CHEMICAL,DAAG,2240,2320,descending,down,4,True,True,True
CEMENT,DBCI,1840,1920,symmetrical,sequential,4,True,True,True
CEMENT,DCL,680,760,symmetrical,up,4,True,True,True
CEMENT,DCL,1560,1640,ascending,down,4,True,True,True
CEMENT,DCL,2520,2600,ascending,down,1,False,False,False
CEMENT,DCL,4760,4840,ascending,up,4,True,True,True
REAL ESTATE INVESTMENT TRUST,DCR,1240,1320,descending,down,4,True,True,True
AUTOMOBILE ASSEMBLER,DFML,3840,3920,ascending,down,4,True,True,True
AUTOMOBILE ASSEMBLER,DFML,3880,3960,descending,down,4,False,False,True
CEMENT,DGKC,680,760,descending,up,1,False,False,False
CEMENT,DGKC,1480,1560,symmetrical,down,1,False,False,False
CEMENT,DGKC,2920,3000,ascending,down,3,True,True,False
CEMENT,DNCC,240,320,ascending,down,4,True,True,True
CEMENT,DNCC,1440,1520,symmetrical,sequential,4,True,True,True
CEMENT,DNCC,2160,2240,symmetrical,sequential,4,True,True,True
CHEMICAL,DOL,680,760,descending,down,4,False,False,True
CHEMICAL,DOL,3200,3280,descending,whipsaw,4,True,True,True
CHEMICAL,DOL,3560,3640,symmetrical,down,2,True,False,False
CHEMICAL,DOL,4080,4160,ascending,sequential,4,True,True,True
ENGINEERING,DSL,2280,2360,ascending,whipsaw,4,True,True,True
ENGINEERING,DSL,3080,3160,ascending,sequential,4,True,True,True
ENGINEERING,DSL,4000,4080,descending,up,3,True,True,False
ENGINEERING,DSL,4360,4440,descending,down,1,False,False,False
CHEMICAL,DYNO,400,480,ascending,sequential,4,True,True,True
CHEMICAL,DYNO,880,960,descending,down,4,True,True,True
MISCELLANEOUS,ECOP,280,360,descending,down,4,True,True,True
MISCELLANEOUS,ECOP,1040,1120,ascending,down,4,True,True,True
MISCELLANEOUS,ECOP,4920,5000,ascending,up,2,True,False,False
FERTILIZER,EFERT,520,600,descending,down,1,False,False,False
FERTILIZER,EFERT,1320,1400,ascending,up,4,True,False,True
INSURANCE,EFUG,1680,1760,symmetrical,up,1,False,False,False
INSURANCE,EFUG,1800,1880,descending,up,4,False,False,True
INSURANCE,EFUL,120,200,descending,up,4,False,False,True
INSURANCE,EFUL,760,840,descending,sequential,4,True,True,True
INSURANCE,EFUL,2760,2840,symmetrical,sequential,4,True,True,True
FERTILIZER,ENGRO,80,160,descending,up,1,False,False,False
FERTILIZER,ENGRO,1280,1360,descending,up,2,True,False,False
FERTILIZER,ENGRO,1320,1400,ascending,up,2,True,False,False
FERTILIZER,ENGRO,1840,1920,symmetrical,sequential,4,True,True,True
FERTILIZER,ENGRO,1880,1960,ascending,up,1,False,False,False
FERTILIZER,ENGRO,4200,4280,descending,down,4,True,True,True
CHEMICAL,EPCL,2840,2920,descending,sequential,4,True,True,True
CHEMICAL,EPCLPS,280,360,descending,up,4,True,True,True
POWER GENERATION & DISTRIBUTION,EPQL,960,1040,descending,up,4,True,False,True
POWER GENERATION & DISTRIBUTION,EPQL,1960,2040,symmetrical,sequential,4,True,True,True
POWER GENERATION & DISTRIBUTION,EPQL,2040,2120,symmetrical,down,4,True,False,True
AUTOMOBILE PARTS & ACCESSORIES,EXIDE,4120,4200,descending,up,4,True,True,True
AUTOMOBILE PARTS & ACCESSORIES,EXIDE,4160,4240,ascending,down,1,False,False,False
COMMERCIAL BANKS,FABL,600,680,ascending,down,4,True,False,True
COMMERCIAL BANKS,FABL,2040,2120,symmetrical,sequential,4,True,True,True
TEXTILE COMPOSITE,FASM,120,200,descending,down,1,False,False,False
TEXTILE COMPOSITE,FASM,360,440,symmetrical,up,1,False,False,False
FERTILIZER,FATIMA,1240,1320,symmetrical,up,1,False,False,False
FERTILIZER,FATIMA,2080,2160,ascending,down,4,True,True,True
CEMENT,FCCL,2520,2600,descending,up,4,True,False,True
CEMENT,FCCL,2560,2640,ascending,sequential,4,True,True,True
CEMENT,FCCL,3920,4000,symmetrical,none,N/A,,,
CEMENT,FCCL,5080,5160,ascending,down,4,True,True,True
FOOD & PERSONAL CARE PRODUCTS,FCEPL,720,800,descending,up,1,False,False,False
FOOD & PERSONAL CARE PRODUCTS,FCEPL,1000,1080,descending,down,4,True,True,True
FOOD & PERSONAL CARE PRODUCTS,FCEPL,2920,3000,descending,up,2,True,False,False
FOOD & PERSONAL CARE PRODUCTS,FCEPL,3280,3360,symmetrical,sequential,4,True,True,True
FOOD & PERSONAL CARE PRODUCTS,FCEPL,3480,3560,symmetrical,sequential,4,True,True,True
CEMENT,FECTC,3520,3600,symmetrical,up,2,True,False,False
CEMENT,FECTC,4240,4320,descending,down,3,True,True,False
PHARMACEUTICALS,FEROZ,1240,1320,ascending,sequential,4,True,True,True
FERTILIZER,FFC,360,440,descending,up,4,True,False,True
FERTILIZER,FFC,400,480,ascending,down,4,True,False,True
FERTILIZER,FFC,2760,2840,descending,down,4,True,False,True
FERTILIZER,FFC,3520,3600,symmetrical,up,2,True,False,False
FERTILIZER,FFC,4880,4960,symmetrical,down,4,False,False,True
FOOD & PERSONAL CARE PRODUCTS,FFL,280,360,ascending,sequential,4,True,True,True
CEMENT,FLYNG,160,240,descending,down,1,False,False,False
CEMENT,FLYNG,1320,1400,symmetrical,down,3,True,True,False
CEMENT,FLYNG,3680,3760,descending,down,1,False,False,False
TEXTILE COMPOSITE,FML,1720,1800,descending,down,4,True,True,True
AUTOMOBILE ASSEMBLER,GAL,520,600,symmetrical,up,4,False,False,True
TEXTILE COMPOSITE,GATM,840,920,symmetrical,sequential,4,True,True,True
TEXTILE COMPOSITE,GATM,1000,1080,ascending,up,4,True,False,True
TEXTILE COMPOSITE,GFIL,1720,1800,ascending,down,1,False,False,False
TEXTILE COMPOSITE,GFIL,2840,2920,descending,down,4,True,True,True
GLASS & CERAMICS,GGGL,1880,1960,ascending,down,4,True,True,True
CHEMICAL,GGL,1760,1840,descending,down,4,True,True,True
GLASS & CERAMICS,GHGL,40,120,descending,down,3,True,True,False
GLASS & CERAMICS,GHGL,1360,1440,ascending,down,4,True,True,True
