sector,symbol,start,end,kind,outcome,direction,breakout_idx,type_trigger,entry_price,lfd_level,r_lfd_denom,rolling_status,rolling_stop,r_rolling_denom,opposite_stop,r_opposite_denom,lfd_hit_bar,rolling_hit_bar,opposite_hit_bar,anchor_bar,simultaneous_hit,horizon_reached,realized_R_lfd,realized_R_rolling,realized_R_opposite
TEXTILE COMPOSITE,ADMM,520,600,descending,down,down,601,1.0,61.95,63.9,1.9499999999999957,skipped_risk_gt_6pct,66.16,,68.69742951907132,6.747429519071318,627.0,,,627,False,False,-1.0,,-0.21489665003563704
TEXTILE COMPOSITE,ADMM,1960,2040,descending,up,up,2041,1.0,88.05,83.5,4.549999999999997,skipped_risk_gt_6pct,81.67,,82.16516483516483,5.884835164835167,,,,2131,False,True,0.4285714285714295,,0.3313601732895134
TEXTILE COMPOSITE,ADMM,2520,2600,ascending,down,down,2613,3.0,78.0,83.5,5.5,skipped_risk_gt_6pct,84.84,,85.08890909090907,7.08890909090907,2621.0,,,2621,False,False,-1.0,,-0.13965477442355506
ENGINEERING,AGHA,1200,1280,symmetrical,sequential,up,1284,4.0,9.44,8.56,0.879999999999999,skipped_risk_gt_6pct,7.93,,8.103752611784373,1.336247388215627,1296.0,,1310.0,1296,False,False,-1.0,,-0.6735279768829524
INSURANCE,AGIC,1280,1360,descending,up,up,1361,4.0,6.5442,6.4527,0.09149999999999991,no_valid_consolidation,,,5.784576086956522,0.7596239130434776,1367.0,,,1367,False,False,-1.0,,0.42178766952754143
INSURANCE,AGIC,1960,2040,symmetrical,up,up,2046,4.0,24.2548,23.6446,0.610199999999999,skipped_risk_gt_6pct,22.75,,23.078007904938477,1.176792095061522,2054.0,,,2054,False,False,-1.0,,0.1296745624315413
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1240,1320,descending,up,up,1324,1.0,69.91,68.0,1.9099999999999966,skipped_risk_gt_6pct,65.35,,66.00458606557378,3.905413934426221,1378.0,,,1378,False,False,-1.0,,-0.6836663270092713
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1400,1480,descending,down,down,1481,3.0,67.49,70.03,2.5400000000000063,ok,71.09,3.6000000000000085,69.80364397680913,2.313643976809132,1506.0,,1505.0,1505,False,False,-0.14173228346456634,-0.0999999999999996,-1.0
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1520,1600,symmetrical,up,up,1602,2.0,65.0,61.3,3.700000000000003,skipped_risk_gt_6pct,60.69,,59.2638435194942,5.736156480505798,,,,1692,False,True,10.578378378378371,,6.823384287548018
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1920,2000,symmetrical,down,down,2001,4.0,70.5,71.75,1.25,ok,72.47,1.9699999999999989,77.70389982110913,7.2038998211091325,2009.0,2009.0,2027.0,2009,True,False,-1.0,-1.0,-0.25541721091239605
CHEMICAL,AGL,40,120,descending,sequential,down,125,4.0,21.46,23.75,2.289999999999999,skipped_risk_gt_6pct,24.78,,24.161381924198253,2.7013819241982517,152.0,,156.0,152,False,False,-1.0,,-0.6885364795472348
CHEMICAL,AGL,640,720,symmetrical,down,down,733,4.0,11.36,11.7,0.33999999999999986,skipped_risk_gt_6pct,12.07,,12.352036345531491,0.992036345531492,738.0,,743.0,738,False,False,-1.0,,-0.22176606834110876
CHEMICAL,AGL,2640,2720,symmetrical,sequential,up,2721,4.0,4.09,3.94,0.1499999999999999,ok,3.88,0.20999999999999996,3.8727182655321144,0.21728173446788546,2730.0,2731.0,2731.0,2730,False,False,-1.0,-0.5238095238095233,-0.506255163460406
PHARMACEUTICALS,AGP,1840,1920,descending,up,up,1932,1.0,200.24,194.0,6.240000000000009,skipped_risk_gt_6pct,186.13,,187.94051160815403,12.299488391845983,1976.0,,1976.0,1976,True,False,-1.0,,-1.0
AUTOMOBILE ASSEMBLER,AGTL,1640,1720,descending,up,up,1737,4.0,152.0453,146.999,5.046300000000002,ok,145.52,6.525299999999987,140.53302682135728,11.512273178642715,1740.0,1812.0,,1740,False,False,-1.0,-0.5107044886825153,-0.2894736728609239
AUTOMOBILE ASSEMBLER,AGTL,3680,3760,descending,sequential,down,3761,4.0,340.82,348.99,8.170000000000016,ok,358.55,17.730000000000018,366.69925935309516,25.879259353095165,3763.0,3781.0,3782.0,3763,False,False,-1.0,-0.5036661026508741,-0.34506397104181336
AUTOMOBILE ASSEMBLER,AGTL,4480,4560,descending,sequential,down,4575,3.0,335.67,342.85,7.180000000000007,ok,352.48,16.810000000000002,350.1503264311816,14.480326431181595,4581.0,4587.0,4587.0,4581,False,False,-1.0,-0.40630577037477594,-0.47167444963757327
FERTILIZER,AHCL,3240,3320,descending,down,down,3323,2.0,32.05,34.7,2.6500000000000057,skipped_risk_gt_6pct,35.19,,34.78633945656334,2.7363394565633428,,,,3413,False,True,0.7735849056603746,,0.7491760552890826
INSURANCE,AICL,1800,1880,ascending,sequential,up,1881,3.0,68.88,65.51,3.3699999999999903,skipped_risk_gt_6pct,63.61,,63.59110752688172,5.288892473118274,1909.0,,1910.0,1909,False,False,-1.0,,-0.7165961530251056
INSURANCE,AICL,3800,3880,descending,up,up,3881,4.0,44.02,43.0,1.0200000000000031,ok,42.57,1.4500000000000028,38.246565934065934,5.773434065934069,3885.0,3910.0,3937.0,3885,False,False,-1.0,-0.0896551724137947,-0.022516928142829705
INSURANCE,AICL,3920,4000,ascending,down,down,4009,4.0,39.65,40.35,0.7000000000000028,ok,41.61,1.9600000000000009,42.35029231815092,2.7002923181509217,4012.0,4021.0,4024.0,4012,False,False,-1.0,-0.1785714285714292,-0.12961559666979713
TECHNOLOGY & COMMUNICATION,AIRLINK,160,240,descending,down,down,241,4.0,35.18,36.38,1.2000000000000028,skipped_risk_gt_6pct,37.57,,38.830491474423276,3.6504914744232764,254.0,,,254,False,False,-1.0,,-0.27119635997955793
COMMERCIAL BANKS,AKBL,1800,1880,ascending,up,up,1884,3.0,16.51,15.51,1.0000000000000018,skipped_risk_gt_6pct,15.25,,15.36786788029238,1.1421321197076217,,,,1974,False,True,3.0199999999999942,,2.644177453632159
MISCELLANEOUS,AKDHL,240,320,descending,whipsaw,up,321,4.0,422.1,385.0,37.10000000000002,no_valid_consolidation,,,387.6242105263158,34.475789473684245,323.0,,323.0,323,True,False,-1.0,,-1.0
MISCELLANEOUS,AKDHL,880,960,descending,whipsaw,down,965,4.0,131.04,140.5,9.460000000000008,skipped_risk_gt_6pct,154.53,,147.81416988416993,16.774169884169936,968.0,,970.0,968,False,False,-1.0,,-0.5937700684311911
MISCELLANEOUS,AKGL,640,720,descending,sequential,down,725,4.0,11.0,11.5,0.5,no_valid_consolidation,,,13.082236932207257,2.082236932207257,726.0,,757.0,726,False,False,-1.0,,-0.4322274694484278
INSURANCE,ALAC,2720,2800,symmetrical,down,down,2801,4.0,5.0,5.1,0.09999999999999964,skipped_risk_gt_6pct,5.31,,5.662165605095545,0.6621656050955451,2802.0,,2848.0,2802,False,False,-1.0,,-0.3020392458637923
POWER GENERATION & DISTRIBUTION,ALTN,2200,2280,descending,whipsaw,down,2292,4.0,6.2456,6.3813,0.13570000000000082,ok,6.61,0.3644000000000007,6.785138046958373,0.5395380469583735,2293.0,2293.0,2294.0,2293,True,False,-1.0,-1.0,-0.7749221808490145
POWER GENERATION & DISTRIBUTION,ALTN,2400,2480,descending,up,up,2481,3.0,4.8335,4.6326,0.20089999999999986,skipped_risk_gt_6pct,4.44,,4.313294922737306,0.5202050772626938,2492.0,,2509.0,2492,False,False,-1.0,,0.2610508930719706
POWER GENERATION & DISTRIBUTION,ALTN,2520,2600,descending,down,down,2601,1.0,4.5212,5.0507,0.5294999999999996,skipped_risk_gt_6pct,5.1,,4.909398545139224,0.3881985451392236,,,,2691,False,True,0.051369216241738576,,0.07006723837732454
POWER GENERATION & DISTRIBUTION,ALTN,2600,2680,symmetrical,up,up,2681,1.0,4.5538,4.209,0.3448000000000002,no_valid_consolidation,,,3.696177610441767,0.8576223895582329,,,,2771,False,True,14.079756380510432,,5.66064979075545
TEXTILE COMPOSITE,ANL,2360,2440,symmetrical,down,down,2441,1.0,5.22,5.58,0.3600000000000003,skipped_risk_gt_6pct,5.78,,6.258194419761864,1.0381944197618642,2515.0,,2516.0,2515,False,False,-1.0,,-0.25043478856266455
TEXTILE COMPOSITE,ANL,3600,3680,symmetrical,down,down,3681,2.0,12.15,12.7,0.5499999999999989,no_valid_consolidation,,,13.212978723404259,1.0629787234042585,3745.0,,3746.0,3745,False,False,-1.0,,-0.8843074459567624
TEXTILE COMPOSITE,ANTM,440,520,descending,sequential,up,521,4.0,18.76,18.3,0.46000000000000085,skipped_risk_gt_6pct,16.29,,15.418020050125312,3.3419799498746894,525.0,,535.0,525,False,False,-1.0,,0.011968952716637029
OIL & GAS MARKETING COMPANIES,APL,1400,1480,symmetrical,up,up,1483,2.0,166.0422,164.4244,1.6178000000000168,ok,160.84,5.202200000000005,163.39091097228533,2.6512890277146823,1509.0,1531.0,1531.0,1509,False,False,-1.0,0.04986351928030432,0.09783920096542362
OIL & GAS MARKETING COMPANIES,APL,1560,1640,ascending,up,up,1644,1.0,189.8517,183.319,6.5327000000000055,skipped_risk_gt_6pct,176.26,,184.233357200333,5.618342799667005,,,,1734,False,True,1.1514075344038464,,1.3387933538775572
OIL & GAS MARKETING COMPANIES,APL,3160,3240,ascending,down,down,3241,4.0,327.2201,333.1737,5.9535999999999945,skipped_risk_gt_6pct,359.96,,365.7880972578165,38.5679972578165,3266.0,,3274.0,3266,False,False,-1.0,,-0.22980711030318585
OIL & GAS MARKETING COMPANIES,APL,3880,3960,descending,up,up,3961,4.0,257.2351,248.9871,8.24799999999999,skipped_risk_gt_6pct,241.77,,241.56416680200624,15.670933197993747,3965.0,,3976.0,3965,False,False,-1.0,,-0.6629343555194268
OIL & GAS MARKETING COMPANIES,APL,3920,4000,descending,sequential,up,4001,4.0,250.144,244.2096,5.934400000000011,ok,238.76,11.384000000000015,241.4859589107645,8.658041089235496,4003.0,4027.0,4027.0,4003,False,False,-1.0,-0.25207308503162223,-0.3314375584989718
OIL & GAS MARKETING COMPANIES,APL,4120,4200,symmetrical,up,up,4216,2.0,236.0668,230.2376,5.829200000000014,ok,223.29,12.776800000000009,226.16367882736154,9.903121172638464,,,,4306,False,True,7.847251766966289,3.5801765700331827,4.619068998810681
OIL & GAS MARKETING COMPANIES,APL,4640,4720,ascending,up,up,4722,4.0,412.9,408.0,4.899999999999977,skipped_risk_gt_6pct,383.13,,387.1217155040456,25.77828449595438,4726.0,,4764.0,4726,False,False,-1.0,,-0.021335787495334338
TEXTILE COMPOSITE,ARUJ,640,720,symmetrical,up,up,721,1.0,22.59,18.9,3.6900000000000013,no_valid_consolidation,,,14.741257848019053,7.848742151980947,743.0,,797.0,743,False,False,-1.0,,-0.4892503697590347
FOOD & PERSONAL CARE PRODUCTS,ASC,80,160,symmetrical,up,up,171,4.0,55.98,53.8,2.1799999999999997,ok,53.26,2.719999999999999,54.69250785340314,1.287492146596854,173.0,187.0,172.0,172,False,False,-0.6055045871559636,-0.48529411764705915,-1.0
ENGINEERING,ASL,0,80,ascending,down,down,87,4.0,10.4,10.74,0.33999999999999986,skipped_risk_gt_6pct,11.28,,11.509248480514838,1.1092484805148377,89.0,,,89,False,False,-1.0,,-0.30651382983386644
ENGINEERING,ASL,160,240,descending,whipsaw,down,241,4.0,8.61,8.83,0.22000000000000064,skipped_risk_gt_6pct,9.19,,9.124043766090473,0.5140437660904738,242.0,,243.0,242,False,False,-1.0,,-0.3696183331723558
ENGINEERING,ASL,1320,1400,descending,down,down,1401,1.0,18.24,19.0,0.7600000000000016,skipped_risk_gt_6pct,20.15,,20.870578121106405,2.6305781211064065,,,,1491,False,True,6.499999999999984,,1.877914197021551
ENGINEERING,ASL,2400,2480,descending,down,down,2481,4.0,10.2,10.68,0.4800000000000004,skipped_risk_gt_6pct,11.0,,11.203202029244999,1.0032020292449992,2486.0,,,2486,False,False,-1.0,,-0.02990424573062204
ENGINEERING,ASLPS,360,440,ascending,up,up,448,1.0,5.7582,5.051,0.7072000000000003,no_valid_consolidation,,,4.844228571428571,0.9139714285714291,483.0,,492.0,483,False,False,-1.0,,-0.9726781080996589
AUTOMOBILE PARTS & ACCESSORIES,ATBA,2600,2680,descending,up,up,2681,4.0,656.9995,654.7233,2.276200000000017,ok,629.32,27.679499999999962,618.2140110046948,38.78548899530517,2682.0,2771.0,,2682,False,False,-1.0,0.8773785653642593,0.6261465467907246
AUTOMOBILE PARTS & ACCESSORIES,ATBA,4040,4120,symmetrical,sequential,up,4121,3.0,170.19,168.0,2.1899999999999977,ok,166.32,3.8700000000000045,162.6741557377049,7.515844262295104,4123.0,4123.0,4123.0,4123,True,False,-1.0,-1.0,-1.0
INSURANCE,ATIL,1320,1400,ascending,up,up,1413,4.0,10.46,10.133,0.32700000000000173,ok,9.85,0.6100000000000012,9.887056475956477,0.5729435240435237,1430.0,1439.0,1439.0,1430,False,False,-1.0,-0.2296721311475411,-0.24452671881383833
INSURANCE,ATIL,2480,2560,descending,up,up,2570,4.0,41.9482,41.3112,0.6370000000000005,skipped_risk_gt_6pct,39.33,,38.9045005819754,3.0436994180246018,2571.0,,,2571,False,False,-1.0,,-0.27144598941252024
AUTOMOBILE ASSEMBLER,ATLH,3640,3720,descending,sequential,down,3721,4.0,379.1,384.8,5.699999999999989,ok,394.0,14.899999999999977,400.8588030815481,21.75880308154808,3722.0,3724.0,3726.0,3722,False,False,-1.0,-0.38791946308724706,-0.26563961162466393
REFINERY,ATRL,1440,1520,ascending,sequential,up,1530,3.0,131.8,124.42,7.38000000000001,skipped_risk_gt_6pct,120.58,,124.87575834970534,6.924241650294675,1547.0,,1547.0,1547,True,False,-1.0,,-1.0
REFINERY,ATRL,2640,2720,ascending,up,up,2721,4.0,224.51,222.05,2.4599999999999795,no_valid_consolidation,,,201.2628842676312,23.247115732368798,2722.0,,,2722,False,False,-1.0,,-0.10323861366845899
REFINERY,ATRL,5000,5080,ascending,sequential,up,5081,3.0,704.88,679.0,25.879999999999995,skipped_risk_gt_6pct,660.33,,662.840962349633,42.03903765036705,5088.0,,5095.0,5088,False,False,-1.0,,-0.6365512032544434
TECHNOLOGY & COMMUNICATION,AVN,560,640,descending,up,up,643,3.0,17.9872,17.0358,0.9514000000000031,skipped_risk_gt_6pct,16.76,,16.60678576210093,1.3804142378990711,669.0,,670.0,669,False,False,-1.0,,-0.6450962149994224
