symbol,start,end,outcome,breakout_idx_used,breakout_date,date_convention
MACTER,360,440,sequential,441,2021-01-21,breakout_idx (first chronological)
MACTER,1000,1080,down,1086,2025-08-01,breakout_idx
MARI,680,760,whipsaw,763,2008-02-20,breakout_idx (first chronological)
MCB,1280,1360,up,1379,2010-10-15,breakout_idx
MCB,1800,1880,up,1882,2012-10-30,breakout_idx
MCB,2080,2160,whipsaw,2165,2013-12-20,breakout_idx (first chronological)
MCB,2120,2200,down,2201,2014-02-13,breakout_idx
MCB,3080,3160,up,3162,2017-12-28,breakout_idx
MCB,4120,4200,down,4201,2022-03-08,breakout_idx
MEBL,1000,1080,up,1082,2009-08-24,breakout_idx
MEBL,1560,1640,sequential,1645,2011-12-07,breakout_idx (first chronological)
MEBL,2080,2160,down,2169,2014-01-24,breakout_idx
MEBL,2280,2360,up,2361,2014-11-13,breakout_idx
MEBL,4800,4880,up,4893,2025-03-17,breakout_idx
MERIT,720,800,down,801,2010-08-10,breakout_idx
MERIT,1400,1480,down,1493,2014-05-05,breakout_idx
MERIT,4240,4320,down,4344,2026-01-14,breakout_idx
MERIT,4280,4360,down,4361,2026-02-09,breakout_idx
MFFL,2040,2120,down,2121,2018-01-05,breakout_idx
MFL,520,600,up,601,2020-07-22,breakout_idx
MFL,1240,1320,up,1321,2023-07-20,breakout_idx
MLCF,1360,1440,down,1441,2011-01-18,breakout_idx
MLCF,2560,2640,down,2643,2015-11-25,breakout_idx
MLCF,4080,4160,down,4168,2022-01-19,breakout_idx
MSCL,1520,1600,whipsaw,1601,2023-03-13,breakout_idx (first chronological)
MSOT,840,920,whipsaw,921,2013-03-04,breakout_idx (first chronological)
MSOT,960,1040,up,1041,2013-11-04,breakout_idx
MTL,200,280,up,283,2006-05-03,breakout_idx
MTL,1560,1640,up,1643,2012-01-16,breakout_idx
MTL,3360,3440,sequential,3448,2019-04-26,breakout_idx (first chronological)
MTL,4160,4240,down,4243,2022-07-19,breakout_idx
MTL,5040,5120,sequential,5123,2026-02-02,breakout_idx (first chronological)
MUGHAL,1120,1200,sequential,1201,2020-02-20,breakout_idx (first chronological)
MUREB,2600,2680,sequential,2681,2018-02-08,breakout_idx (first chronological)
MUREB,2800,2880,up,2882,2019-01-01,breakout_idx
MUREB,3120,3200,up,3208,2020-08-27,breakout_idx
MWMP,760,840,up,841,2010-04-15,breakout_idx
NATF,680,760,down,762,2010-01-28,breakout_idx
NATF,1120,1200,up,1213,2012-01-03,breakout_idx
NATF,2000,2080,whipsaw,2081,2015-08-18,breakout_idx (first chronological)
NATF,3440,3520,down,3521,2021-10-18,breakout_idx
NBP,1320,1400,up,1401,2010-11-08,breakout_idx
NBP,1760,1840,down,1842,2012-08-16,breakout_idx
NBP,3160,3240,sequential,3242,2018-04-13,breakout_idx (first chronological)
NBP,4840,4920,up,4921,2025-01-29,breakout_idx
NCL,360,440,down,444,2006-10-16,breakout_idx
NCL,1280,1360,whipsaw,1361,2010-09-16,breakout_idx (first chronological)
NCL,2640,2720,up,2740,2016-04-13,breakout_idx
NCL,3360,3440,down,3476,2019-04-02,breakout_idx
NCPL,0,80,down,81,2010-02-23,breakout_idx
NCPL,1240,1320,whipsaw,1333,2015-03-30,breakout_idx (first chronological)
NESTLE,2720,2800,up,2828,2022-08-01,breakout_idx
NETSOL,1200,1280,up,1281,2011-01-18,breakout_idx
NICL,2480,2560,up,2561,2015-07-31,breakout_idx
NICL,2560,2640,down,2643,2015-11-30,breakout_idx
NML,3400,3480,down,3481,2019-04-09,breakout_idx
NRL,2360,2440,sequential,2441,2015-02-11,breakout_idx (first chronological)
NRSL,4720,4800,sequential,4806,2024-10-30,breakout_idx (first chronological)
OBOY,440,520,down,527,2023-03-30,breakout_idx
OGDC,360,440,up,441,2006-10-11,breakout_idx
OGDC,480,560,up,562,2007-04-18,breakout_idx
OGDC,520,600,down,607,2007-06-21,breakout_idx
OGDC,2400,2480,down,2482,2015-03-16,breakout_idx
OGDC,3760,3840,down,3841,2020-09-09,breakout_idx
PABC,480,560,up,561,2023-10-24,breakout_idx
PACE,2240,2320,up,2333,2016-08-26,breakout_idx
PAEL,1000,1080,down,1085,2009-08-05,breakout_idx
PAEL,2160,2240,up,2243,2014-04-08,breakout_idx
PAEL,2680,2760,up,2761,2016-05-10,breakout_idx
PAEL,4200,4280,sequential,4293,2022-07-21,breakout_idx (first chronological)
PAEL,4240,4320,sequential,4334,2022-09-20,breakout_idx (first chronological)
PAEL,4640,4720,up,4728,2024-04-23,breakout_idx
PAEL,4760,4840,up,4859,2024-11-05,breakout_idx
PAEL,4800,4880,up,4881,2024-12-05,breakout_idx
PAEL,4960,5040,up,5044,2025-08-05,breakout_idx
PAKD,40,120,up,121,2005-07-11,breakout_idx
PAKD,600,680,down,700,2008-04-22,breakout_idx
PAKD,2960,3040,down,3041,2021-06-29,breakout_idx
PAKOXY,2080,2160,up,2163,2014-09-19,breakout_idx
PAKOXY,3000,3080,down,3090,2018-07-27,breakout_idx
PAKOXY,3800,3880,up,3887,2022-02-07,breakout_idx
PAKOXY,4400,4480,up,4481,2024-08-09,breakout_idx
PAKRI,2280,2360,up,2364,2014-10-28,breakout_idx
