symbol,start,end,outcome,breakout_idx,close_at_breakout,ema_at_breakout,price_above_ema,ema_rising,ema_slope_pct,raw_pct_move
ABL,1000,1080,down,1091,62.15,59.30041011247026,True,True,1.9118721912984353,4.5374094931617055
ABOT,3840,3920,down,3928,755.01,735.9127897014226,True,True,1.037201499173799,-0.654295969589814
ACPL,600,680,down,695,56.7137,59.18463559023745,False,True,0.09300490618089648,-11.33394576619052
ACPL,2440,2520,down,2521,137.1967,143.8993447155195,False,True,0.38842147475601574,4.832259084948825
ACPL,3720,3800,up,3801,145.63,136.3368517126556,True,True,1.2989016833567906,25.24891849206895
ACPL,3880,3960,down,3961,168.26,164.11886792637395,True,True,1.7067819993924613,16.010935457030786
ADMM,160,240,down,241,216.0,240.49090132171443,False,False,-0.15553665887030918,-27.384259259259245
ADMM,520,600,down,601,61.95,75.35512190640189,False,False,-2.506788344912027,7.3446327683615875
ADMM,1960,2040,up,2041,88.05,81.36968001409316,True,True,1.00475144258292,28.847245883021017
ADMM,2520,2600,down,2613,78.0,78.51273784058459,False,True,0.8720627234013703,6.730769230769231
AGIC,1280,1360,up,1361,6.5442,7.15093776568737,False,False,-3.0427078839643245,7.342379511628621
AGIC,1960,2040,up,2046,24.2548,21.732265894559383,True,True,2.084451187463341,6.918218249583591
AGIC,2520,2600,up,2601,28.27,27.212068815905926,True,False,-0.049006229777185564,-4.492394764768305
AGIL,1240,1320,up,1324,69.91,66.91680347864603,True,True,0.22854403087723407,-1.3016735803175463
AGIL,1400,1480,down,1481,67.49,70.50188292920309,False,False,-0.3253123329778676,10.697881167580372
AGIL,1520,1600,up,1602,65.0,64.30898608212385,True,False,-0.8359386915638731,31.23076923076923
AGIL,1920,2000,down,2001,70.5,78.61710520700687,False,False,-0.9666870837109929,-22.000000000000007
AGL,640,720,down,733,11.36,12.41394368907399,False,False,-1.0856338913140124,-1.232394366197188
AGP,1840,1920,up,1932,200.24,185.63318028270234,True,True,0.6855649286234589,-10.132840591290462
AGTL,1640,1720,up,1737,152.0453,139.65930092966414,True,True,1.2373726294166938,0.3475280064559738
AHCL,3240,3320,down,3323,32.05,35.438219515792696,False,False,-0.5827495332074227,10.015600624024954
AICL,3800,3880,up,3881,44.02,38.768377312483636,True,True,1.4890965252605801,-5.883689232167204
AICL,3920,4000,down,4009,39.65,40.357906285729264,False,True,0.07412194653061027,5.195460277427479
AIRLINK,160,240,down,241,35.18,48.69200075526782,False,False,-5.034028181624889,21.688459351904488
AKBL,1800,1880,up,1884,16.51,14.194426794098549,True,True,2.104488633752143,9.751665657177464
ALAC,2720,2800,down,2801,5.0,5.532388692153837,False,False,-1.1762380060093565,4.000000000000004
ALTN,2400,2480,up,2481,4.8335,5.460100096086753,False,False,-3.505613367547457,1.1234095376021611
ALTN,2520,2600,down,2601,4.5212,4.987057155883067,False,False,-1.372779425802965,18.377864283818457
ALTN,2600,2680,up,2681,4.5538,4.392270398702657,True,False,-2.078479985203522,18.65255391101937
ANL,2360,2440,down,2441,5.22,5.9406596093145225,False,False,-0.8155076596694476,21.264367816091944
ANL,3600,3680,down,3681,12.15,11.923529944602214,True,True,1.441553690672873,17.36625514403293
APL,1400,1480,up,1483,166.0422,154.51533742930079,True,True,1.5674538797365183,-4.993369155552022
APL,1560,1640,up,1644,189.8517,170.97355396933025,True,True,1.6374888640005376,4.580206550691942
APL,3160,3240,down,3241,327.2201,348.51556374773276,False,False,-0.004099079713932803,2.189199257625066
APL,3880,3960,up,3961,257.2351,249.6402386080685,True,False,-0.15728546394673007,-2.0266285588553044
APL,4120,4200,up,4216,236.0668,235.93204245557905,True,False,-0.588033711712358,21.241106330919884
APL,4640,4720,up,4722,412.9,372.74126309416124,True,True,1.4677676802592778,1.7679825623637715
ARPL,4720,4800,up,4801,450.95,420.04425758027935,True,True,1.693406660371578,-2.488080718483196
ARUJ,640,720,up,721,22.59,12.13835197378351,True,True,7.171188946506149,-18.54803010181497
ASL,1320,1400,down,1401,18.24,19.787126239396724,False,False,-0.1708665039143333,12.00657894736841
ASL,2400,2480,down,2481,10.2,13.169991442013984,False,False,-3.6666587213167965,23.03921568627451
ASLPS,360,440,up,448,5.7582,5.182312927690746,True,False,-0.4206200737601254,-6.316209926713219
ATBA,2600,2680,up,2681,656.9995,576.3708405083528,True,True,2.458172596601763,9.785639106270253
ATIL,1320,1400,up,1413,10.46,9.664433502154866,True,True,1.0140818523263495,20.234225621414897
ATIL,2480,2560,up,2570,41.9482,42.426774333267716,False,False,-0.7969960826218518,25.54507702356716
ATRL,2640,2720,up,2721,224.51,205.5528362573101,True,True,0.10920955444947188,16.939111843570455
AVN,560,640,up,643,17.9872,18.32741842103606,False,False,-1.2276447693035657,7.164539227895384
AVN,1920,2000,down,2001,88.06,101.12899369530203,False,False,-0.2411134060812742,18.08993867817398
BAFL,1840,1920,down,1924,8.4127,8.219738974200528,True,True,1.3024053878937008,7.361489177077503
BAFL,3040,3120,down,3139,20.4176,20.47058321443977,False,True,0.39723828996508076,-21.435428257973516
BAFL,4520,4600,up,4608,21.0833,18.395006115147826,True,True,2.470263150971914,23.598772488177847
BAHL,4120,4200,down,4208,68.79,71.38680053219976,False,True,1.2143381167602272,12.778020061055395
BCL,760,840,down,845,45.07,46.35928557239478,False,True,1.1604594891886795,33.96938096294653
BCL,3400,3480,up,3481,143.76,97.52605722048978,True,True,0.1760557614737538,-36.79048414023372
BECO,400,480,up,496,20.24,18.773113687457755,True,False,-1.0585711423704454,-28.80434782608695
BERG,2280,2360,down,2362,98.86,100.66595231196688,False,True,0.8024931510122697,8.931822779688446
BERG,2840,2920,down,2934,149.72,171.3677172622988,False,False,-2.1777038322374533,5.223083088431735
BHAT,1160,1240,up,1250,899.09,886.1225446852936,True,False,-1.846029139249788,5.652381852762231
BHAT,1240,1320,down,1321,899.54,911.4246847563151,False,True,0.5298848649801592,-3.094915178869204
BIPL,3920,4000,up,4001,13.53,11.666108947317493,True,False,-0.1623260730880456,-3.9172209903917175
BOK,440,520,down,530,13.6,15.103884494622202,False,False,-1.3877907985621014,4.411764705882351
BOK,3680,3760,down,3773,15.0,15.331478614186153,False,True,0.06308785787697953,7.466666666666661
BPL,720,800,down,802,31.5,38.82280705175401,False,False,-3.578836561793082,23.809523809523807
BWHL,1400,1480,up,1492,48.9582,42.191938164916635,True,True,2.066668021176986,15.222577627445457
BWHL,1880,1960,down,1961,84.0812,92.99477194533821,False,False,-1.4489505597062544,28.572736830587576
CENI,3480,3560,up,3595,26.49,22.920092703258504,True,True,1.8335429013782667,40.43035107587771
CEPB,840,920,down,921,13.79,29.54162540455529,False,False,-10.360991315144211,5.656272661348799
CHBL,360,440,up,441,10.85,12.001402753499628,False,False,-2.9378259694716595,15.668202764976968
CHCC,2280,2360,up,2361,58.85,51.6297428818883,True,True,1.6381095864717112,34.34154630416313
CLOV,1480,1560,up,1561,91.0,81.53828242597015,True,True,0.1603800621987548,122.9120879120879
CPPL,3160,3240,up,3246,168.95,169.99018972875294,False,False,-0.5698433886765703,-16.040248594258657
CPPL,4480,4560,down,4561,124.0,115.45607439716264,True,True,1.4250661937047007,12.096774193548388
CRTM,3560,3640,up,3641,18.68,19.774954867215463,False,False,-2.2442644740879514,-13.383297644539615
CSAP,4920,5000,up,5011,106.0,104.6516813240208,True,False,-0.32237932179198714,-8.500000000000005
CYAN,640,720,up,721,10.1499,16.240144636684825,False,False,-8.253684678858829,78.11998147765003
CYAN,4120,4200,up,4201,24.01,24.730929698607813,False,False,-0.9600697478481961,49.937526030820486
DAAG,840,920,up,923,18.9,18.774654363154696,True,False,-1.0133836012846313,-18.095238095238088
DAAG,2240,2320,down,2322,94.01,101.88191989070529,False,True,0.046125551212138086,6.105733432613561
DCL,680,760,up,768,15.6,14.665047421944179,True,True,0.28341103791625033,-12.179487179487182
DCL,1560,1640,down,1641,1.3,1.608899086103684,False,False,-2.997291802019391,-60.76923076923075
DCL,2520,2600,down,2605,14.79,12.14215525534988,True,True,6.674731772609174,16.970926301555103
DCL,4760,4840,up,4854,9.24,7.870396042236654,True,True,2.1709042496545385,-2.813852813852812
DCR,1240,1320,down,1331,10.51,11.098928980290845,False,False,-0.5613849301467347,1.90294957183634
DFML,3840,3920,down,3930,6.82,6.727058315286264,True,True,1.1049501223894318,26.24633431085044
DFML,3880,3960,down,3961,5.85,6.682840297605244,False,False,-0.7754254424201773,-36.75213675213677
DGKC,680,760,up,764,95.0,97.95248742148355,False,False,-1.184566482167656,-2.3263157894736777
DGKC,1480,1560,down,1573,21.86,24.935915036880914,False,False,-1.6701788168832377,4.025617566331194
DGKC,2920,3000,down,3015,227.28,218.36045330073847,True,True,2.169137602902145,31.590989088349176
DNCC,240,320,down,324,0.1817,0.18163257565849078,True,True,1.9228164627612943,-51.67859108420474
DOL,680,760,down,761,4.61,6.118449356170794,False,False,-4.680927219806811,9.76138828633406
DOL,3560,3640,down,3646,24.55,24.14317662725154,True,True,1.7023338240052002,10.590631364562125
DSL,4000,4080,up,4091,6.12,5.6064932951978195,True,True,0.6746950669546089,11.27450980392156
DSL,4360,4440,down,4441,5.92,7.928719279862213,False,False,-2.2387291004369843,4.3918918918918886
DYNO,880,960,down,992,9.61,11.398845046313491,False,False,-1.6890069478092395,5.202913631633716
ECOP,280,360,down,376,24.715,29.788331426586296,False,False,-2.984940671187786,7.546024681367585
ECOP,1040,1120,down,1121,4.88,6.342414278440277,False,False,-3.0722467515945087,14.959016393442614
EFERT,520,600,down,601,66.58,76.16811140205279,False,False,-2.046135341008707,4.6860919194953405
EFERT,1320,1400,up,1401,69.02,69.02940315056708,False,False,-0.5493819502229768,7.896261953057089
EFUG,1680,1760,up,1763,45.6791,39.12612500155033,True,True,3.0761508988493302,11.323121515091149
EFUG,1800,1880,up,1881,49.5439,45.98154026623309,True,True,2.1571503500252245,12.6802694176276
EFUL,120,200,up,201,125.4125,116.71075734433555,True,,,16.731506030100682
ENGRO,1280,1360,up,1381,137.5634,137.98116734153766,False,False,-0.5226262082084537,16.47742059297749
ENGRO,1320,1400,up,1405,141.0312,137.64973003240536,True,False,-0.172847496544714,18.74826279575016
ENGRO,1880,1960,up,1961,99.16,97.3001910092217,True,False,-0.8843378565001472,41.23638563937073
ENGRO,4200,4280,down,4284,253.68,274.24046789687986,False,False,-1.171785122152145,8.155944497004098
EPCLPS,280,360,up,364,12.0,12.052510203279923,False,False,-0.12219901154374728,-8.166666666666671
EPQL,960,1040,up,1053,16.8362,17.78670063824557,False,False,-1.69690093355514,-17.579976479253045
EPQL,2040,2120,down,2123,17.4892,17.802603473014607,False,True,0.35207456252838853,3.3815154495345707
EXIDE,4120,4200,up,4221,857.18,785.3187823203298,True,True,1.5225994095842699,-21.571898551062784
EXIDE,4160,4240,down,4242,832.81,801.0789096361538,True,True,1.924540947495771,24.28885339993516
FABL,600,680,down,681,73.0,71.01124272600808,True,True,1.1139392123822174,11.917808219178086
FASM,120,200,down,201,34.3,64.83557571223487,False,,,8.921282798833815
FASM,360,440,up,441,47.99,43.81476717957203,True,True,1.364234336134937,46.48885184413418
FATIMA,1240,1320,up,1323,40.68,35.97917149756641,True,True,1.9703903950375838,12.733529990167158
FATIMA,2080,2160,down,2161,34.43,33.70014861890624,True,True,1.0868230490172346,5.605576532094103
FCCL,2520,2600,up,2612,36.72,32.18938929400548,True,True,1.8963147022620692,3.022875816993462
FCCL,5080,5160,down,5167,56.16,51.51964086132876,True,True,2.8226842321943457,13.746438746438749
FCEPL,720,800,up,808,99.36,103.40469018452414,False,False,-1.34603471903292,35.78904991948469
FCEPL,1000,1080,down,1093,139.44,146.22709743531328,False,True,0.2780715971606349,-8.534136546184744
FCEPL,2920,3000,up,3004,59.23,63.41200458821601,False,False,-2.259400028418874,38.22387303731219
FECTC,3520,3600,up,3606,35.35,30.088852214142452,True,True,3.313622193588838,-12.729844413012728
FECTC,4240,4320,down,4323,30.0,32.536974504895,False,True,0.1874940810771791,-6.666666666666667
FFC,360,440,up,445,59.1387,61.94962264487791,False,False,-1.070199378152,-5.29399530256837
FFC,400,480,down,481,57.0515,60.87109753216289,False,False,-0.9623033581930072,4.399007913902343
FFC,2760,2840,down,2843,110.07,115.75349447659126,False,False,-0.714868091051104,4.669755610066309
FFC,3520,3600,up,3603,95.68,95.70277019550602,False,False,-0.7370656344413238,6.051421404682265
FFC,4880,4960,down,4961,374.09,301.8650349704551,True,True,6.989283555342926,-4.89721724718652
FLYNG,160,240,down,241,11.8,14.143915617932524,False,False,-2.861215209661025,53.38983050847458
FLYNG,1320,1400,down,1401,3.41,3.406264851077273,True,True,1.6823211359837875,-29.61876832844574
FLYNG,3680,3760,down,3761,6.66,8.47741595293201,False,False,-3.1809350272047627,12.462462462462463
FML,1720,1800,down,1807,62.03,70.56294797129236,False,False,-1.56484765698508,-20.82863130743189
GATM,1000,1080,up,1081,22.43,22.442803209363145,False,False,-1.2836748617624592,7.846633972358455
GFIL,1720,1800,down,1813,3.46,4.493944660730174,False,False,-0.13425392469457528,65.3179190751445
GFIL,2840,2920,down,2923,8.38,9.495519317206012,False,True,0.20480013135554279,-18.257756563245813
GGGL,1880,1960,down,1961,6.3,8.337238293161526,False,False,-4.481748410395843,-1.587301587301596
GGL,1760,1840,down,1841,30.75,29.615142697372285,True,True,2.4581785458480874,26.17886178861789
GHGL,1360,1440,down,1442,52.64,53.58687959639319,False,False,-0.03347607891229736,26.00683890577507
GHGL,3200,3280,down,3292,44.99,54.26053837521977,False,False,-2.3631113021242807,12.26939319848856
GHGL,3880,3960,down,3991,41.26,45.41857830695968,False,False,-0.9949828120700261,1.9146873485215683
GHNI,920,1000,down,1001,7.9702,6.365189697366642,True,True,9.57379048634399,30.646658804045074
GHNI,1360,1440,up,1447,3.3355,3.4314685148534667,False,False,-1.7948573577347429,16.28841253185429
GHNI,4040,4120,down,4121,85.99,112.28236845722456,False,False,-4.563597344423797,-19.176648447493907
GLAXO,1480,1560,down,1567,70.5,77.12613910798053,False,False,-0.845703416311482,2.7234042553191515
GLAXO,2440,2520,up,2521,200.2,195.9826316388968,True,False,-0.06655507447344644,9.675324675324678
GLAXO,2560,2640,down,2641,219.4,211.5740339238742,True,True,1.4939358206948317,0.70191431175934
GLAXO,3400,3480,down,3481,116.51,142.47425582617592,False,False,-1.967181819929242,21.46596858638744
GLPL,720,800,down,807,43.5769,51.91749312638667,False,False,-2.549755957760604,2.541254655562937
GTYR,4640,4720,down,4721,37.28,38.633929632331814,False,True,0.6998747916546075,-28.782188841201705
GVGL,720,800,down,801,15.75,18.692401638652942,False,False,-0.726420692181732,-15.4920634920635
GWLC,960,1040,up,1052,12.4716,12.172251808047973,True,False,-0.5217945110886052,-18.70810481413772
GWLC,2720,2800,down,2814,56.8,55.53506471685124,True,True,1.3677543123118114,36.26760563380281
HBL,2040,2120,up,2123,176.22,192.21107738847968,False,False,-2.0628815650249077,23.69197593916695
HINO,1840,1920,up,1935,682.2704,543.0443615215924,True,True,4.1475348338017115,-9.146578834432802
