sector,symbol,start,end,kind,outcome,variant,type
ENGINEERING,AGHA,1200,1280,symmetrical,sequential,fixed_10,3
ENGINEERING,AGHA,1200,1280,symmetrical,sequential,trigger,4
INSURANCE,AGIC,1280,1360,descending,up,current,4
INSURANCE,AGIC,1280,1360,descending,up,fixed_5,1
INSURANCE,AGIC,1280,1360,descending,up,fixed_10,4
INSURANCE,AGIC,1280,1360,descending,up,trigger,4
INSURANCE,AGIC,1960,2040,symmetrical,up,current,4
INSURANCE,AGIC,1960,2040,symmetrical,up,fixed_5,2
INSURANCE,AGIC,1960,2040,symmetrical,up,fixed_10,4
INSURANCE,AGIC,1960,2040,symmetrical,up,trigger,4
INSURANCE,AGIC,2520,2600,ascending,up,current,4
INSURANCE,AGIC,2520,2600,ascending,up,fixed_5,4
INSURANCE,AGIC,2520,2600,ascending,up,fixed_10,4
INSURANCE,AGIC,2520,2600,ascending,up,trigger,4
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1240,1320,descending,up,current,1
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1240,1320,descending,up,fixed_5,1
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1240,1320,descending,up,fixed_10,1
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1240,1320,descending,up,trigger,1
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1400,1480,descending,down,current,3
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1400,1480,descending,down,fixed_5,3
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1400,1480,descending,down,fixed_10,3
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1400,1480,descending,down,trigger,3
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1520,1600,symmetrical,up,current,2
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1520,1600,symmetrical,up,fixed_5,2
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1520,1600,symmetrical,up,fixed_10,2
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1520,1600,symmetrical,up,trigger,2
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1920,2000,symmetrical,down,current,4
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1920,2000,symmetrical,down,fixed_5,1
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1920,2000,symmetrical,down,fixed_10,4
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1920,2000,symmetrical,down,trigger,4
CHEMICAL,AGL,40,120,descending,sequential,current,4
CHEMICAL,AGL,40,120,descending,sequential,fixed_5,3
CHEMICAL,AGL,40,120,descending,sequential,fixed_10,3
CHEMICAL,AGL,40,120,descending,sequential,trigger,4
CHEMICAL,AGL,640,720,symmetrical,down,current,4
CHEMICAL,AGL,640,720,symmetrical,down,fixed_5,4
CHEMICAL,AGL,640,720,symmetrical,down,fixed_10,4
CHEMICAL,AGL,640,720,symmetrical,down,trigger,4
CHEMICAL,AGL,2640,2720,symmetrical,sequential,current,4
CHEMICAL,AGL,2640,2720,symmetrical,sequential,fixed_5,3
CHEMICAL,AGL,2640,2720,symmetrical,sequential,fixed_10,4
CHEMICAL,AGL,2640,2720,symmetrical,sequential,trigger,4
PHARMACEUTICALS,AGP,1840,1920,descending,up,current,1
PHARMACEUTICALS,AGP,1840,1920,descending,up,fixed_5,1
PHARMACEUTICALS,AGP,1840,1920,descending,up,fixed_10,1
PHARMACEUTICALS,AGP,1840,1920,descending,up,trigger,1
AUTOMOBILE ASSEMBLER,AGTL,1640,1720,descending,up,current,4
AUTOMOBILE ASSEMBLER,AGTL,1640,1720,descending,up,fixed_5,4
AUTOMOBILE ASSEMBLER,AGTL,1640,1720,descending,up,fixed_10,4
AUTOMOBILE ASSEMBLER,AGTL,1640,1720,descending,up,trigger,4
AUTOMOBILE ASSEMBLER,AGTL,3680,3760,descending,sequential,current,4
AUTOMOBILE ASSEMBLER,AGTL,3680,3760,descending,sequential,fixed_5,4
AUTOMOBILE ASSEMBLER,AGTL,3680,3760,descending,sequential,fixed_10,4
AUTOMOBILE ASSEMBLER,AGTL,3680,3760,descending,sequential,trigger,4
AUTOMOBILE ASSEMBLER,AGTL,4480,4560,descending,sequential,current,4
AUTOMOBILE ASSEMBLER,AGTL,4480,4560,descending,sequential,fixed_5,3
AUTOMOBILE ASSEMBLER,AGTL,4480,4560,descending,sequential,fixed_10,4
AUTOMOBILE ASSEMBLER,AGTL,4480,4560,descending,sequential,trigger,3
FERTILIZER,AHCL,3240,3320,descending,down,current,2
FERTILIZER,AHCL,3240,3320,descending,down,fixed_5,2
FERTILIZER,AHCL,3240,3320,descending,down,fixed_10,2
FERTILIZER,AHCL,3240,3320,descending,down,trigger,2
INSURANCE,AICL,1800,1880,ascending,sequential,current,4
INSURANCE,AICL,1800,1880,ascending,sequential,fixed_5,3
INSURANCE,AICL,1800,1880,ascending,sequential,fixed_10,3
INSURANCE,AICL,1800,1880,ascending,sequential,trigger,3
INSURANCE,AICL,3800,3880,descending,up,current,4
INSURANCE,AICL,3800,3880,descending,up,fixed_5,4
INSURANCE,AICL,3800,3880,descending,up,fixed_10,4
INSURANCE,AICL,3800,3880,descending,up,trigger,4
INSURANCE,AICL,3920,4000,ascending,down,current,4
INSURANCE,AICL,3920,4000,ascending,down,fixed_5,4
INSURANCE,AICL,3920,4000,ascending,down,fixed_10,4
INSURANCE,AICL,3920,4000,ascending,down,trigger,4
TECHNOLOGY & COMMUNICATION,AIRLINK,160,240,descending,down,current,4
TECHNOLOGY & COMMUNICATION,AIRLINK,160,240,descending,down,fixed_5,3
TECHNOLOGY & COMMUNICATION,AIRLINK,160,240,descending,down,fixed_10,3
TECHNOLOGY & COMMUNICATION,AIRLINK,160,240,descending,down,trigger,4
COMMERCIAL BANKS,AKBL,1800,1880,ascending,up,current,3
COMMERCIAL BANKS,AKBL,1800,1880,ascending,up,fixed_5,3
COMMERCIAL BANKS,AKBL,1800,1880,ascending,up,fixed_10,3
COMMERCIAL BANKS,AKBL,1800,1880,ascending,up,trigger,3
MISCELLANEOUS,AKDHL,240,320,descending,whipsaw,current,4
