measure,era,n,tight_n,tight_mean,tight_median,loose_n,loose_mean,loose_median,mean_delta,mwu_two_p,mwu_one_p,t_stat,t_p,cliffs_delta
pct_rank_252,FULL POPULATION (all eras),274050,68719,0.4075725019310444,-0.4616002140754601,67567,1.5455473923941447,0.0086192035855931,-1.1379748904631004,3.2921477443423106e-35,1.0,-19.001666340625384,2.1548111491781267e-80,-0.038728743016693046
pct_rank_756,FULL POPULATION (all eras),274050,68732,0.32502010098903383,-0.5172706149072427,68439,1.626377634115247,0.10006671114076429,-1.301357533126213,1.7984263304351164e-54,1.0,-21.714238670868557,2.3735781438258076e-104,-0.04845648542047187
zscore_252,FULL POPULATION (all eras),274050,68513,0.35378596782323074,-0.48426150121064343,68513,1.5014237216217847,0.0,-1.147637753798554,3.3376379600203996e-34,1.0,-19.36829915941684,1.8940975158985005e-83,-0.03803844660836342
pct_rank_252,Development (2015-01-01 -> 2019-12-31),95693,24049,-0.17063816165881035,-0.7026562679671866,23700,1.4081837991123003,0.10153806615323252,-1.5788219607711107,4.615781036200629e-48,1.0,-17.59584305366755,4.555864000879329e-69,-0.07697439457731603
pct_rank_252,Validation (2020-01-01 -> 2022-12-31),74734,18925,-0.38231797373439375,-1.070950468540831,18606,1.046720680845878,-0.258765052116427,-1.4290386545802718,1.3510791233386052e-29,1.0,-12.77413595603314,2.7733784650410506e-37,-0.06734038578768431
pct_rank_252,OOS (2023-01-01 -> 2026-12-31),103623,26128,1.5747901725290407,0.2645429748045698,25860,1.9950558257624893,0.08075288768633927,-0.42026565323344856,7.07140772024579e-06,3.535703860122895e-06,-3.95405753693088,7.695412181432215e-05,0.022746881140570885
pct_rank_756,Development (2015-01-01 -> 2019-12-31),95693,23924,-0.05547572650853196,-0.6249999999999991,23888,1.3341314112891507,0.0602026972432145,-1.3896071377976826,1.2173331248415907e-31,1.0,-15.450710615105624,1.0343176095074047e-53,-0.06180676567278853
pct_rank_756,Validation (2020-01-01 -> 2022-12-31),74734,18684,-0.4985994160944776,-1.1714462921148558,18638,1.2975428106655102,0.03728673950903416,-1.7961422267599878,9.268691386703118e-56,1.0,-15.706305854667916,2.157977873889105e-55,-0.09402650572494708
pct_rank_756,OOS (2023-01-01 -> 2026-12-31),103623,25968,1.3835720061591037,0.12958378768267925,25906,1.9940438243876744,0.12003606965621333,-0.6104718182285707,0.12011766790942895,0.06005883395471447,-5.721869797031613,1.0602906499932718e-08,0.007880037425225472
zscore_252,Development (2015-01-01 -> 2019-12-31),95693,23924,-0.1971368496249531,-0.720264738848772,23923,1.3714672465026572,0.07682458386684031,-1.5686040961276102,5.55471269689066e-48,1.0,-17.66944642506575,1.2450547902504242e-69,-0.07682664557818253
zscore_252,Validation (2020-01-01 -> 2022-12-31),74734,18684,-0.4750566987507534,-1.1459786262559266,18684,0.93444297533489,-0.3272901805361861,-1.4094996740856434,1.477745101358724e-29,1.0,-12.541813514424069,5.2703559263409184e-36,-0.06743762592960634
zscore_252,OOS (2023-01-01 -> 2026-12-31),103623,25906,1.5148104569973477,0.2403719559168361,25906,1.9730617013824585,0.054380530646340644,-0.4582512443851108,1.7370672668150268e-05,8.685336334075134e-06,-4.347762882849183,1.3783158524564462e-05,0.021794583352795716
