symbol,date,bucket,close_t,open_t1,gap_pct,set
AABS,2005-12-14,no_open_data,,,,N20_ALL
AABS,2006-06-07,C_gap_down,53.0,52.5,-0.9433962264150944,N20_ALL
AABS,2007-05-30,C_gap_down,61.0,57.95,-4.999999999999996,N20_ALL
AABS,2008-04-08,A_gap_up,60.9,62.0,1.8062397372742223,N20_ALL
AABS,2009-02-18,no_open_data,,,,N20_ALL
AABS,2009-12-21,A_gap_up,86.0,90.0,4.651162790697675,N20_ALL
AABS,2010-08-30,C_gap_down,88.0,83.6,-5.000000000000006,N20_ALL
AABS,2011-01-19,no_open_data,,,,N20_ALL
AABS,2011-06-29,no_open_data,,,,N20_ALL
AABS,2011-09-27,C_gap_down,99.9,98.9,-1.001001001001001,N20_ALL
AABS,2012-07-19,A_gap_up,92.13,95.0,3.1151633561272165,N20_ALL
AABS,2012-12-07,no_open_data,,,,N20_ALL
AABS,2014-04-15,A_gap_up,105.81,109.5,3.487383045080803,N20_ALL
AABS,2014-07-15,no_open_data,,,,N20_ALL
AABS,2014-09-15,no_open_data,,,,N20_ALL
AABS,2015-07-10,C_gap_down,178.78,175.0,-2.114330462020361,N20_ALL
AABS,2015-12-30,C_gap_down,204.17,195.01,-4.486457363961403,N20_ALL
AABS,2016-06-17,no_open_data,,,,N20_ALL
AABS,2016-12-29,C_gap_down,319.0,313.01,-1.8777429467084668,N20_ALL
AABS,2018-02-02,A_gap_up,168.5,174.99,3.85163204747775,N20_ALL
AABS,2018-10-02,no_open_data,,,,N20_ALL
AABS,2018-12-21,no_open_data,,,,N20_ALL
AABS,2019-09-20,C_gap_down,207.83,207.0,-0.3993648655150905,N20_ALL
AABS,2019-11-04,A_gap_up,214.0,215.0,0.46728971962616817,N20_ALL
AABS,2019-12-30,A_gap_up,251.99,257.77,2.293741815151384,N20_ALL
AABS,2024-02-06,F_flat,520.0,520.0,0.0,N20_ALL
AABS,2024-08-21,A_gap_up,568.1,570.0,0.33444816053511306,N20_ALL
AABS,2024-12-12,A_gap_up,783.35,860.0,9.78489819365545,N20_ALL
AABS,2025-05-05,F_flat,758.02,758.02,0.0,N20_ALL
AABS,2025-08-04,C_gap_down,1070.98,965.01,-9.89467590431194,N20_ALL
AASM,2009-10-06,no_open_data,,,,N20_ALL
AASM,2010-10-08,A_gap_up,32.79,33.87,3.293687099725521,N20_ALL
AASM,2010-12-24,C_gap_down,27.72,27.5,-0.7936507936507896,N20_ALL
AASM,2013-11-12,no_open_data,,,,N20_ALL
AASM,2015-07-30,no_open_data,,,,N20_ALL
AASM,2015-11-10,no_open_data,,,,N20_ALL
AASM,2016-05-25,no_open_data,,,,N20_ALL
AASM,2016-09-23,no_open_data,,,,N20_ALL
AASM,2017-05-23,A_gap_up,10.9,11.7,7.339449541284393,N20_ALL
AATM,2005-12-14,C_gap_down,4.3,3.5,-18.604651162790695,N20_ALL
AATM,2007-07-12,no_open_data,,,,N20_ALL
AATM,2008-03-20,C_gap_down,3.0,2.75,-8.333333333333332,N20_ALL
AATM,2010-09-16,C_gap_down,1.21,0.8,-33.88429752066115,N20_ALL
AATM,2012-02-13,F_flat,1.06,1.06,0.0,N20_ALL
AATM,2012-11-19,A_gap_up,3.69,3.7,0.2710027100271065,N20_ALL
AATM,2013-03-15,no_open_data,,,,N20_ALL
AATM,2013-08-07,no_open_data,,,,N20_ALL
AATM,2013-12-31,A_gap_up,4.87,5.78,18.685831622176593,N20_ALL
AATM,2014-03-06,A_gap_up,8.0,8.5,6.25,N20_ALL
AATM,2014-07-09,C_gap_down,6.76,6.0,-11.242603550295856,N20_ALL
AATM,2015-06-12,C_gap_down,4.2,3.8,-9.52380952380953,N20_ALL
AATM,2024-05-31,A_gap_up,4.07,5.07,24.570024570024568,N20_ALL
AATM,2024-08-13,A_gap_up,60.2,66.0,9.634551495016606,N20_ALL
AATM,2024-11-22,C_gap_down,70.89,64.01,-9.705177034842707,N20_ALL
AATM,2025-01-01,A_gap_up,72.0,77.5,7.638888888888889,N20_ALL
AATM,2025-06-02,A_gap_up,50.35,55.39,10.00993048659384,N20_ALL
AATM,2026-04-10,C_gap_down,40.78,39.0,-4.3648847474252115,N20_ALL
AATM,2026-06-30,A_gap_up,67.0,69.0,2.9850746268656714,N20_ALL
ABL,2005-11-24,A_gap_up,73.5,75.0,2.0408163265306123,N20_ALL
ABL,2006-04-13,A_gap_up,97.9,99.4,1.5321756894790601,N20_ALL
ABL,2006-09-21,A_gap_up,84.9,85.0,0.1177856301531146,N20_ALL
ABL,2007-01-25,C_gap_down,97.4,96.5,-0.9240246406570899,N20_ALL
ABL,2007-04-30,A_gap_up,111.0,111.9,0.8108108108108159,N20_ALL
ABL,2007-10-01,A_gap_up,119.7,121.5,1.5037593984962383,N20_ALL
ABL,2007-12-06,A_gap_up,135.0,135.5,0.3703703703703704,N20_ALL
ABL,2008-02-12,A_gap_up,133.8,134.5,0.5231689088191245,N20_ALL
ABL,2009-02-18,A_gap_up,35.16,35.5,0.9670079635950041,N20_ALL
ABL,2009-03-26,C_gap_down,38.77,38.35,-1.0833118390508167,N20_ALL
ABL,2009-07-14,C_gap_down,41.59,41.5,-0.21639817263766148,N20_ALL
ABL,2009-09-02,A_gap_up,46.72,47.05,0.7063356164383525,N20_ALL
ABL,2009-10-07,A_gap_up,54.13,54.15,0.036948087936441935,N20_ALL
ABL,2010-04-20,A_gap_up,65.72,66.1,0.578210590383438,N20_ALL
ABL,2010-11-22,C_gap_down,59.49,59.06,-0.7228105563960324,N20_ALL
ABL,2011-10-04,A_gap_up,64.28,65.5,1.897946484131921,N20_ALL
ABL,2012-01-20,A_gap_up,58.86,60.99,3.6187563710499533,N20_ALL
ABL,2012-03-06,A_gap_up,69.17,69.45,0.4047997686858481,N20_ALL
ABL,2012-04-23,A_gap_up,68.8,71.75,4.2877906976744224,N20_ALL
ABL,2012-07-18,A_gap_up,68.74,69.98,1.8038987489089455,N20_ALL
ABL,2012-12-05,C_gap_down,73.58,73.0,-0.7882576787170404,N20_ALL
ABL,2013-01-21,A_gap_up,74.98,75.0,0.02667377967457458,N20_ALL
ABL,2013-05-06,C_gap_down,60.02,59.5,-0.8663778740419912,N20_ALL
ABL,2013-07-05,A_gap_up,76.46,77.0,0.7062516348417556,N20_ALL
ABL,2013-09-19,A_gap_up,83.21,84.0,0.9494051195769815,N20_ALL
ABL,2013-12-02,A_gap_up,90.23,91.72,1.6513354760057573,N20_ALL
ABL,2014-03-07,A_gap_up,94.05,94.9,0.9037745879851233,N20_ALL
ABL,2014-05-30,C_gap_down,132.76,131.0,-1.3257005122024639,N20_ALL
ABL,2014-06-30,A_gap_up,137.41,138.0,0.429371952550763,N20_ALL
