symbol,date,bucket,close_t,open_t1,gap_pct,set,b_le_close,ht_ret,ht_censored,ht_win,lb,hit_tp_10
AABS,2006-06-07,C_gap_down,53.0,52.5,-0.9433962264150944,N20_ALL,True,0.0,False,False,20,0
AABS,2007-05-30,C_gap_down,61.0,57.95,-4.999999999999996,N20_ALL,True,0.0,False,False,20,0
AABS,2008-04-08,A_gap_up,60.9,62.0,1.8062397372742225,N20_ALL,False,3.4482758620689684,False,True,20,1
AABS,2009-12-21,A_gap_up,86.0,90.0,4.651162790697675,N20_ALL,False,3.488372093023256,False,True,20,1
AABS,2010-08-30,C_gap_down,88.0,83.6,-5.000000000000006,N20_ALL,True,0.0,False,False,20,1
AABS,2011-09-27,C_gap_down,99.9,98.9,-1.001001001001001,N20_ALL,True,0.0,False,False,20,0
AABS,2012-07-19,A_gap_up,92.13,95.0,3.1151633561272165,N20_ALL,False,3.1151633561272165,False,True,20,1
AABS,2014-04-15,A_gap_up,105.81,109.5,3.487383045080803,N20_ALL,False,3.8654191475285917,False,True,20,1
AABS,2015-07-10,C_gap_down,178.78,175.0,-2.114330462020361,N20_ALL,True,-2.114330462020361,False,False,20,1
AABS,2015-12-30,C_gap_down,204.17,195.01,-4.486457363961403,N20_ALL,True,0.23509820247833582,False,True,20,0
AABS,2016-12-29,C_gap_down,319.0,313.01,-1.8777429467084668,N20_ALL,True,-0.6269592476489028,False,False,20,0
AABS,2018-02-02,A_gap_up,168.5,174.99,3.85163204747775,N20_ALL,False,3.798219584569736,False,True,20,1
AABS,2019-09-20,C_gap_down,207.83,207.0,-0.3993648655150905,N20_ALL,True,-1.3616898426598723,False,False,20,0
AABS,2019-11-04,A_gap_up,214.0,215.0,0.4672897196261681,N20_ALL,False,5.14018691588785,False,True,20,1
AABS,2019-12-30,A_gap_up,251.99,257.77,2.293741815151384,N20_ALL,False,93.26163736656216,False,True,20,1
AABS,2024-02-06,F_flat,520.0,520.0,0.0,N20_ALL,True,0.0,False,False,20,1
AABS,2024-08-21,A_gap_up,568.1,570.0,0.334448160535113,N20_ALL,False,-3.186058792466119,False,False,20,0
AABS,2024-12-12,A_gap_up,783.35,860.0,9.78489819365545,N20_ALL,False,-8.0,False,False,20,0
AABS,2025-05-05,F_flat,758.02,758.02,0.0,N20_ALL,True,-4.356085591409195,False,False,20,0
AABS,2025-08-04,C_gap_down,1070.98,965.01,-9.89467590431194,N20_ALL,True,-7.561298997180154,False,False,20,0
AASM,2010-10-08,A_gap_up,32.79,33.87,3.293687099725521,N20_ALL,False,-2.4092711192436695,False,False,20,0
AASM,2010-12-24,C_gap_down,27.72,27.5,-0.7936507936507896,N20_ALL,True,40.65656565656567,False,True,20,1
AASM,2017-05-23,A_gap_up,10.9,11.7,7.339449541284393,N20_ALL,False,1.8348623853210944,False,True,20,1
AATM,2005-12-14,C_gap_down,4.3,3.5,-18.60465116279069,N20_ALL,True,0.0,False,False,20,0
AATM,2008-03-20,C_gap_down,3.0,2.75,-8.333333333333332,N20_ALL,True,-7.999999999999992,False,False,20,0
AATM,2010-09-16,C_gap_down,1.21,0.8,-33.88429752066115,N20_ALL,True,-8.0,False,False,20,0
AATM,2012-02-13,F_flat,1.06,1.06,0.0,N20_ALL,True,-7.999999999999999,False,False,20,0
AATM,2012-11-19,A_gap_up,3.69,3.7,0.2710027100271065,N20_ALL,False,0.2710027100271065,False,True,20,1
