set,lb,era,symbol,date,bucket,gap_pct,base_g,base_c,open_g,open_c,lim_filled,lim_g,lim_c,base_nf,base_ncgt,base_win,open_nf,open_ncgt,open_win,lim_nf,lim_ncgt,lim_win
N20_ALL,20,2005-09,AABS,2006-06-07,C_gap_down,-0.9433962264150944,0.0,False,0.0,False,True,-0.9433962264150944,False,-0.845,-0.845,False,-0.845,-0.845,False,-1.7883962264150943,-1.7883962264150943,False
N20_ALL,20,2005-09,AABS,2007-05-30,C_gap_down,-4.999999999999996,0.0,False,7.851596203623807,False,True,2.459016393442623,False,-0.845,-0.845,False,7.006596203623808,5.955606773080237,True,1.614016393442623,1.3719139344262294,True
N20_ALL,20,2005-09,AABS,2008-04-08,A_gap_up,1.8062397372742225,3.4482758620689684,False,1.6129032258064515,False,False,,True,2.603275862068968,2.212784482758623,True,0.7679032258064515,0.6527177419354838,True,,,False
N20_ALL,20,2005-09,AABS,2009-12-21,A_gap_up,4.651162790697675,3.488372093023256,False,-1.1111111111111112,False,False,,True,2.643372093023256,2.2468662790697675,True,-1.9561111111111111,-1.9561111111111111,False,,,False
N20_ALL,20,2010-14,AABS,2010-08-30,C_gap_down,-5.000000000000006,0.0,False,7.655502392344504,False,True,2.272727272727273,False,-0.845,-0.845,False,6.810502392344504,5.788927033492828,True,1.427727272727273,1.213568181818182,True
N20_ALL,20,2010-14,AABS,2011-09-27,C_gap_down,-1.001001001001001,0.0,False,0.0,False,True,-1.001001001001001,False,-0.845,-0.845,False,-0.845,-0.845,False,-1.846001001001001,-1.846001001001001,False
N20_ALL,20,2010-14,AABS,2012-07-19,A_gap_up,3.1151633561272165,3.1151633561272165,False,0.0,False,False,,True,2.2701633561272168,1.9296388527081343,True,-0.845,-0.845,False,,,False
N20_ALL,20,2010-14,AABS,2014-04-15,A_gap_up,3.487383045080803,3.8654191475285917,False,0.36529680365297323,False,False,,True,3.0204191475285915,2.5673562753993027,True,-0.47970319634702674,-0.47970319634702674,False,,,False
N20_ALL,20,2015-19,AABS,2015-07-10,C_gap_down,-2.114330462020361,-2.114330462020361,False,0.0,False,True,-2.114330462020361,False,-2.959330462020361,-2.959330462020361,False,-0.845,-0.845,False,-2.959330462020361,-2.959330462020361,False
N20_ALL,20,2015-19,AABS,2015-12-30,C_gap_down,-4.486457363961403,0.23509820247833582,False,4.94333623916723,False,True,0.23509820247833582,False,-0.6099017975216642,-0.6099017975216642,False,4.098336239167231,3.483585803292146,True,-0.6099017975216642,-0.6099017975216642,False
